Date,open,high,low,close,volume
2025-10-31,151.134,154.482,150.532,153.065,11136100
2025-11-03,152.764,153.065,149.037,149.494,8512200
2025-11-04,148.902,149.222,147.659,148.863,6976800
2025-11-05,148.999,149.843,148.154,148.154,5894700
2025-11-06,148.397,150.221,148.174,148.426,6466300
2025-11-07,148.902,151.561,148.902,150.445,9835900
2025-11-10,150.833,151.376,147.873,151.056,8436800
2025-11-11,152.124,153.327,151.299,151.629,6361400
2025-11-12,150.988,151.192,147.591,148.795,11670900
2025-11-13,149.455,151.590,149.387,150.988,7998700
2025-11-14,151.619,153.288,150.241,152.968,8484800
2025-11-17,153.065,153.230,149.882,150.251,8745000
2025-11-18,149.652,151.399,148.926,150.751,10813400
2025-11-19,148.337,149.122,147.444,148.867,7539900
2025-11-20,149.691,150.182,147.248,147.503,7623400
2025-11-21,147.630,148.190,145.972,147.179,9248400
2025-11-24,147.022,147.316,144.981,146.953,14181100
2025-11-25,146.119,147.100,145.501,145.756,11447900
2025-11-26,145.491,147.650,145.432,146.718,7578900
2025-11-28,146.669,148.690,146.472,148.308,3848600
2025-12-01,148.916,151.075,148.671,149.691,8209000
2025-12-02,149.181,149.613,146.472,147.444,9196300
2025-12-03,148.219,149.652,148.160,148.759,8060200
2025-12-04,148.916,150.084,148.396,149.416,7254700
2025-12-05,149.161,149.780,147.032,147.199,12659800
2025-12-08,146.463,147.267,144.902,145.933,10237200
2025-12-09,146.266,147.297,145.452,145.717,8916700
2025-12-10,146.394,148.965,145.923,148.582,10976300
2025-12-11,148.013,149.102,147.297,147.905,8414200
2025-12-12,148.327,148.720,146.836,147.189,5848100
2025-12-15,147.042,147.297,145.658,147.002,7503000
2025-12-16,145.766,146.041,143.754,144.009,11290500
2025-12-17,144.745,147.071,144.598,146.728,8805300
2025-12-18,146.070,146.482,144.333,144.932,6998800
2025-12-19,145.197,146.227,144.441,144.991,21701400
2025-12-22,146.031,147.679,145.923,147.002,8143600
2025-12-23,147.238,148.258,147.051,147.699,4663700
2025-12-24,147.572,148.170,147.297,147.689,2227600
2025-12-26,147.572,148.317,146.855,147.218,3706900
2025-12-29,148.180,148.808,147.287,148.170,5589100
2025-12-30,148.671,149.819,148.641,149.465,5150500
2025-12-31,149.544,149.701,148.837,149.564,4953100
2026-01-02,149.328,152.988,148.425,152.988,6862100
2026-01-05,162.655,162.655,156.335,160.790,35094900
2026-01-06,161.801,161.968,153.195,153.617,20564900
2026-01-07,154.500,155.059,152.007,152.302,13537900
2026-01-08,152.596,157.444,152.311,156.276,12929600
2026-01-09,157.561,159.661,156.953,159.082,12549600
