Date,open,high,low,close,volume
2025-10-31,30.029,30.097,29.583,29.864,6271300
2025-11-03,29.825,29.903,29.369,29.641,4874800
2025-11-04,29.437,29.660,29.185,29.311,5615700
2025-11-05,29.195,29.854,29.117,29.748,4737500
2025-11-06,29.748,30.184,29.699,30.039,4676900
2025-11-07,30.068,30.349,29.748,30.320,3594100
2025-11-10,30.184,30.446,30.039,30.339,4241300
2025-11-11,30.368,30.582,30.330,30.514,3028200
2025-11-12,30.475,30.688,30.465,30.621,3515100
2025-11-13,30.572,31.135,30.553,30.805,5278500
2025-11-14,31.038,31.513,30.766,31.290,8708400
2025-11-17,31.280,31.426,30.659,30.795,3487600
2025-11-18,30.669,31.338,30.475,30.747,3504100
2025-11-19,30.504,31.018,30.407,30.766,2598000
2025-11-20,30.844,31.222,30.756,30.931,3362700
2025-11-21,30.921,31.513,30.834,31.464,4518400
2025-11-24,31.426,31.959,31.299,31.571,4919400
2025-11-25,31.523,31.784,31.426,31.542,4563900
2025-11-26,31.542,31.804,31.464,31.552,2826500
2025-11-28,31.590,31.833,31.532,31.755,2831700
2025-12-01,31.590,31.755,31.503,31.552,4432600
2025-12-02,31.484,31.523,30.912,31.028,4569400
2025-12-03,31.144,31.426,31.106,31.164,2829900
2025-12-04,31.309,31.697,31.251,31.629,2819300
2025-12-05,31.649,31.717,31.571,31.629,2439000
2025-12-08,31.503,31.736,31.406,31.726,2749300
2025-12-09,31.668,31.872,31.309,31.358,2633100
2025-12-10,31.290,31.406,31.115,31.241,3411500
2025-12-11,31.164,31.493,31.135,31.241,2784000
2025-12-12,31.173,31.358,31.018,31.164,2830700
2025-12-15,31.222,31.445,31.038,31.338,3520400
2025-12-16,31.232,31.232,30.727,30.824,5533600
2025-12-17,30.892,31.154,30.766,31.057,3741600
2025-12-18,31.057,31.154,30.708,31.028,3717400
2025-12-19,31.038,31.251,30.853,30.979,3834600
2025-12-22,30.979,31.202,30.824,31.076,3090200
2025-12-23,31.028,31.164,30.950,31.154,2817800
2025-12-24,31.096,31.222,31.076,31.115,877300
2025-12-26,31.047,31.125,30.776,30.912,2949600
2025-12-29,30.824,31.144,30.795,30.960,2511800
2025-12-30,30.999,31.173,30.912,31.144,3210300
2025-12-31,31.202,31.202,30.863,31.096,2088100
2026-01-02,31.135,31.367,30.863,31.193,3708800
2026-01-05,31.309,31.329,30.601,31.193,4381600
2026-01-06,31.193,31.270,30.708,30.776,4822200
2026-01-07,30.795,30.844,30.640,30.747,4352800
2026-01-08,30.747,31.154,30.669,30.902,4842700
2026-01-09,30.999,31.222,30.970,31.076,2788700
2026-01-12,31.164,31.212,30.941,31.125,2939700
2026-01-13,31.212,31.561,31.164,31.387,4387300
2026-01-14,31.241,31.552,31.212,31.513,3588200
2026-01-15,31.406,31.678,31.280,31.639,2331000
2026-01-16,31.649,32.066,31.561,31.911,5044400
2026-01-20,31.930,32.134,31.717,31.765,3731300
2026-01-21,32.008,32.105,31.794,31.978,4154000
2026-01-22,31.988,32.347,31.862,32.192,4005200
2026-01-23,32.396,32.570,32.017,32.046,4862700
2026-01-26,32.269,32.269,31.814,32.056,4166100
2026-01-27,32.066,32.260,31.920,32.172,4648700
2026-01-28,32.202,32.512,32.105,32.454,5001300
2026-01-29,32.764,33.133,32.667,33.084,6431900
2026-01-30,32.788,33.064,32.256,32.719,7121600
2026-02-02,32.315,32.926,32.256,32.631,5638100
2026-02-03,33.518,34.583,32.897,34.139,15360100
2026-02-04,34.070,34.849,33.981,34.701,10186800
2026-02-05,34.504,35.046,34.326,34.583,7326200
2026-02-06,34.504,34.790,34.169,34.415,4291200
2026-02-09,34.454,35.016,34.297,34.661,4759200
2026-02-10,34.730,34.898,34.464,34.691,3718500
2026-02-11,34.888,35.145,34.780,34.947,3132600
2026-02-12,34.947,35.411,34.839,34.918,6344000
2026-02-13,35.076,36.781,34.898,36.682,9301000
2026-02-17,36.426,36.564,36.061,36.229,5687300
2026-02-18,36.466,36.544,35.588,35.598,5250000
2026-02-19,35.716,35.835,35.342,35.667,3944600
2026-02-20,35.480,36.071,35.480,35.835,3068600
2026-02-23,35.667,36.061,35.509,35.844,3856300
2026-02-24,35.805,35.923,35.332,35.775,3661900
2026-02-25,35.677,35.736,35.292,35.411,2933500
2026-02-26,35.154,35.578,34.859,35.470,4892400
2026-02-27,35.559,35.756,35.312,35.628,2929400
2026-03-02,35.973,36.544,35.539,36.367,4604300
2026-03-03,36.367,36.850,36.042,36.850,5276700
2026-03-04,36.574,36.801,36.120,36.643,4236000
2026-03-05,36.574,37.205,36.505,36.761,3839200
2026-03-06,36.791,37.234,36.781,37.037,4417300
2026-03-09,37.047,37.678,36.416,36.564,6399400
2026-03-10,36.180,36.643,35.874,36.199,3205900
2026-03-11,36.249,36.801,36.140,36.673,3010700
2026-03-12,36.722,36.840,35.973,36.071,3714100
2026-03-13,35.982,36.574,35.844,36.466,2440900
2026-03-16,36.416,36.880,36.268,36.791,3374100
2026-03-17,36.968,37.392,36.958,37.008,3476400
2026-03-18,37.047,37.205,36.515,36.515,3030200
2026-03-19,36.673,37.116,36.584,36.919,2930400
2026-03-20,36.958,37.274,36.820,37.027,4592200
2026-03-23,36.663,37.609,36.495,37.570,3212200
2026-03-24,37.560,38.191,37.560,37.846,2677500
2026-03-25,37.895,38.467,37.678,38.447,3773600
2026-03-26,38.437,39.009,38.358,38.546,6203400
2026-03-27,38.585,39.177,38.546,38.723,4405200
2026-03-30,38.891,39.127,38.496,38.526,4890900
2026-03-31,38.447,38.496,37.077,37.303,9224700
2026-04-01,36.771,37.205,36.258,36.899,6282200
2026-04-02,37.353,37.422,36.870,37.037,3264300
2026-04-06,36.939,37.402,36.870,37.294,2222600
2026-04-07,37.402,38.043,37.392,37.865,2759400
2026-04-08,36.594,37.658,36.505,37.491,4041200
2026-04-09,37.451,38.053,36.840,36.988,3530300
2026-04-10,36.830,37.264,36.791,36.820,4145100
2026-04-13,37.037,37.215,36.574,36.889,5442100
2026-04-14,36.781,36.811,36.328,36.722,6876300
2026-04-15,36.722,36.929,36.485,36.574,5959200
2026-04-16,36.574,36.880,36.564,36.801,2638400
2026-04-17,36.278,36.475,35.667,36.150,8195200
2026-04-20,36.258,36.584,36.111,36.387,5921600
2026-04-21,36.406,36.929,36.406,36.682,2480200
2026-04-22,36.820,37.274,36.692,37.205,7287300
2026-04-23,37.402,37.599,36.968,37.303,2696700
2026-04-24,37.215,37.491,36.958,37.461,3211100
