Date,open,high,low,close,volume
2025-10-31,15.891,15.976,15.787,15.919,10454000
2025-11-03,15.995,16.042,15.739,15.919,13841200
2025-11-04,15.862,15.919,15.635,15.654,13437300
2025-11-05,15.711,16.137,15.692,15.995,16665200
2025-11-06,15.966,16.099,15.777,15.957,22864700
2025-11-07,15.883,15.941,15.613,15.873,15500700
2025-11-10,15.873,16.153,15.690,16.105,18551400
2025-11-11,16.095,16.143,15.979,16.114,28964900
2025-11-12,16.105,16.163,15.902,15.999,10083800
2025-11-13,15.970,16.105,15.912,16.047,12943400
2025-11-14,16.008,16.433,15.979,16.413,15891500
2025-11-17,16.394,16.510,16.298,16.346,11808100
2025-11-18,16.249,16.491,16.153,16.375,14855700
2025-11-19,16.365,16.452,16.211,16.327,16419000
2025-11-20,16.375,16.394,15.902,16.056,20519000
2025-11-21,15.979,16.076,15.757,15.931,23644800
2025-11-24,15.941,15.941,15.767,15.912,15104700
2025-11-25,15.806,15.834,15.690,15.699,17427500
2025-11-26,15.709,15.921,15.690,15.854,17592100
2025-11-28,15.892,16.134,15.854,16.124,7110700
2025-12-01,16.114,16.278,16.085,16.240,15099900
2025-12-02,16.307,16.327,15.979,16.008,14447500
2025-12-03,16.018,16.201,16.018,16.124,12128900
2025-12-04,16.143,16.230,16.134,16.211,11273800
2025-12-05,16.211,16.336,16.124,16.211,15588200
2025-12-08,16.163,16.288,16.163,16.211,10331800
2025-12-09,16.211,16.307,16.066,16.085,11612100
2025-12-10,16.143,16.172,15.863,15.873,12449000
2025-12-11,15.873,15.902,15.777,15.834,12317600
2025-12-12,15.863,16.066,15.796,15.979,13413300
2025-12-15,15.970,15.979,15.825,15.921,11210900
2025-12-16,15.834,15.844,15.680,15.786,17915300
2025-12-17,15.825,15.854,15.699,15.815,14239400
2025-12-18,15.806,15.825,15.622,15.641,16294300
2025-12-19,15.641,15.863,15.632,15.815,22553700
2025-12-22,15.825,15.912,15.709,15.728,14185000
2025-12-23,15.748,15.815,15.613,15.786,13912800
2025-12-24,15.719,15.815,15.699,15.815,9109900
2025-12-26,15.786,15.806,15.661,15.680,10524600
2025-12-29,15.738,15.767,15.670,15.699,11773700
2025-12-30,15.709,15.970,15.709,15.960,14784600
2025-12-31,15.921,15.960,15.815,15.912,13490800
2026-01-02,15.873,16.056,15.757,16.008,15249700
2026-01-05,15.960,15.999,15.690,15.844,16083000
2026-01-06,15.834,15.902,15.670,15.680,14249000
2026-01-07,15.690,15.989,15.690,15.941,17342200
2026-01-08,15.921,16.317,15.921,16.298,18273300
2026-01-09,16.307,16.423,16.220,16.365,13419700
2026-01-12,16.356,16.558,16.288,16.549,13413800
2026-01-13,16.549,16.877,16.539,16.790,13713000
2026-01-14,16.819,16.896,16.761,16.886,16772500
2026-01-15,16.828,16.877,16.664,16.848,11837700
2026-01-16,16.809,16.877,16.684,16.741,14752500
2026-01-20,16.693,16.896,16.655,16.828,16969100
2026-01-21,17.012,17.070,16.867,17.031,18630300
2026-01-22,17.031,17.513,17.012,17.475,24340800
2026-01-23,17.523,17.697,17.243,17.359,19807400
2026-01-26,17.407,17.475,17.234,17.330,14899500
2026-01-27,17.359,17.494,17.243,17.320,13928700
2026-01-28,17.369,17.610,17.349,17.600,14071400
2026-01-29,17.755,17.948,17.620,17.880,17286600
2026-01-30,17.880,17.899,17.484,17.803,13628100
2026-02-02,17.745,17.784,17.494,17.504,17902500
2026-02-03,17.658,17.822,17.571,17.764,22340800
2026-02-04,17.774,17.822,17.465,17.726,18437500
2026-02-05,17.658,17.677,17.378,17.552,14416300
2026-02-06,17.498,17.734,17.409,17.636,18115800
2026-02-09,17.498,17.832,17.478,17.744,12009700
2026-02-10,17.714,17.950,17.704,17.803,10991700
2026-02-11,17.960,18.019,17.842,17.901,14256600
2026-02-12,17.921,18.078,17.744,17.950,17938300
2026-02-13,17.989,18.491,17.931,18.432,27421300
2026-02-17,18.383,18.510,17.940,18.294,19510000
2026-02-18,18.452,18.973,18.402,18.540,21296600
2026-02-19,18.727,18.914,18.579,18.579,19064200
2026-02-20,18.560,18.746,18.481,18.658,11115200
2026-02-23,18.658,18.717,18.412,18.501,17671600
2026-02-24,18.520,18.550,18.294,18.481,12475100
2026-02-25,18.530,18.540,18.127,18.275,9926900
2026-02-26,18.176,18.461,18.029,18.373,9721300
2026-02-27,18.432,18.530,18.343,18.520,10326500
2026-03-02,18.776,18.904,18.530,18.776,17169200
2026-03-03,18.746,18.805,18.461,18.540,17409600
