Date,open,high,low,close,volume
2025-10-31,35.578,35.843,35.107,35.382,15188200
2025-11-03,35.421,36.609,35.353,36.324,19349000
2025-11-04,35.637,35.775,35.117,35.441,18718800
2025-11-05,35.569,36.334,35.284,35.863,14655300
2025-11-06,35.971,36.510,35.657,35.676,14651300
2025-11-07,35.794,36.108,35.215,35.971,11074700
2025-11-10,36.187,36.353,35.431,36.216,12276000
2025-11-11,36.501,37.364,36.412,36.903,10426200
2025-11-12,36.599,36.844,35.323,35.392,11588100
2025-11-13,35.539,36.246,35.402,35.627,10203600
2025-11-14,35.755,36.638,35.205,36.246,10858300
2025-11-17,36.128,36.236,34.941,35.127,10775700
2025-11-18,34.764,35.549,34.617,35.362,15306200
2025-11-19,34.715,35.451,34.460,35.186,9709500
2025-11-20,35.529,36.147,34.430,34.528,11718200
2025-11-21,34.509,35.647,33.999,35.510,20752800
2025-11-24,35.323,35.402,34.636,35.039,36923800
2025-11-25,35.147,35.274,34.352,35.225,13234500
2025-11-26,35.078,35.372,34.627,34.990,9754200
2025-11-28,35.048,35.696,34.852,35.559,4013000
2025-12-01,35.569,36.285,35.549,35.912,12674200
2025-12-02,35.627,35.833,34.842,35.676,12825600
2025-12-03,36.028,37.214,35.830,37.135,16133700
2025-12-04,37.086,37.877,36.997,37.699,15860100
2025-12-05,37.808,38.569,37.798,38.035,12579700
2025-12-08,37.907,38.401,37.313,37.818,24484700
2025-12-09,37.679,38.263,37.679,37.877,16847300
2025-12-10,37.926,39.548,37.778,39.489,20648100
2025-12-11,39.410,40.428,39.341,39.894,18982800
2025-12-12,40.102,40.329,38.717,39.014,14892500
2025-12-15,38.975,39.064,38.094,38.470,10957100
2025-12-16,38.174,38.470,37.076,37.194,19127100
2025-12-17,37.412,38.193,37.313,38.104,15363900
2025-12-18,38.114,38.134,37.471,37.709,12014800
2025-12-19,37.827,38.065,37.560,37.659,22594300
2025-12-22,38.025,38.441,37.738,37.907,8495800
2025-12-23,38.065,38.470,37.511,37.778,7930300
2025-12-24,37.748,37.857,37.392,37.551,2928600
