Date,open,high,low,close,volume
2025-10-31,166.966,168.107,164.184,166.681,1670100
2025-11-03,167.615,169.041,164.951,168.687,1658000
2025-11-04,166.131,166.986,162.248,166.239,2188300
2025-11-05,166.829,169.758,165.757,167.251,1762400
2025-11-06,169.109,176.059,169.109,173.022,3111800
2025-11-07,173.759,175.961,171.302,172.638,2393400
2025-11-10,172.550,177.092,170.033,176.138,2145900
2025-11-11,177.042,179.883,176.895,177.789,1868800
2025-11-12,176.944,178.419,174.172,174.526,1800800
2025-11-13,175.086,176.492,172.108,172.796,2308100
2025-11-14,173.503,180.807,173.307,178.674,3222400
2025-11-17,178.645,179.618,175.066,175.371,3014800
2025-11-18,174.693,182.469,173.798,182.282,3387500
2025-11-19,176.305,178.084,172.697,177.268,3768400
2025-11-20,178.169,180.968,168.791,168.979,3980500
2025-11-21,168.583,173.885,166.763,171.580,3735100
2025-11-24,171.086,173.134,166.684,172.491,3817000
2025-11-25,172.342,173.490,168.573,172.223,2646100
2025-11-26,172.125,174.548,172.125,172.589,1759900
2025-11-28,173.124,175.884,172.619,174.855,936200
2025-12-01,175.409,180.088,175.191,178.594,2573100
2025-12-02,177.506,177.882,171.778,176.606,3239000
2025-12-03,177.090,179.207,174.301,175.142,3138600
2025-12-04,175.468,175.923,169.800,173.064,3258900
2025-12-05,173.064,176.180,172.125,172.263,2202900
2025-12-08,171.689,173.687,168.890,171.689,2040400
2025-12-09,171.323,174.538,170.512,173.430,2026200
2025-12-10,172.105,176.072,169.849,174.103,2895900
2025-12-11,170.423,172.095,167.990,170.057,2910900
2025-12-12,168.514,169.256,164.982,166.486,3234700
2025-12-15,166.486,166.506,164.240,166.090,3332600
2025-12-16,164.488,164.656,159.799,161.065,4040500
2025-12-17,161.629,161.629,158.176,161.154,2924300
2025-12-18,162.084,162.084,158.988,160.195,2548500
2025-12-19,160.105,162.668,159.799,160.956,6529800
2025-12-22,162.717,163.706,161.045,161.787,2795800
2025-12-23,162.391,163.409,161.223,162.994,1970900
2025-12-24,162.361,162.786,160.996,162.697,881600
2025-12-26,162.252,163.034,160.471,162.242,2517800
2025-12-29,163.222,164.883,161.134,163.874,2811600
2025-12-30,164.854,164.933,161.886,163.083,2569000
2025-12-31,163.083,163.241,159.235,161.035,2321000
2026-01-02,161.490,163.884,160.333,163.528,1938600
2026-01-05,177.753,182.986,175.597,178.624,9056500
2026-01-06,180.731,182.086,175.339,176.348,5333000
2026-01-07,182.373,185.627,181.097,181.878,7565700
2026-01-08,182.126,189.930,179.059,189.258,5961700
2026-01-09,189.426,189.782,180.642,183.283,5472900
2026-01-12,183.362,183.590,176.418,177.684,3368500
2026-01-13,180.355,183.006,177.941,179.781,3100300
2026-01-14,181.285,187.903,179.732,184.500,3963000
2026-01-15,182.511,184.549,181.285,182.590,2172200
2026-01-16,183.006,184.292,180.879,181.483,2374400
2026-01-20,182.561,184.974,181.126,182.739,2689800
2026-01-21,185.954,191.246,185.311,186.162,3130300
2026-01-22,185.558,187.269,183.372,184.876,2951500
2026-01-23,187.448,192.255,184.856,185.073,2846600
2026-01-26,186.636,187.823,179.573,181.304,3370600
2026-01-27,182.739,183.797,179.188,180.938,2359800
2026-01-28,182.937,184.757,180.582,182.037,2756700
2026-01-29,189.703,192.404,180.038,180.523,6555800
2026-01-30,181.186,181.186,175.992,179.474,3295500
2026-02-02,176.151,179.544,174.598,178.277,2781100
2026-02-03,180.642,190.959,179.010,190.198,5522900
2026-02-04,191.197,196.222,191.157,195.282,4467400
2026-02-05,191.719,193.958,189.211,193.222,2376300
2026-02-06,194.954,202.179,193.580,201.722,2871200
2026-02-09,201.960,203.175,198.955,200.428,1949000
2026-02-10,199.303,200.050,196.815,198.557,2033800
2026-02-11,202.209,203.364,199.562,202.956,2918200
2026-02-12,203.115,205.792,194.785,195.979,3189200
2026-02-13,196.019,200.557,195.063,199.223,2170700
2026-02-17,200.398,203.284,194.844,196.407,2203800
2026-02-18,198.606,199.492,196.059,198.517,2052200
2026-02-19,199.452,200.278,195.670,198.298,2187600
2026-02-20,197.601,200.836,197.064,199.811,1979000
2026-02-23,199.681,203.294,194.775,196.457,2016200
2026-02-24,196.477,198.557,193.660,198.387,1896700
2026-02-25,199.522,199.731,194.446,198.696,2260800
