Date,open,high,low,close,volume
2025-05-30,84.9500,86.0500,84.5400,85.3500,20170600
2025-06-02,87.0500,87.5600,85.8600,86.7200,8634400
2025-06-03,86.6600,88.6000,85.3800,87.9100,5642900
2025-06-04,87.9500,88.8700,85.8000,85.9500,7268000
2025-06-05,86.8400,86.8400,85.2300,85.3500,5110200
2025-06-06,86.7500,87.7900,86.7300,87.2200,6042100
2025-06-09,87.8000,88.8100,87.0200,88.0400,6212600
2025-06-10,89.3300,91.6900,89.0800,91.1800,9687600
2025-06-11,91.8200,93.8200,91.1400,93.3500,8738500
2025-06-12,92.7000,94.7600,92.1300,94.6900,7862300
2025-06-13,96.5300,98.2500,95.4600,96.9600,16849700
2025-06-16,96.1200,96.9200,94.0100,95.0000,10330400
2025-06-17,95.9300,96.7500,94.8300,95.5000,9468100
2025-06-18,95.5200,96.1500,93.3100,93.8000,9116000
2025-06-20,94.3500,95.1800,93.6900,94.6900,16026400
2025-06-23,96.2500,96.3100,91.1500,91.7100,9749700
2025-06-24,90.2400,91.6500,89.0400,89.3900,11016200
2025-06-25,89.3100,90.0200,88.8000,89.0000,8380800
2025-06-26,89.2800,90.9100,89.2100,90.8900,6545000
2025-06-27,90.9000,90.9500,89.8000,90.1700,7555700
2025-06-30,89.5100,90.1900,89.1000,89.7400,6518900
2025-07-01,89.8600,92.3300,89.2000,91.9900,11895200
2025-07-02,93.1200,94.4800,91.9100,94.4400,9436000
2025-07-03,93.9500,94.7700,93.5500,93.6800,4331500
2025-07-07,93.3500,93.7200,91.2400,92.5500,6287100
2025-07-08,92.5500,96.9200,92.5200,95.7900,12934700
2025-07-09,95.2200,95.7900,94.4000,94.5300,5351500
2025-07-10,94.1000,95.5400,93.2000,95.3700,4065100
2025-07-11,94.7000,96.1900,94.6600,95.6100,4903400
2025-07-14,94.9600,95.6600,93.8100,94.1700,5504200
2025-07-15,94.2700,94.5600,92.4700,92.5500,4152400
2025-07-16,92.4100,93.0000,91.1000,91.5100,3773700
2025-07-17,91.1000,92.9700,90.7700,92.8100,4899400
2025-07-18,93.3700,93.7500,90.9200,91.6400,7968000
2025-07-21,91.7400,92.1500,90.9000,91.0000,4436500
2025-07-22,91.2500,93.3000,91.1500,92.9800,5545500
2025-07-23,93.5400,95.2800,93.1500,95.0400,6921500
2025-07-24,94.4000,95.7900,94.3000,95.6200,5047900
2025-07-25,95.7000,96.0100,94.7400,94.9500,4501800
2025-07-28,95.6900,97.3200,95.6900,97.0200,4632400
2025-07-29,97.3100,98.0700,96.6500,97.9900,5157700
2025-07-30,97.3900,97.4500,95.8700,96.6700,6607600
2025-07-31,95.2600,96.9500,95.1000,95.3400,5648100
2025-08-01,94.9400,95.4900,92.3800,92.7600,6349200
2025-08-04,92.2500,93.8700,92.1000,92.8500,9384500
2025-08-05,93.1500,93.5100,91.9600,93.2000,7716200
2025-08-06,94.5900,95.7000,92.5800,93.1100,7078500
2025-08-07,92.0400,95.1400,91.1800,92.6000,10307300
2025-08-08,93.5600,94.9300,91.7000,93.9100,8765300
2025-08-11,94.6100,95.5000,92.8700,93.5300,6491400
2025-08-12,94.3900,96.7800,93.5300,94.5900,7524800
2025-08-13,94.4000,95.8800,94.2600,95.8800,7263300
2025-08-14,95.6000,95.7800,94.2900,95.6500,10057700
2025-08-15,95.4500,96.4300,94.7300,95.3300,6564700
2025-08-18,94.4600,94.6000,93.3400,94.0000,4849500
2025-08-19,93.5400,94.5600,93.1900,93.7600,5412100
2025-08-20,94.0000,95.2000,93.9500,94.8900,6133300
2025-08-21,94.7600,95.3700,93.8100,94.7800,5342100
2025-08-22,95.2300,97.4000,95.1800,96.7800,6338400
2025-08-25,96.7900,98.2200,96.2000,98.1800,6850800
2025-08-26,97.5900,98.0000,96.3800,97.0500,7052100
2025-08-27,97.1000,98.6300,96.7700,97.9000,5759500
2025-08-28,98.0700,98.6600,96.8300,98.4500,4241000
2025-08-29,98.2900,99.3200,98.0600,98.9700,4594300
2025-09-02,99.1000,99.6500,97.7900,98.9900,5192300
2025-09-03,97.6300,98.2800,94.3400,94.6500,9793500
2025-09-04,94.5500,96.1700,93.9800,95.7700,5612700
2025-09-05,94.1300,94.8700,92.1300,92.9500,8510300
2025-09-08,93.0300,93.2300,90.5100,91.4000,9750600
2025-09-09,92.3100,93.6600,91.4500,91.8600,5838300
2025-09-10,91.8600,94.3300,91.6900,94.3200,4353800
2025-09-11,92.8300,94.1600,92.6800,94.1300,4721000
2025-09-12,94.7600,95.0700,92.4200,92.4300,5170400
2025-09-15,92.7000,93.0500,91.6900,92.3300,4932100
2025-09-16,93.0800,95.1000,92.6500,94.5400,7860400
2025-09-17,94.0200,95.2000,93.1400,93.8200,7072700
2025-09-18,93.6000,94.4000,92.9100,93.4800,4416600
2025-09-19,93.7900,93.8300,91.3700,91.9200,15284100
2025-09-22,91.5000,92.8300,91.0800,92.0100,5798800
2025-09-23,92.6000,95.5300,92.6000,93.4700,8241900
2025-09-24,94.4900,96.6500,94.0000,95.6300,7935600
2025-09-25,95.2000,97.0700,95.2000,96.8100,8076300
2025-09-26,97.0600,99.6500,96.8600,98.4800,6812900
2025-09-29,97.2000,97.3900,94.6600,95.8500,8700500
2025-09-30,94.6100,95.0700,93.5500,94.5900,7318300
2025-10-01,94.2700,95.9400,93.8300,95.4600,4794600
2025-10-02,95.0000,96.1400,93.1300,93.3800,5428600
2025-10-03,93.6600,94.7100,93.4800,94.1600,4321600
2025-10-06,94.7800,95.4200,94.3400,94.9100,3454100
2025-10-07,94.4500,95.2800,92.6300,95.2300,4071900
2025-10-08,95.1900,95.2100,93.2900,93.7500,5289400
2025-10-09,94.3100,95.0200,91.8200,91.9500,6940000
2025-10-10,90.9200,91.0000,87.6400,87.6400,7892400
2025-10-13,88.3600,88.9800,87.5800,88.7800,5887300
2025-10-14,86.9000,88.8900,86.7500,88.1700,6003900
2025-10-15,88.9300,88.9900,86.5900,87.7400,6036100
2025-10-16,87.6200,88.4300,85.6000,86.9100,7816600
2025-10-17,86.9300,87.4900,86.1300,86.4800,5774600
2025-10-20,86.7000,87.2500,86.2000,87.0600,4636400
2025-10-21,87.2500,87.6800,86.2400,86.4100,5895500
2025-10-22,87.2700,87.7600,86.5200,87.4100,8307800
2025-10-23,89.7100,90.9900,89.1500,90.0800,7866300
2025-10-24,90.4900,90.6000,87.9300,88.0300,7886600
2025-10-27,88.7000,89.3900,88.3100,88.6900,5716000
2025-10-28,88.3000,88.3600,86.6900,86.7900,5234800
2025-10-29,86.8500,88.4100,86.7400,88.0800,5476300
2025-10-30,87.9300,89.2500,87.2900,88.1400,6114200
2025-10-31,87.9100,89.6100,87.5300,88.8600,5635800
2025-11-03,88.7000,88.8300,87.3900,88.5700,5310100
2025-11-04,87.3700,88.0700,87.0100,87.9100,5740400
2025-11-05,87.6100,88.7100,87.5600,87.7000,6384600
2025-11-06,87.0000,88.3600,85.5700,85.6600,13101800
2025-11-07,86.1000,87.3800,85.5900,86.8300,7567400
2025-11-10,87.3300,88.5500,86.4000,88.2300,6071400
2025-11-11,89.1200,91.3900,88.8000,90.6900,6561600
2025-11-12,89.3300,90.2600,88.9400,89.0700,6941500
2025-11-13,89.5400,90.6600,88.6400,89.4200,8207700
2025-11-14,90.2400,91.8200,88.6700,91.3700,7628400
2025-11-17,90.5300,90.7200,88.1000,88.7200,8610800
2025-11-18,88.4000,90.3500,88.1000,89.6800,6876800
2025-11-19,88.0000,88.5000,87.0400,87.9800,5092900
2025-11-20,88.4900,90.5900,87.4400,87.4700,4911200
2025-11-21,87.4000,88.4900,86.5400,87.3700,7046600
2025-11-24,87.1000,88.1300,86.3200,87.5600,7143900
2025-11-25,86.6600,86.9800,85.7000,86.6200,6926400
2025-11-26,86.4500,87.6400,86.4000,87.0900,5066000
2025-11-28,87.0900,89.3900,86.8800,88.6900,3304700
2025-12-01,89.1300,91.1800,88.7800,90.2600,8525400
2025-12-02,90.0800,90.4000,88.5800,89.2900,5135000
2025-12-03,90.0200,91.8400,89.9700,91.8100,5647600
2025-12-04,91.6400,93.2000,91.6400,93.1200,7312400
2025-12-05,92.2700,95.0700,92.0800,93.6900,9873600
2025-12-08,92.5300,94.2400,92.2600,92.8800,7974900
2025-12-09,92.6300,93.6300,92.1800,93.4300,6177200
2025-12-10,93.7300,97.4100,93.5600,96.8000,10640100
2025-12-11,96.1600,97.7100,95.9100,96.7100,8225500
2025-12-12,97.4400,97.6600,95.2400,95.5400,5731300
2025-12-15,95.5400,95.6000,93.3100,94.3600,8942100
2025-12-16,93.3300,93.4100,90.7600,90.7700,9060400
2025-12-17,91.9300,95.1200,91.8100,94.9600,9661000
2025-12-18,94.2500,94.4900,92.1600,92.2300,7336900
2025-12-19,92.4500,93.4000,91.6000,91.9400,14612600
2025-12-22,93.1100,94.5300,92.5700,93.3100,4850700
2025-12-23,93.3500,93.7800,92.4400,92.7300,5671100
2025-12-24,92.7500,93.1600,91.6900,91.8000,3079200
2025-12-26,91.9100,92.4800,90.7500,91.5400,4575600
2025-12-29,92.0000,92.7300,91.7000,92.6300,5256400
2025-12-30,93.3500,94.3100,93.1100,94.1000,4553600
2025-12-31,94.4500,94.5900,93.4200,93.6100,3551700
2026-01-02,93.6100,96.9400,93.1300,96.7000,7005600
2026-01-05,101.2000,102.9800,97.1100,99.2000,15706500
2026-01-06,100.2000,100.3100,96.9800,97.1100,9026900
2026-01-07,97.1900,97.2400,93.9100,93.9400,7988400
2026-01-08,94.4000,99.8600,94.3300,98.7200,9605200
2026-01-09,99.1400,100.3000,97.2800,97.5100,8940700
2026-01-12,98.6100,98.7300,94.6800,95.5000,10232900
2026-01-13,97.0000,97.7500,95.9000,96.4600,7868300
2026-01-14,96.6000,101.9200,96.6000,100.3400,13563700
2026-01-15,98.9900,100.5200,98.1600,98.9300,7461400
2026-01-16,97.5000,98.9500,97.1300,98.1900,8939200
2026-01-20,97.6000,98.6700,94.9800,95.5200,10796700
2026-01-21,97.0400,97.9200,96.3800,97.1500,10599100
2026-01-22,97.0100,97.0100,95.9700,96.8800,7771200
2026-01-23,98.3800,99.4100,97.6900,98.3500,6972800
2026-01-26,99.5500,99.6900,97.7700,98.4500,7278200
2026-01-27,98.7500,99.9300,98.2900,99.8700,7276900
2026-01-28,100.4300,101.5200,99.8400,101.3900,6817400
2026-01-29,104.3000,105.7200,102.6900,102.8000,14466900
2026-01-30,102.3100,104.2700,101.7300,104.2300,9169000
2026-02-02,101.5100,103.0600,100.5000,101.7900,7514000
2026-02-03,102.4200,105.2300,101.7500,104.9100,9346600
2026-02-04,105.4700,108.3400,105.4600,107.5900,10367100
2026-02-05,106.9500,108.4400,103.1500,104.9800,10441000
2026-02-06,105.2500,108.1300,105.1200,107.6200,6756100
2026-02-09,107.6000,108.8900,107.0600,108.7000,6337800
2026-02-10,108.5500,108.6800,107.1100,107.5000,5255300
2026-02-11,108.5000,111.4400,108.4300,111.2100,8984700
2026-02-12,111.2100,111.9800,108.7000,110.8300,12517700
2026-02-13,110.3900,112.0700,110.3900,111.4300,6836400
2026-02-17,111.6600,112.9700,107.8800,108.7800,7619400
2026-02-18,109.9200,110.8100,108.8400,110.5200,9456200
2026-02-19,112.0000,113.8000,111.0700,111.5900,8851700
2026-02-20,111.2200,111.4400,109.5800,110.5300,6822800
2026-02-23,110.7000,111.9100,109.6800,109.8800,4871900
2026-02-24,110.2400,110.9000,108.4000,110.5900,5152200
2026-02-25,110.9900,111.5300,108.6600,110.0100,6907000
2026-02-26,109.1700,111.6900,108.1100,110.7000,7205800
2026-02-27,112.4000,113.7900,111.0600,113.4600,9009900
2026-03-02,119.2800,119.3000,115.7200,118.2400,19667900
2026-03-03,120.8500,122.5000,117.3000,118.5200,17354700
2026-03-04,116.3900,117.4400,114.4300,115.6500,10160600
2026-03-05,117.0000,118.5200,115.8300,116.8200,9875700
2026-03-06,118.7700,119.4800,116.6000,117.0700,11554600
2026-03-09,117.5400,118.7700,116.2000,117.0300,13694700
2026-03-10,116.1200,116.5400,112.9300,114.1500,13917900
2026-03-11,114.6500,117.1600,114.0000,117.0300,9522800
2026-03-12,118.0000,120.9900,117.6600,120.2600,12766400
2026-03-13,119.6800,122.2600,119.2400,121.8900,10884500
2026-03-16,121.1900,122.3800,120.4000,121.3200,7556800
2026-03-17,121.9500,123.9600,121.2100,122.8700,7953100
2026-03-18,123.8000,124.8700,123.1100,123.6500,10273000
2026-03-19,124.7100,126.3500,123.9700,126.0200,11205400
2026-03-20,126.3000,128.1300,126.1100,126.9200,31964000
2026-03-23,123.6300,128.3600,122.9500,127.1900,10584000
2026-03-24,127.5300,131.0000,127.4400,129.3500,10439700
2026-03-25,128.0000,129.6800,127.8100,128.9300,7495800
2026-03-26,129.6400,133.5500,129.6400,133.2500,8168000
2026-03-27,133.0800,134.8700,132.3300,133.8000,9182900
2026-03-30,135.1500,135.8700,131.9100,132.8900,8913900
2026-03-31,132.7600,135.2000,128.3500,132.0000,13519300
2026-04-01,128.1500,129.9300,126.4400,128.3800,12979900
2026-04-02,131.3000,134.4100,129.1100,130.5200,7383800
2026-04-06,130.5000,131.7300,129.3500,131.6400,4210000
2026-04-07,132.0000,133.6900,131.1500,131.7700,6794300
2026-04-08,122.1600,125.8900,120.7000,125.2200,12713800
2026-04-09,126.2900,127.9100,123.2800,123.4700,9069400
2026-04-10,123.3000,124.0500,121.3200,122.5500,10487700
2026-04-13,124.9600,125.3300,122.3800,123.6200,8639400
2026-04-14,121.6400,122.2800,117.9500,118.7900,9849200
2026-04-15,118.1700,120.3600,117.3500,118.9200,6592500
2026-04-16,119.5100,122.4400,119.3700,121.5700,6904300
2026-04-17,116.3300,116.5000,112.2100,116.0400,11665700
