Date,open,high,low,close,volume
2025-05-30,136.880,137.450,135.210,136.700,12858900
2025-06-02,138.490,138.690,136.430,137.840,9076600
2025-06-03,137.650,140.590,136.600,139.550,9001300
2025-06-04,139.420,140.630,137.330,137.370,8735600
2025-06-05,138.150,138.290,136.700,136.900,6342600
2025-06-06,138.090,140.610,138.090,140.210,6563500
2025-06-09,140.550,142.140,139.690,140.760,7159500
2025-06-10,142.220,144.940,141.910,143.350,9841500
2025-06-11,144.190,145.120,142.610,144.780,9256700
2025-06-12,144.500,145.200,143.430,144.970,6999400
2025-06-13,147.080,147.600,144.540,145.910,14148000
2025-06-16,145.730,146.870,143.740,146.030,10105100
2025-06-17,147.330,149.980,146.500,148.850,11330300
2025-06-18,149.440,150.170,147.700,148.190,9841900
2025-06-20,148.520,149.900,147.900,149.550,23705900
2025-06-23,152.120,152.150,146.320,146.860,10540600
2025-06-24,144.540,146.390,143.160,143.550,10778400
2025-06-25,143.410,144.200,142.510,143.230,7386100
2025-06-26,143.700,145.080,143.400,144.440,7415700
2025-06-27,144.550,144.670,142.570,143.790,9213500
2025-06-30,143.040,144.100,142.400,143.190,6980300
2025-07-01,143.340,146.270,142.510,145.570,8508200
2025-07-02,147.010,148.010,145.470,147.980,8228700
2025-07-03,147.840,148.980,147.360,148.370,5173300
2025-07-07,147.400,148.170,145.580,147.400,9460900
2025-07-08,147.320,153.240,147.260,153.240,14082100
2025-07-09,152.940,153.960,152.480,153.020,9495900
2025-07-10,152.790,155.280,151.680,154.170,8395100
2025-07-11,154.290,155.890,153.570,155.310,8333200
2025-07-14,154.900,154.900,151.140,151.650,10706300
2025-07-15,151.600,152.310,150.250,150.690,7346300
2025-07-16,150.760,151.480,149.220,149.920,7923400
2025-07-17,149.160,151.840,148.600,151.380,8359600
2025-07-18,155.020,155.910,146.530,150.040,45782600
2025-07-21,151.200,151.670,149.130,149.680,17982200
2025-07-22,149.260,150.940,148.480,150.040,26196500
2025-07-23,150.910,153.140,150.470,153.120,13162800
2025-07-24,152.690,156.000,152.200,155.830,15701000
2025-07-25,155.830,156.200,153.960,154.840,7875500
2025-07-28,155.400,156.550,154.950,156.280,8755400
2025-07-29,156.680,157.210,155.450,157.030,6446000
2025-07-30,156.140,156.310,152.700,153.560,9191700
2025-07-31,152.000,153.930,151.140,151.640,10237100
