Date,open,high,low,close,volume
2025-05-30,108.500,109.510,107.460,108.570,5536300
2025-06-02,111.110,111.810,109.700,111.340,4151400
2025-06-03,111.360,113.890,110.170,112.820,3279200
2025-06-04,112.960,114.530,110.770,110.770,3333900
2025-06-05,111.920,112.080,110.430,111.030,2697500
2025-06-06,112.690,114.700,112.690,114.050,3055900
2025-06-09,114.200,115.280,113.180,114.330,3647600
2025-06-10,116.340,119.520,116.000,117.880,4952200
2025-06-11,118.950,120.580,117.170,119.920,3893000
2025-06-12,119.260,120.760,118.460,120.590,3318600
2025-06-13,125.240,125.880,122.500,125.280,7915200
2025-06-16,123.390,124.870,121.660,123.180,5142500
2025-06-17,124.590,125.960,123.640,124.640,4563500
2025-06-18,125.000,126.730,123.140,123.780,4553000
2025-06-20,123.990,125.960,123.800,125.320,11229400
2025-06-23,126.860,127.810,121.520,121.990,5080000
2025-06-24,120.880,122.270,119.800,120.680,3980900
2025-06-25,120.240,121.180,119.270,119.820,2799000
2025-06-26,120.000,121.160,119.460,121.130,2705300
2025-06-27,121.000,121.140,119.890,120.800,4187900
2025-06-30,120.000,120.400,118.850,119.610,3491200
2025-07-01,119.970,121.640,118.080,121.190,3680300
2025-07-02,123.200,123.260,120.670,122.880,3460500
2025-07-03,122.870,123.710,122.000,123.150,1437200
2025-07-07,122.180,122.680,118.070,119.610,3692400
2025-07-08,119.720,125.080,119.220,123.950,3753400
2025-07-09,122.980,123.940,121.520,121.890,2245700
2025-07-10,121.130,122.280,119.820,121.730,2703500
2025-07-11,121.860,123.570,121.110,123.040,2215900
2025-07-14,122.610,123.000,121.170,122.600,3074500
2025-07-15,122.590,122.820,119.670,119.710,2993300
2025-07-16,119.710,120.090,117.700,118.800,3682400
2025-07-17,117.220,118.620,117.190,118.430,2795600
2025-07-18,118.990,119.680,117.430,117.680,5901900
2025-07-21,118.020,118.140,116.490,116.490,3248000
2025-07-22,116.710,118.410,116.340,117.930,2200000
2025-07-23,118.320,119.050,117.280,118.880,2798100
2025-07-24,118.780,119.700,118.080,119.050,2452100
2025-07-25,119.060,119.330,117.860,118.390,1785300
2025-07-28,119.740,121.720,119.450,121.650,2795000
2025-07-29,122.000,123.220,120.860,123.150,2916200
2025-07-30,122.230,122.860,120.650,121.240,2691400
2025-07-31,120.290,122.640,119.760,120.020,2657200
2025-08-01,119.460,119.900,115.930,116.600,2689000
2025-08-04,115.930,117.570,115.850,117.010,2300500
2025-08-05,117.220,118.070,116.300,117.780,3035000
2025-08-06,118.960,119.940,116.080,116.590,3050400
2025-08-07,117.160,119.210,115.740,115.970,4400400
2025-08-08,116.290,117.640,113.360,116.280,3969100
2025-08-11,116.900,117.860,115.050,116.840,3043100
2025-08-12,117.070,119.930,116.670,118.010,2902100
2025-08-13,118.000,119.470,117.480,119.470,2951200
2025-08-14,118.780,120.030,118.240,119.790,2246700
2025-08-15,119.820,120.770,118.940,118.990,2944400
2025-08-18,118.360,118.530,117.240,117.730,2743200
2025-08-19,117.040,118.550,116.570,117.320,2425700
2025-08-20,117.740,118.810,117.030,118.360,2527500
2025-08-21,118.130,118.820,117.350,118.510,1853000
2025-08-22,119.040,121.410,118.800,121.110,2245900
2025-08-25,120.600,121.630,119.700,121.430,2092800
2025-08-26,120.590,121.740,120.270,121.300,3191300
2025-08-27,120.890,123.480,120.890,122.880,2195000
2025-08-28,122.970,124.550,122.040,124.340,1937900
2025-08-29,124.270,125.640,124.050,124.820,1738000
2025-09-02,124.480,126.120,123.540,126.100,2224900
2025-09-03,124.910,125.780,119.930,120.580,2658300
2025-09-04,120.380,122.260,119.800,121.600,1689700
2025-09-05,119.910,120.570,117.040,117.930,3711200
2025-09-08,117.850,118.420,116.060,117.650,2550500
2025-09-09,118.380,119.750,117.260,117.310,2359000
2025-09-10,117.750,120.290,117.380,120.260,2128100
2025-09-11,119.080,120.400,118.540,120.000,2283100
2025-09-12,120.770,121.020,117.970,118.160,1967200
2025-09-15,118.000,118.280,116.820,117.540,2179700
2025-09-16,118.930,121.380,118.340,120.840,2717700
2025-09-17,119.940,121.210,118.740,119.840,2851200
2025-09-18,120.000,120.140,117.740,118.320,2911400
2025-09-19,118.420,118.420,115.500,116.000,6830300
2025-09-22,115.670,116.230,114.990,115.410,2930000
2025-09-23,116.150,119.110,115.500,115.670,3838100
2025-09-24,116.660,118.630,116.030,116.700,3793300
2025-09-25,116.610,118.110,116.120,117.300,3810000
2025-09-26,116.680,119.200,116.680,117.310,4251700
2025-09-29,116.160,116.560,113.180,113.350,5446800
2025-09-30,112.050,112.610,111.020,112.120,7130000
2025-10-01,111.550,111.940,110.450,111.270,4107800
2025-10-02,111.100,113.320,110.290,110.400,4427500
2025-10-03,110.390,111.400,110.180,110.830,4788700
2025-10-06,110.640,111.510,110.390,110.450,3362100
2025-10-07,110.350,110.580,108.870,110.450,3571700
2025-10-08,110.370,110.710,109.340,110.500,4190000
2025-10-09,111.400,112.420,110.080,111.920,4612100
2025-10-10,110.890,111.710,108.040,108.070,4434200
2025-10-13,109.670,109.980,108.120,109.720,4453700
2025-10-14,107.590,110.450,107.530,109.120,3101500
2025-10-15,109.480,110.110,107.940,108.630,2764600
2025-10-16,108.830,109.390,105.200,107.250,4392000
2025-10-17,106.550,107.000,104.960,106.220,6667700
2025-10-20,106.480,107.020,105.780,106.400,3635300
2025-10-21,106.800,107.230,106.010,106.040,4254000
2025-10-22,107.010,107.080,105.650,106.210,5151000
2025-10-23,108.500,109.000,107.240,108.080,4603500
2025-10-24,108.000,108.320,106.320,106.380,3133200
2025-10-27,107.080,107.700,106.370,106.780,3795500
2025-10-28,106.760,106.790,105.630,105.900,3064900
2025-10-29,105.690,107.000,105.690,106.000,3740600
2025-10-30,105.570,106.410,104.940,105.460,3698700
2025-10-31,105.550,106.670,105.210,105.840,3965100
2025-11-03,105.910,105.990,103.900,105.640,3749700
2025-11-04,104.000,105.490,103.970,105.260,4758700
2025-11-05,105.060,106.500,104.750,105.190,3636000
2025-11-06,105.570,106.600,104.820,105.000,6018300
2025-11-07,106.230,106.630,103.500,105.410,7053600
2025-11-10,105.910,107.030,104.400,106.570,4811000
2025-11-11,107.290,110.670,107.270,109.340,5666800
2025-11-12,108.590,109.620,108.290,108.740,3397000
2025-11-13,109.370,110.520,108.760,109.240,3077600
2025-11-14,109.450,110.610,108.450,110.400,3721200
2025-11-17,110.530,111.120,108.630,109.480,3410800
2025-11-18,108.650,109.760,107.870,109.570,2720900
2025-11-19,107.290,107.450,106.070,107.090,3337700
2025-11-20,107.550,109.600,105.770,106.070,3833500
2025-11-21,105.800,107.850,105.240,106.970,3794200
2025-11-24,106.350,107.050,104.460,106.590,4095200
2025-11-25,105.560,106.040,104.610,105.470,3170700
2025-11-26,105.600,106.930,105.470,106.200,2650300
2025-11-28,106.110,108.450,105.930,107.850,1530700
2025-12-01,108.180,110.110,107.900,109.710,4119500
2025-12-02,109.490,109.650,108.060,109.060,3638300
2025-12-03,110.030,111.870,109.700,111.510,3922100
2025-12-04,111.720,112.700,111.280,112.160,3533600
2025-12-05,111.810,114.250,111.810,112.170,3128800
2025-12-08,111.030,112.320,110.070,110.620,4161900
2025-12-09,110.000,111.220,109.280,109.390,3083300
2025-12-10,109.320,111.580,107.600,111.430,4705800
2025-12-11,110.840,111.730,109.200,109.510,3403800
2025-12-12,110.360,110.480,107.720,108.010,3438600
2025-12-15,108.190,108.380,104.800,105.930,5005900
2025-12-16,105.160,105.460,101.690,101.780,4435000
2025-12-17,102.010,105.020,101.880,104.740,5374600
2025-12-18,104.210,104.210,102.120,102.610,3928100
2025-12-19,102.390,103.150,101.590,101.930,9611500
2025-12-22,103.130,104.220,102.810,103.420,2969000
2025-12-23,103.700,104.080,103.250,103.990,2334800
2025-12-24,103.890,104.880,103.500,103.870,1647600
2025-12-26,103.710,104.300,103.060,103.500,2224900
2025-12-29,104.310,105.080,104.030,104.640,3053000
2025-12-30,105.330,105.900,105.230,105.660,2819700
2025-12-31,105.680,105.870,104.610,105.010,2377400
