Date,open,high,low,close,volume
2025-05-30,33.4000,33.5000,32.8400,33.0500,20668300
2025-06-02,33.7400,33.8300,32.9100,33.3400,12681500
2025-06-03,33.4000,34.3700,32.8300,34.1100,16171900
2025-06-04,33.8800,34.2100,33.1300,33.2400,13545100
2025-06-05,33.4600,33.5200,33.0400,33.0800,11545800
2025-06-06,33.4900,34.0600,33.3800,33.8700,10410100
2025-06-09,34.1200,34.5200,33.9100,34.1200,12437700
2025-06-10,34.5400,35.7800,34.3500,35.5200,15648900
2025-06-11,35.6500,35.9500,35.1500,35.6900,14446000
2025-06-12,35.2500,35.7000,34.9200,35.6300,10046700
2025-06-13,36.2100,36.4400,35.5700,36.3000,15387400
2025-06-16,36.1400,36.4100,35.5800,35.9100,16121500
2025-06-17,36.2200,36.6000,35.8500,36.0800,16172900
2025-06-18,36.1000,36.4400,35.8200,35.8500,17588600
2025-06-20,35.9400,36.0700,35.4900,35.8400,30021000
2025-06-23,36.1600,36.1700,33.6200,33.7300,25846100
2025-06-24,33.2700,33.9800,33.0600,33.5000,24521000
2025-06-25,33.4900,33.7200,33.0500,33.1800,13448800
2025-06-26,33.2700,33.8700,33.1700,33.8300,14211000
2025-06-27,34.0000,34.1600,33.7100,34.0100,17166000
2025-06-30,33.9000,34.2000,33.7200,33.8000,13101500
2025-07-01,33.8000,35.7700,33.4500,35.2000,18964600
2025-07-02,35.7700,35.9100,34.8700,35.9100,16153400
2025-07-03,36.0000,36.0000,35.4900,35.6500,7240700
2025-07-07,35.4200,35.6700,34.5100,34.9500,9710100
2025-07-08,34.9800,36.7100,34.9400,36.5400,13525700
2025-07-09,36.2900,36.6000,35.9900,36.2500,11430600
2025-07-10,36.0300,36.9800,35.7000,36.6500,11649200
2025-07-11,36.4500,38.1500,36.3400,37.3100,11335200
2025-07-14,37.0200,37.1200,35.9600,36.2200,12686400
2025-07-15,36.1500,36.2200,34.9200,35.0700,17351500
2025-07-16,35.0000,35.1900,34.3000,34.5900,19849600
2025-07-17,34.4800,34.8500,34.1700,34.6700,70887000
2025-07-18,34.3000,35.1100,33.1700,33.3200,35376400
2025-07-21,33.6500,34.2800,33.4600,33.5400,22403000
2025-07-22,33.6400,34.4500,33.3600,34.3500,20793800
2025-07-23,34.8000,35.5300,34.5800,35.1400,22471100
2025-07-24,34.9400,35.4000,34.7100,35.2400,15592100
2025-07-25,35.4100,35.6300,35.1100,35.4700,11467800
2025-07-28,35.6500,36.1900,35.5600,36.0000,13367900
2025-07-29,35.8000,35.9600,35.2100,35.6300,14315300
2025-07-30,35.4300,35.5100,33.9200,34.1700,17945400
2025-07-31,33.9800,34.3800,33.6900,33.8000,13121200
2025-08-01,33.6100,33.6100,32.3600,33.0500,17071400
2025-08-04,32.8900,33.2000,32.5400,32.8800,11901700
2025-08-05,33.0000,33.6200,32.7000,33.5000,12204500
2025-08-06,33.7900,34.1000,32.6600,32.8600,11467900
2025-08-07,33.2900,33.6600,32.7100,32.7900,11213300
2025-08-08,33.0500,33.2200,32.5900,32.8700,10217200
2025-08-11,33.0900,33.1200,32.1500,32.3700,10020000
2025-08-12,32.4800,33.2400,32.4700,32.9400,10286500
2025-08-13,32.9900,33.5500,32.8200,33.5500,10370400
2025-08-14,33.3700,33.4500,32.6600,33.2200,16284400
2025-08-15,33.1000,33.3500,32.9300,32.9900,10421900
2025-08-18,33.0100,33.5700,32.7700,33.3000,9148300
2025-08-19,33.3200,33.7300,33.0900,33.3400,10834500
2025-08-20,33.2200,33.6400,32.9700,33.3600,9917500
2025-08-21,33.3600,33.9700,33.1500,33.8100,11130100
2025-08-22,34.0000,35.7000,33.9400,35.6100,16024900
2025-08-25,35.6000,35.8300,35.3000,35.6500,8184200
2025-08-26,35.4900,35.5900,35.0100,35.3200,16438200
2025-08-27,35.2700,36.2200,35.2200,35.9800,13565700
2025-08-28,35.9600,36.5300,35.7000,36.4800,18279500
2025-08-29,36.5100,37.0500,36.5100,36.8400,11887800
2025-09-02,36.6800,36.7600,35.6600,35.9000,20356300
2025-09-03,35.3300,35.7600,34.9100,35.0000,16567600
2025-09-04,35.0000,36.0200,34.5500,36.0100,12427600
2025-09-05,35.6100,36.3000,35.4300,35.8200,13436400
2025-09-08,36.1100,36.3400,35.4100,35.7800,27242300
2025-09-09,36.0300,36.5700,35.7700,35.7800,12029500
2025-09-10,35.7200,36.3700,35.1700,36.1600,20429100
2025-09-11,36.0300,36.5600,35.7700,36.0300,15317600
2025-09-12,36.2600,36.5300,35.4200,35.5700,13476900
2025-09-15,35.8000,36.3000,34.7500,34.7700,14218500
2025-09-16,34.9000,35.5600,34.6200,35.2400,20804800
2025-09-17,35.0200,35.6700,34.4800,34.7900,20414600
2025-09-18,35.0100,35.0900,34.1600,34.7400,18765500
2025-09-19,34.3900,34.5600,34.0100,34.4300,33104800
2025-09-22,33.5900,34.2200,33.4300,33.9200,19114000
2025-09-23,33.7900,35.2000,33.7000,34.4900,26182700
2025-09-24,34.8100,35.1600,34.5500,34.6100,14604500
2025-09-25,34.4200,34.8000,34.2200,34.5900,11619300
2025-09-26,34.7600,35.9200,34.7600,35.5200,14594600
2025-09-29,35.3300,35.3400,34.6800,35.1100,14983000
2025-09-30,34.7100,34.8000,33.4200,34.3700,18281900
2025-10-01,34.2200,35.1400,34.1000,35.0900,11264500
2025-10-02,34.9600,35.2000,34.0600,34.1100,10930200
2025-10-03,34.3700,34.6600,34.2100,34.2600,9581400
2025-10-06,34.5500,34.8400,34.1700,34.5900,18649900
2025-10-07,34.5600,35.1000,34.0500,34.4100,18080300
2025-10-08,34.5400,34.5800,33.8600,33.9700,15217300
2025-10-09,34.2500,34.5500,32.9900,33.1300,12284900
2025-10-10,33.0200,33.0900,31.7200,31.7200,15644200
2025-10-13,32.0800,32.3200,31.6400,32.2700,29484700
2025-10-14,31.7500,32.7600,31.6900,32.5700,13014200
2025-10-15,32.8400,32.9100,32.3300,32.5700,16212900
2025-10-16,32.7600,32.9400,32.3500,32.9200,24453600
2025-10-17,32.7000,33.2600,31.6400,32.6300,39002900
2025-10-20,32.9500,33.4800,32.5000,33.4300,17997800
2025-10-21,33.7200,33.9800,33.1200,33.5200,18033400
2025-10-22,34.0900,35.2300,34.0000,34.9000,18761400
2025-10-23,35.6500,36.0900,34.9800,36.0100,19431500
2025-10-24,36.1000,36.6400,35.8000,35.8300,17000600
2025-10-27,36.1700,36.8300,35.8900,36.1600,17423200
2025-10-28,36.1800,36.3300,35.6900,35.8600,12504600
2025-10-29,35.9200,36.9500,35.7900,36.8300,16662800
2025-10-30,36.6800,37.0500,36.2800,36.3200,15557600
2025-10-31,36.2600,36.5300,35.7800,36.0600,15188200
2025-11-03,36.1000,37.3100,36.0300,37.0200,19349000
2025-11-04,36.3200,36.4600,35.7900,36.1200,18718800
2025-11-05,36.2500,37.0300,35.9600,36.5500,14655300
2025-11-06,36.6600,37.2100,36.3400,36.3600,14651300
2025-11-07,36.4800,36.8000,35.8900,36.6600,11074700
2025-11-10,36.8800,37.0500,36.1100,36.9100,12276000
