Date,open,high,low,close,volume
2025-05-30,129.110,130.360,128.150,128.970,3870500
2025-06-02,131.210,131.210,125.100,128.300,2824500
2025-06-03,128.380,132.060,127.080,130.950,2310700
2025-06-04,130.390,131.830,125.500,126.540,4458400
2025-06-05,127.260,128.100,125.770,126.880,1845400
2025-06-06,128.110,130.440,127.840,128.350,2607400
2025-06-09,129.400,130.230,128.020,128.260,2615600
2025-06-10,129.960,133.360,129.650,131.930,2150600
2025-06-11,133.500,134.590,131.000,134.060,2400700
2025-06-12,132.760,133.580,131.280,133.500,2124600
2025-06-13,132.030,134.140,131.960,134.110,3758300
2025-06-16,135.000,138.450,133.980,137.760,3427800
2025-06-17,139.390,142.930,137.820,141.770,4292500
2025-06-18,141.260,142.530,139.280,139.420,2872700
2025-06-20,140.090,141.980,139.000,141.100,5438600
2025-06-23,142.230,142.480,136.110,137.060,3229200
2025-06-24,135.930,137.440,134.750,135.850,2973200
2025-06-25,135.580,137.500,134.660,135.720,2327800
2025-06-26,136.080,137.900,134.540,136.970,2743700
2025-06-27,136.140,136.460,133.270,134.690,8049500
2025-06-30,134.070,135.690,133.750,134.420,2413500
2025-07-01,134.860,139.630,134.250,138.010,3578300
2025-07-02,139.710,142.480,137.910,142.060,3528100
2025-07-03,141.590,145.840,141.050,144.580,2224600
2025-07-07,143.640,145.260,142.730,143.740,2537500
2025-07-08,144.870,148.970,143.780,148.670,7593600
2025-07-09,148.820,150.360,147.860,149.070,3304000
2025-07-10,149.140,155.120,147.820,154.810,3762700
2025-07-11,153.260,154.500,152.200,153.050,3055000
2025-07-14,151.910,151.910,148.500,148.870,2626800
2025-07-15,149.130,150.440,147.820,148.800,2568400
2025-07-16,147.800,149.030,142.920,143.190,4002900
2025-07-17,144.000,145.330,143.610,144.670,2418800
2025-07-18,147.440,148.750,145.490,146.150,3417800
2025-07-21,145.430,147.500,144.770,146.280,2129200
2025-07-22,144.630,147.460,144.630,145.110,2818300
2025-07-23,145.670,147.700,144.980,147.540,2949400
2025-07-24,144.600,145.010,139.610,140.340,6183700
2025-07-25,141.880,143.290,140.080,141.970,2792200
2025-07-28,142.870,144.970,142.730,144.750,2205700
2025-07-29,144.940,145.330,141.530,144.730,3245700
2025-07-30,142.910,143.580,138.070,139.370,4629600
2025-07-31,137.310,138.720,136.480,137.310,3565500
2025-08-01,135.160,136.280,132.490,133.180,2250300
2025-08-04,133.600,135.660,132.670,135.040,2920300
2025-08-05,135.000,137.250,133.930,136.830,2178400
2025-08-06,138.060,138.160,132.860,133.460,2764100
2025-08-07,135.000,135.750,132.090,132.590,2060100
2025-08-08,133.560,134.870,132.500,133.290,2165600
2025-08-11,133.970,134.610,130.780,131.770,2122300
2025-08-12,132.650,135.230,131.520,133.380,1815000
2025-08-13,133.390,136.280,133.060,136.150,2093200
2025-08-14,134.880,136.450,133.330,135.820,1906000
2025-08-15,135.470,137.350,135.010,136.800,2037300
2025-08-18,135.670,137.050,135.020,136.810,1869700
2025-08-19,137.270,139.890,136.870,137.930,1540200
2025-08-20,138.310,141.220,138.000,140.510,2082900
2025-08-21,139.990,140.480,137.880,140.290,2394300
2025-08-22,140.970,145.700,140.130,145.370,2106400
2025-08-25,145.000,147.890,144.300,147.110,2040300
2025-08-26,146.640,147.210,145.140,146.950,2591800
2025-08-27,146.760,151.470,146.760,150.770,2149300
2025-08-28,150.840,151.850,149.520,151.160,2092900
2025-08-29,151.830,153.250,150.100,152.010,2242700
2025-09-02,152.340,154.300,151.250,154.280,3217100
2025-09-03,155.830,159.260,154.190,155.380,3080300
2025-09-04,155.570,157.150,154.750,155.390,2611300
2025-09-05,154.360,157.520,153.200,156.770,2599300
2025-09-08,156.870,157.550,153.620,157.360,2458900
2025-09-09,158.600,163.020,157.140,161.830,3869200
2025-09-10,161.230,162.710,153.600,158.500,4199400
2025-09-11,158.080,160.400,157.050,157.590,2621100
2025-09-12,158.630,159.280,156.350,156.720,1642600
2025-09-15,157.100,159.420,155.800,157.570,2080800
2025-09-16,159.370,163.340,158.650,162.640,2920600
2025-09-17,162.020,165.650,161.700,163.670,2892200
2025-09-18,164.350,164.350,160.350,163.850,2492500
2025-09-19,163.430,163.730,161.100,162.620,8119400
2025-09-22,162.630,167.080,161.930,166.440,2613000
2025-09-23,166.700,172.030,166.700,170.390,4022400
2025-09-24,170.990,173.760,170.800,170.830,3523400
2025-09-25,171.090,176.020,170.370,174.420,4094100
2025-09-26,174.830,178.430,174.080,175.630,3032400
2025-09-29,175.000,175.000,170.140,172.140,2604700
2025-09-30,170.310,172.080,168.750,170.260,2385700
2025-10-01,170.010,170.010,166.450,167.670,2458600
2025-10-02,166.860,167.610,162.360,164.700,3916300
2025-10-03,165.950,168.500,159.910,160.400,4487700
2025-10-06,161.820,165.070,160.800,163.420,2020700
2025-10-07,163.160,163.780,158.870,163.170,2173600
2025-10-08,162.680,163.910,160.650,162.440,1582400
2025-10-09,163.740,164.430,161.250,162.010,1655500
2025-10-10,160.740,161.800,157.640,158.020,2362700
2025-10-13,159.850,162.550,159.850,161.410,1382300
2025-10-14,159.110,163.660,159.110,162.190,1953400
2025-10-15,163.690,164.130,159.130,160.980,1756500
2025-10-16,161.830,161.960,155.290,156.390,2661300
2025-10-17,157.600,160.260,156.170,157.770,2148700
2025-10-20,158.170,161.260,157.790,160.170,1354000
2025-10-21,159.610,160.870,157.300,157.690,1605200
2025-10-22,158.750,162.560,156.260,161.870,3181400
2025-10-23,163.750,174.140,163.750,173.130,4679900
2025-10-24,174.220,176.220,170.800,171.050,2352900
2025-10-27,171.480,174.420,169.780,174.350,2614200
2025-10-28,172.970,173.160,169.300,169.340,1708100
2025-10-29,168.830,172.050,167.180,170.660,1569800
2025-10-30,170.240,173.800,169.020,170.100,1849500
2025-10-31,169.850,171.010,167.020,169.560,1670100
2025-11-03,170.510,171.960,167.800,171.600,1658000
2025-11-04,169.000,169.870,165.050,169.110,2188300
2025-11-05,169.710,172.690,168.620,170.140,1762400
2025-11-06,172.030,179.100,172.030,176.010,3111800
2025-11-07,176.760,179.000,174.260,175.620,2393400
2025-11-10,175.530,180.150,172.970,179.180,2145900
2025-11-11,180.100,182.990,179.950,180.860,1868800
2025-11-12,180.000,181.500,177.180,177.540,1800800
2025-11-13,178.110,179.540,175.080,175.780,2308100
2025-11-14,176.500,183.930,176.300,181.760,3222400
2025-11-17,181.730,182.720,178.090,178.400,3014800
2025-11-18,177.710,185.620,176.800,185.430,3387500
2025-11-19,179.350,181.160,175.680,180.330,3768400
2025-11-20,180.110,182.940,170.630,170.820,3980500
2025-11-21,170.420,175.780,168.580,173.450,3735100
2025-11-24,172.950,175.020,168.500,174.370,3817000
2025-11-25,174.220,175.380,170.410,174.100,2646100
2025-11-26,174.000,176.450,174.000,174.470,1759900
2025-11-28,175.010,177.800,174.500,176.760,936200
2025-12-01,177.320,182.050,177.100,180.540,2573100
2025-12-02,179.440,179.820,173.650,178.530,3239000
2025-12-03,179.020,181.160,176.200,177.050,3138600
2025-12-04,177.380,177.840,171.650,174.950,3258900
2025-12-05,174.950,178.100,174.000,174.140,2202900
2025-12-08,173.560,175.580,170.730,173.560,2040400
2025-12-09,173.190,176.440,172.370,175.320,2026200
2025-12-10,173.980,177.990,171.700,176.000,2895900
2025-12-11,172.280,173.970,169.820,171.910,2910900
2025-12-12,170.350,171.100,166.780,168.300,3234700
2025-12-15,168.300,168.320,166.030,167.900,3332600
2025-12-16,166.280,166.450,161.540,162.820,4040500
2025-12-17,163.390,163.390,159.900,162.910,2924300
2025-12-18,163.850,163.850,160.720,161.940,2548500
2025-12-19,161.850,164.440,161.540,162.710,6529800
2025-12-22,164.490,165.490,162.800,163.550,2795800
2025-12-23,164.160,165.190,162.980,164.770,1970900
2025-12-24,164.130,164.560,162.750,164.470,881600
2025-12-26,164.020,164.810,162.220,164.010,2517800
2025-12-29,165.000,166.680,162.890,165.660,2811600
2025-12-30,166.650,166.730,163.650,164.860,2569000
2025-12-31,164.860,165.020,160.970,162.790,2321000
2026-01-02,163.250,165.670,162.080,165.310,1938600
2026-01-05,179.690,184.980,177.510,180.570,9056500
2026-01-06,182.700,184.070,177.250,178.270,5333000
2026-01-07,184.360,187.650,183.070,183.860,7565700
2026-01-08,184.110,192.000,181.010,191.320,5961700
2026-01-09,191.490,191.850,182.610,185.280,5472900
2026-01-12,185.360,185.590,178.340,179.620,3368500
2026-01-13,182.320,185.000,179.880,181.740,3100300
2026-01-14,183.260,189.950,181.690,186.510,3963000
2026-01-15,184.500,186.560,183.260,184.580,2172200
2026-01-16,185.000,186.300,182.850,183.460,2374400
2026-01-20,184.550,186.990,183.100,184.730,2689800
2026-01-21,187.980,193.330,187.330,188.190,3130300
2026-01-22,187.580,189.310,185.370,186.890,2951500
2026-01-23,189.490,194.350,186.870,187.090,2846600
2026-01-26,188.670,189.870,181.530,183.280,3370600
2026-01-27,184.730,185.800,181.140,182.910,2359800
2026-01-28,184.930,186.770,182.550,184.020,2756700
2026-01-29,191.770,194.500,182.000,182.490,6555800
2026-01-30,183.160,183.160,177.910,181.430,3295500
2026-02-02,178.070,181.500,176.500,180.220,2781100
2026-02-03,182.610,193.040,180.960,192.270,5522900
2026-02-04,193.280,198.360,193.240,197.410,4467400
2026-02-05,192.630,194.880,190.110,194.140,2376300
2026-02-06,195.880,203.140,194.500,202.680,2871200
2026-02-09,202.920,204.140,199.900,201.380,1949000
2026-02-10,200.250,201.000,197.750,199.500,2033800
2026-02-11,203.170,204.330,200.510,203.920,2918200
2026-02-12,204.080,206.770,195.710,196.910,3189200
2026-02-13,196.950,201.510,195.990,200.170,2170700
2026-02-17,201.350,204.250,195.770,197.340,2203800
2026-02-18,199.550,200.440,196.990,199.460,2052200
2026-02-19,200.400,201.230,196.600,199.240,2187600
2026-02-20,198.540,201.790,198.000,200.760,1979000
2026-02-23,200.630,204.260,195.700,197.390,2016200
2026-02-24,197.410,199.500,194.580,199.330,1896700
2026-02-25,200.470,200.680,195.370,199.640,2260800
2026-02-26,198.000,205.990,196.880,203.790,2343000
2026-02-27,203.960,205.030,199.100,204.640,2993500
2026-03-02,214.990,216.180,207.490,214.910,5489300
2026-03-03,218.990,221.950,210.760,217.710,5393700
2026-03-04,217.250,225.960,216.440,225.600,4221400
2026-03-05,229.500,232.990,223.320,228.030,6138000
2026-03-06,226.970,230.490,221.320,224.630,4337300
2026-03-09,226.370,226.370,214.110,215.950,6476300
2026-03-10,216.010,220.910,213.830,217.020,3952900
2026-03-11,218.630,231.230,218.630,231.050,3757900
2026-03-12,232.390,240.270,230.840,235.810,4990000
2026-03-13,232.260,235.700,230.300,230.590,4088000
2026-03-16,232.590,234.970,230.000,232.570,2648700
2026-03-17,234.500,237.890,232.350,235.960,2500800
2026-03-18,239.310,242.560,236.740,238.460,3527500
2026-03-19,241.780,247.730,240.570,242.070,4205500
2026-03-20,243.210,244.740,237.940,239.860,19803100
2026-03-23,232.250,241.450,231.200,237.390,3904200
2026-03-24,238.740,246.260,236.300,241.750,3678300
2026-03-25,238.900,243.750,234.270,234.540,4480900
2026-03-26,235.240,249.110,235.000,248.140,4151100
2026-03-27,247.860,255.970,246.070,254.320,4530000
2026-03-30,255.690,258.430,248.430,250.270,4123800
2026-03-31,249.780,254.910,242.550,247.080,3744000
2026-04-01,242.750,245.010,235.690,241.460,5062300
2026-04-02,248.600,250.720,241.000,244.090,2669300
2026-04-06,242.470,245.650,239.450,245.580,1486900
2026-04-07,245.910,254.550,245.710,251.490,3611700
2026-04-08,235.000,241.650,231.890,239.640,5313900
2026-04-09,240.090,245.560,233.120,235.100,3905400
2026-04-10,233.830,239.070,230.200,238.820,2896900
2026-04-13,243.160,243.310,237.780,242.080,2772500
2026-04-14,242.600,242.600,234.790,235.580,2830100
2026-04-15,234.090,236.560,231.030,235.000,2286900
2026-04-16,235.000,242.650,235.000,241.740,1925200
2026-04-17,228.190,229.000,214.710,223.650,6989100
