Date,open,high,low,close,volume
2025-05-30,59.9700,60.7000,59.6500,60.5100,12301600
2025-06-02,61.1600,61.3900,60.1800,61.2700,11558300
2025-06-03,61.2900,61.4500,60.6600,61.1100,9977400
2025-06-04,61.0000,61.2200,59.8800,60.1200,7445100
2025-06-05,60.6100,60.8200,60.0300,60.5600,4844600
2025-06-06,61.1000,61.1400,60.2700,60.5600,5273300
2025-06-09,60.5200,60.7100,59.1800,59.6600,6991800
2025-06-10,59.7300,60.4200,58.4800,58.9600,6979300
2025-06-11,59.2900,59.7200,59.0300,59.4200,6848200
2025-06-12,59.4200,60.1000,59.2300,60.0800,5715300
2025-06-13,60.3500,60.3500,58.6000,59.7800,8203400
2025-06-16,59.9600,60.6600,58.9000,59.1500,5805400
2025-06-17,59.4900,59.6000,58.3800,58.5000,7467400
2025-06-18,58.8500,59.3800,58.2000,59.1200,7879900
2025-06-20,59.6300,60.4900,59.3100,60.4900,14263600
2025-06-23,60.8600,61.5700,60.0100,60.4800,11633800
2025-06-24,60.3300,61.3300,60.1000,61.1200,9317100
2025-06-25,61.1200,61.2100,60.1100,60.6900,6655700
2025-06-26,60.7800,62.8900,60.7200,62.8700,9378600
2025-06-27,62.9300,63.1800,62.3800,62.6700,27816300
2025-06-30,62.6700,63.4500,62.2500,62.8100,8237800
2025-07-01,62.5400,62.7700,58.3200,58.7200,18939800
2025-07-02,58.7600,59.5000,57.9000,59.1400,8341700
2025-07-03,59.1600,59.2300,58.1200,58.6400,4606800
2025-07-07,58.6400,59.1500,58.2600,58.4800,5461700
2025-07-08,58.1000,58.4100,56.6800,57.6900,9723300
2025-07-09,58.0000,58.3200,57.1400,57.8500,7267800
2025-07-10,57.6500,57.9600,56.5000,57.7800,7391300
2025-07-11,57.6900,58.4700,57.6500,58.2200,7546000
2025-07-14,58.0200,59.1200,57.8300,59.0400,5140000
2025-07-15,58.8000,59.0400,57.4400,58.3700,6103100
2025-07-16,58.3700,58.9200,58.1500,58.4800,5573700
2025-07-17,58.0100,58.5700,57.5100,58.0900,7181400
2025-07-18,58.5400,59.9700,58.2400,59.3500,7919200
2025-07-21,58.9500,59.2800,57.5700,57.6800,6889600
2025-07-22,57.9700,58.0700,57.3400,57.3600,5390400
2025-07-23,57.2600,57.8900,56.9600,57.7100,6756800
2025-07-24,57.6400,58.9300,57.5700,58.7500,5846300
2025-07-25,58.6600,58.6600,57.7200,57.8200,4957500
2025-07-28,58.1400,58.2300,57.2300,57.5100,5337400
2025-07-29,58.0900,59.0300,57.7700,58.8900,5768100
2025-07-30,58.7400,59.3400,58.6000,59.2400,4467900
2025-07-31,59.1700,60.6700,59.0000,59.9500,9593200
2025-08-01,59.6800,60.7100,59.0500,60.2700,7834800
2025-08-04,60.5900,61.1300,60.1900,60.2600,8081600
2025-08-05,59.3500,60.0100,56.9900,59.0000,14876100
2025-08-06,58.7400,58.9700,57.6000,58.6400,7834500
2025-08-07,58.8500,59.3400,57.7000,57.8900,7541100
2025-08-08,58.2900,58.4900,57.3100,57.8900,5384600
2025-08-11,57.9700,58.6600,57.8000,58.0600,4764400
2025-08-12,58.0000,58.1300,56.8600,57.7600,6564600
2025-08-13,57.8700,58.2500,56.9100,57.8600,5834400
2025-08-14,58.0800,58.0900,57.1400,57.3400,9163500
2025-08-15,57.7700,58.4400,57.3400,57.4600,7538800
2025-08-18,57.1400,57.2000,56.3000,56.5200,5812800
2025-08-19,56.1600,56.6200,55.8200,56.5700,5303100
2025-08-20,56.9900,57.5800,56.5400,57.2200,6270200
2025-08-21,57.1500,58.0800,57.1100,57.8000,4383900
2025-08-22,57.8500,58.0100,56.9300,57.0700,4663300
2025-08-25,56.9900,57.5300,56.5600,56.8300,4104600
2025-08-26,57.0100,57.2300,56.4700,57.1300,9560600
2025-08-27,56.9700,57.6500,56.9000,57.4900,5909800
2025-08-28,57.4900,58.0900,56.9100,58.0000,5366600
2025-08-29,57.9700,58.0200,57.5000,57.8800,4093400
2025-09-02,57.5100,57.9400,56.7900,57.3800,7833700
2025-09-03,57.3600,57.9900,56.9500,57.7300,6213300
2025-09-04,58.0000,58.5900,57.1700,57.5800,5554700
2025-09-05,57.4900,57.8300,56.0900,57.2000,8344800
2025-09-08,57.3000,57.6800,56.4600,56.8500,4669300
2025-09-09,57.1900,57.9700,56.9700,57.5700,4490000
2025-09-10,57.7600,59.2900,57.7500,58.7600,5960100
2025-09-11,58.6100,59.3500,58.3600,59.3300,5397600
2025-09-12,58.8500,59.3300,58.5900,58.8100,5630400
