Date,open,high,low,close,volume
2025-05-30,102.1600,102.3900,101.1900,102.3000,28645800
2025-06-02,103.7500,103.8500,102.2200,103.0500,17290500
2025-06-03,102.9000,104.6600,102.2100,103.8000,19194300
2025-06-04,103.9200,104.9200,102.3000,102.3000,15648500
2025-06-05,102.9800,103.0500,101.7300,101.8300,13924800
2025-06-06,102.7600,104.5000,102.6800,104.2700,15487800
2025-06-09,104.3300,105.8500,103.8300,104.9700,17087300
2025-06-10,106.0800,107.6500,105.9300,107.2200,17634800
2025-06-11,107.7600,109.3900,106.4600,109.3100,22648200
2025-06-12,108.9200,110.1900,108.2200,109.7300,17469400
2025-06-13,112.3500,112.5300,110.6800,112.1200,28540200
2025-06-16,111.8200,113.1600,111.1300,112.4800,22986100
2025-06-17,113.9500,114.9300,113.1100,114.0000,19451700
2025-06-18,114.6100,115.2400,112.9400,113.1900,17968900
2025-06-20,113.4500,115.0400,113.1800,114.7000,36273300
2025-06-23,116.7000,116.9500,111.1600,111.7400,26631100
2025-06-24,109.2500,110.9400,107.9100,108.3400,24828300
2025-06-25,108.1100,109.2400,107.7000,108.3700,17483200
2025-06-26,108.9400,110.4400,108.5500,109.9900,18304800
2025-06-27,109.9400,110.1000,108.3700,109.3800,22002100
2025-06-30,108.6400,108.8400,107.7200,107.8000,19199000
2025-07-01,108.1300,109.6400,107.1500,109.2400,15536900
2025-07-02,110.0000,111.3600,108.8300,111.0500,11892200
2025-07-03,110.8600,112.4700,110.6200,112.2000,11223600
2025-07-07,111.5400,112.0500,110.2200,111.1100,15415900
2025-07-08,110.8900,114.4600,110.8500,114.1900,17913400
2025-07-09,113.9200,114.2700,113.2700,113.8000,10652100
2025-07-10,113.7100,115.2700,113.0700,114.9300,14901700
2025-07-11,114.8500,115.7600,114.5100,115.4300,11683900
2025-07-14,115.2300,115.2300,113.2200,113.9200,13220300
2025-07-15,113.6600,114.0600,112.6000,112.9100,10959300
2025-07-16,112.8800,113.5000,112.1000,112.2300,11158900
2025-07-17,111.4900,112.2300,111.0900,111.6600,13151400
2025-07-18,111.1100,111.7300,107.3400,107.7700,32366600
