Date,open,high,low,close,volume
2025-05-30,294.970,295.750,291.630,294.050,5251700
2025-06-02,292.350,295.750,290.330,295.330,1751200
2025-06-03,295.200,298.250,292.650,297.390,2202400
2025-06-04,297.810,298.650,295.800,295.930,1842100
2025-06-05,296.500,298.500,294.140,295.960,1696900
2025-06-06,300.290,303.500,299.230,302.470,2099000
2025-06-09,303.790,303.790,299.580,301.560,2097800
2025-06-10,301.700,301.780,298.000,299.520,2045300
2025-06-11,300.180,303.390,298.650,299.100,2013500
2025-06-12,296.670,298.580,294.000,297.990,1604500
2025-06-13,292.550,293.330,286.150,287.790,3405600
2025-06-16,290.930,296.450,290.020,294.220,2307800
2025-06-17,292.090,294.590,290.950,292.810,2625800
2025-06-18,292.080,299.240,292.080,296.420,3691500
2025-06-20,297.580,299.750,296.640,298.590,5687000
2025-06-23,296.820,299.870,291.880,299.630,3101700
2025-06-24,303.100,309.220,302.150,308.380,2805900
2025-06-25,308.890,310.770,307.180,308.590,2467200
2025-06-26,309.580,312.270,308.170,311.420,3255200
2025-06-27,314.080,320.120,313.100,317.190,4605500
2025-06-30,318.580,320.130,317.590,318.980,3416600
2025-07-01,316.930,324.380,316.300,322.530,3836200
2025-07-02,322.990,326.620,321.340,325.610,3040200
2025-07-03,325.330,329.140,324.180,328.130,1541800
2025-07-07,327.520,328.410,320.260,322.730,2160300
2025-07-08,324.470,324.470,316.950,316.980,2643900
2025-07-09,318.660,320.930,317.310,317.350,2424200
2025-07-10,317.850,326.100,317.500,325.240,2844400
2025-07-11,322.980,324.350,319.200,319.470,2091200
2025-07-14,319.290,321.770,317.680,320.920,1890900
2025-07-15,318.610,319.450,310.430,310.650,3006500
2025-07-16,312.440,312.490,306.610,311.900,2921900
2025-07-17,310.920,316.980,310.580,315.350,3223300
2025-07-18,311.860,311.860,302.510,307.950,5481100
2025-07-21,307.960,309.170,302.970,302.970,2667200
2025-07-22,302.980,306.160,301.730,304.140,2296100
2025-07-23,308.000,309.590,305.240,308.660,2139100
2025-07-24,308.300,310.500,307.000,308.250,2288100
2025-07-25,309.420,312.650,307.510,311.610,2149300
2025-07-28,311.600,313.500,309.290,310.740,1653800
2025-07-29,312.910,313.620,307.850,308.540,1796400
2025-07-30,308.550,308.750,301.370,303.410,3132400
2025-07-31,301.900,303.910,298.070,299.310,2718200
2025-08-01,294.030,294.910,288.340,294.270,3012900
2025-08-04,295.540,299.100,295.530,298.590,1876000
2025-08-05,299.850,300.350,295.230,296.640,2181000
2025-08-06,297.210,298.050,294.440,295.540,3430500
2025-08-07,297.700,298.290,290.630,294.730,2842500
2025-08-08,297.000,298.130,294.540,297.430,1778100
2025-08-11,297.120,297.440,294.890,296.230,2316700
2025-08-12,298.900,305.070,298.480,303.210,2170500
2025-08-13,304.690,307.600,302.430,306.870,2586800
2025-08-14,305.540,307.950,302.510,307.730,2108300
2025-08-15,309.460,309.810,304.240,305.470,2728000
2025-08-18,304.270,307.240,302.790,307.050,2115100
2025-08-19,306.660,308.570,304.570,306.100,2215800
2025-08-20,305.730,309.020,303.870,308.400,2481700
2025-08-21,306.790,308.520,304.020,308.170,1848500
2025-08-22,310.220,321.710,310.150,319.160,2785200
2025-08-25,319.060,319.950,315.410,315.800,1599600
2025-08-26,315.020,320.790,314.120,320.600,1848600
2025-08-27,319.920,323.520,319.510,322.460,1970100
