Date,open,high,low,close,volume
2025-05-30,44.190,44.300,43.720,44.130,66537500
2025-06-02,43.880,44.150,43.360,44.080,28582600
2025-06-03,44.010,44.730,43.940,44.650,31320200
2025-06-04,44.600,45.090,44.340,44.360,30591700
2025-06-05,44.450,44.580,44.010,44.380,32020900
2025-06-06,44.690,45.170,44.640,44.970,37013000
2025-06-09,45.110,45.400,44.780,44.870,32414000
2025-06-10,44.800,45.200,44.750,45.090,32229100
2025-06-11,45.200,45.410,44.550,44.730,47873500
2025-06-12,44.400,44.650,44.020,44.620,30165400
2025-06-13,44.000,44.460,43.660,44.090,43281700
2025-06-16,44.640,44.890,44.350,44.410,34103600
2025-06-17,44.270,44.670,44.060,44.230,27489600
2025-06-18,44.260,45.200,44.210,45.060,37684700
2025-06-20,45.310,45.650,45.270,45.500,64591600
2025-06-23,45.400,46.370,45.110,46.300,42683600
2025-06-24,46.750,47.190,46.570,46.660,45437600
2025-06-25,46.580,46.980,46.460,46.850,33532400
2025-06-26,46.950,47.580,46.900,47.460,40127000
2025-06-27,47.450,47.670,46.910,47.120,56705000
2025-06-30,47.620,47.620,47.030,47.320,47921200
2025-07-01,47.020,48.420,46.940,48.150,48540900
2025-07-02,48.360,48.730,48.060,48.710,48003600
2025-07-03,48.950,49.310,48.810,48.930,21620300
2025-07-07,48.740,49.210,48.370,48.660,35567900
2025-07-08,47.500,47.790,46.760,47.150,88086500
2025-07-09,47.160,47.450,46.710,46.840,46227900
2025-07-10,46.900,47.220,46.780,46.970,44225000
2025-07-11,46.640,46.810,46.250,46.730,31653000
2025-07-14,46.810,47.070,46.550,47.070,36381200
2025-07-15,46.880,47.010,45.950,46.150,55145000
2025-07-16,46.250,46.560,45.010,46.030,61296600
2025-07-17,45.640,47.220,45.440,47.020,56480700
2025-07-18,47.010,47.380,46.900,47.320,48314200
2025-07-21,47.540,48.040,47.200,47.480,32199700
2025-07-22,47.600,48.170,47.460,47.770,34749400
2025-07-23,48.010,48.310,47.810,48.140,31380100
2025-07-24,48.490,49.000,48.210,48.390,42967600
2025-07-25,48.390,48.550,47.940,48.450,24461200
2025-07-28,48.450,48.540,48.080,48.230,20590400
2025-07-29,48.390,48.510,47.890,47.950,26216500
2025-07-30,48.260,48.500,47.740,47.960,32265900
2025-07-31,47.760,48.030,47.190,47.270,40016300
2025-08-01,46.360,46.410,45.320,45.660,52310400
2025-08-04,45.960,46.110,45.640,45.850,31038900
2025-08-05,45.950,46.000,44.750,45.560,36798300
2025-08-06,45.710,45.940,45.390,45.420,27916800
2025-08-07,45.710,45.760,44.780,44.920,30609900
2025-08-08,45.150,46.300,44.980,46.010,37131600
2025-08-11,46.060,46.520,45.810,46.160,35559400
2025-08-12,46.480,47.660,46.360,47.500,35481200
2025-08-13,47.680,47.760,46.990,47.240,29465100
2025-08-14,47.090,47.730,46.890,47.710,21073800
2025-08-15,47.750,47.820,46.900,46.940,26276900
2025-08-18,46.920,48.040,46.790,47.920,43125100
2025-08-19,47.820,48.120,47.630,48.080,33783400
2025-08-20,48.170,48.500,47.870,48.350,30822200
2025-08-21,48.270,48.490,47.810,48.260,28713200
2025-08-22,48.520,49.660,48.460,49.480,45078900
2025-08-25,49.390,49.660,49.210,49.480,34715700
2025-08-26,49.250,50.260,49.250,50.250,40609300
2025-08-27,50.030,50.630,49.990,50.380,42428200
2025-08-28,50.550,50.640,50.280,50.490,32949400
2025-08-29,50.510,50.920,50.510,50.740,32496500
2025-09-02,50.220,50.470,49.670,50.420,52719800
2025-09-03,50.400,50.570,49.700,50.060,38344200
2025-09-04,50.240,50.830,50.120,50.620,34796900
2025-09-05,50.440,50.790,49.230,49.770,40063300
2025-09-08,49.800,49.910,48.880,49.460,48033100
2025-09-09,49.500,50.560,49.460,50.290,40060100
2025-09-10,50.370,50.630,49.970,50.130,31706300
2025-09-11,50.140,50.960,49.990,50.750,28055200
2025-09-12,50.700,50.930,50.460,50.580,27851100
2025-09-15,50.850,51.090,50.460,50.590,29043600
2025-09-16,50.640,50.880,50.210,50.660,31624400
2025-09-17,50.860,51.630,50.790,51.400,38337900
2025-09-18,51.490,52.190,51.300,52.130,35246900
2025-09-19,52.150,52.660,51.760,52.250,98970700
2025-09-22,51.760,52.350,51.760,51.920,27468000
2025-09-23,52.000,52.880,51.520,51.700,28278200
2025-09-24,51.850,52.250,51.460,51.700,27010400
2025-09-25,51.480,52.330,51.440,51.850,22957900
2025-09-26,52.110,52.620,51.980,52.210,20025800
2025-09-29,52.360,52.550,52.110,52.420,23701000
2025-09-30,52.480,52.570,51.020,51.590,29945000
2025-10-01,51.300,51.680,50.560,50.680,27709100
2025-10-02,50.650,50.850,50.070,50.480,22757200
2025-10-03,50.620,51.130,50.550,50.640,24565700
2025-10-06,50.930,51.320,49.890,50.390,25386300
2025-10-07,50.550,50.910,50.130,50.290,24107300
2025-10-08,50.400,50.510,49.780,49.840,24014200
2025-10-09,50.000,50.280,49.670,49.790,21816900
2025-10-10,49.930,50.140,48.550,48.650,31831900
2025-10-13,49.200,49.400,48.810,48.860,34462800
2025-10-14,48.850,50.500,48.530,50.090,42462600
2025-10-15,51.570,52.850,51.230,52.280,69992200
2025-10-16,52.600,52.760,50.000,50.440,49027700
2025-10-17,50.950,51.770,50.330,51.280,48915400
2025-10-20,51.440,52.280,51.370,52.040,25786000
2025-10-21,52.090,52.370,51.440,51.520,27303400
2025-10-22,51.500,51.580,50.440,51.100,34955000
2025-10-23,51.480,51.800,51.110,51.760,26028800
2025-10-24,51.850,52.820,51.850,52.570,38923900
2025-10-27,52.800,53.070,52.530,53.020,27345800
2025-10-28,53.000,53.280,52.340,52.870,29575200
2025-10-29,52.660,53.010,52.320,52.580,29158800
2025-10-30,52.670,53.440,52.560,53.030,37548600
2025-10-31,52.790,53.640,52.770,53.450,39295700
2025-11-03,53.260,53.640,52.710,53.560,31252300
2025-11-04,53.020,54.000,52.720,53.540,47226600
2025-11-05,52.960,53.070,51.740,52.450,54353600
2025-11-06,53.420,53.750,52.770,53.290,55296000
2025-11-07,53.150,53.580,52.710,53.200,40537700
2025-11-10,53.410,53.990,53.340,53.420,26094600
2025-11-11,53.750,53.980,53.280,53.630,22244300
2025-11-12,53.890,54.690,53.770,54.110,40536700
2025-11-13,53.790,54.210,52.770,52.870,37716100
2025-11-14,52.860,52.900,52.030,52.610,32363100
2025-11-17,52.580,52.580,51.390,51.480,35546800
2025-11-18,51.280,52.180,51.150,51.640,35189500
2025-11-19,51.670,52.490,51.670,52.020,28112300
2025-11-20,52.500,52.950,50.970,51.000,36661600
2025-11-21,51.290,51.780,50.700,51.560,43867200
2025-11-24,51.650,52.240,51.400,51.930,52852100
2025-11-25,52.250,52.880,51.860,52.480,41310100
2025-11-26,52.700,53.250,52.550,52.990,32045600
2025-11-28,53.110,53.940,53.050,53.650,18920800
2025-12-01,53.500,53.900,53.210,53.240,30536500
2025-12-02,53.530,53.640,52.970,53.190,46073500
2025-12-03,53.250,54.240,53.180,54.090,37134400
2025-12-04,54.210,54.690,54.000,54.160,38529600
2025-12-05,53.930,54.830,53.740,53.950,33986500
2025-12-08,53.900,54.210,53.490,53.900,34386600
2025-12-09,53.970,54.280,53.270,53.540,47189300
2025-12-10,53.590,54.550,53.340,54.080,54424400
2025-12-11,53.950,54.650,53.750,54.560,35686900
2025-12-12,54.780,55.300,54.350,55.140,40539400
2025-12-15,55.410,56.070,55.070,55.330,32881300
2025-12-16,55.140,55.350,54.690,54.810,32931900
2025-12-17,55.120,55.570,54.460,54.550,35304100
2025-12-18,54.800,55.150,53.770,54.260,87452700
2025-12-19,54.520,55.310,54.380,55.270,73001900
2025-12-22,55.370,56.110,55.340,55.880,33408800
2025-12-23,55.810,56.220,55.810,55.970,22274600
2025-12-24,56.130,56.500,55.890,56.250,13634400
2025-12-26,56.280,56.550,56.030,56.170,15259400
2025-12-29,56.110,56.250,55.270,55.350,21040100
2025-12-30,55.490,55.640,55.170,55.280,17427600
2025-12-31,55.320,55.420,54.930,55.000,16293000
2026-01-02,55.030,55.990,54.880,55.950,25503600
2026-01-05,56.170,57.550,56.140,56.890,36096600
2026-01-06,57.010,57.410,56.750,57.250,31791900
2026-01-07,56.690,56.810,55.440,55.640,49695500
2026-01-08,55.480,56.580,55.470,56.180,30933700
