Date,open,high,low,close,volume
2025-05-30,973.140,979.970,967.340,979.890,1061000
2025-06-02,975.710,979.890,965.000,978.070,425000
2025-06-03,976.000,985.280,970.960,982.130,495700
2025-06-04,987.000,991.000,984.990,988.970,491700
2025-06-05,989.070,991.000,978.590,985.460,479400
2025-06-06,993.730,1000.980,987.330,989.050,627700
2025-06-09,991.290,994.420,981.520,988.840,420000
2025-06-10,987.500,993.120,985.000,991.900,478700
2025-06-11,995.300,1003.310,990.000,993.300,645700
2025-06-12,989.910,994.500,983.740,988.250,558500
2025-06-13,980.320,985.570,967.340,971.820,674300
2025-06-16,986.590,989.150,977.230,982.100,522400
2025-06-17,975.850,980.430,965.630,969.180,624800
2025-06-18,970.810,988.270,966.450,979.520,662600
2025-06-20,982.210,986.910,973.210,974.440,859500
2025-06-23,975.320,986.450,966.480,986.300,642900
2025-06-24,995.500,1005.850,993.000,1004.970,699500
2025-06-25,1007.730,1020.000,1000.000,1018.080,661800
2025-06-26,1020.520,1037.000,1017.700,1030.790,631200
2025-06-27,1035.600,1050.000,1034.360,1047.820,799900
2025-06-30,1049.980,1054.180,1041.310,1049.250,530400
2025-07-01,1046.580,1057.000,1041.430,1054.270,472900
2025-07-02,1056.000,1070.660,1050.000,1070.570,495000
2025-07-03,1071.330,1082.480,1066.630,1082.150,342700
2025-07-07,1084.000,1086.840,1070.020,1075.970,559700
2025-07-08,1075.420,1079.860,1070.000,1075.020,502500
2025-07-09,1080.000,1088.770,1077.640,1088.750,340400
2025-07-10,1091.780,1105.720,1084.150,1104.050,467500
2025-07-11,1099.610,1103.440,1091.820,1101.640,545400
2025-07-14,1101.080,1112.130,1098.440,1111.460,661800
2025-07-15,1070.850,1076.470,1033.770,1046.160,1939400
2025-07-16,1054.590,1086.950,1053.000,1082.240,1407200
2025-07-17,1085.000,1109.290,1077.110,1105.380,1175600
2025-07-18,1111.930,1119.190,1102.580,1103.590,991300
2025-07-21,1107.680,1110.710,1093.020,1093.020,445700
2025-07-22,1096.080,1103.810,1086.180,1100.390,580800
2025-07-23,1104.170,1122.730,1100.560,1120.370,653400
2025-07-24,1117.000,1125.760,1113.640,1118.370,539500
2025-07-25,1122.320,1130.660,1117.760,1123.280,516300
2025-07-28,1124.000,1125.690,1115.090,1117.820,299300
2025-07-29,1123.350,1127.940,1114.750,1121.530,422000
2025-07-30,1117.300,1126.550,1109.440,1114.650,372400
2025-07-31,1108.290,1120.950,1103.240,1106.010,498400
2025-08-01,1089.000,1097.660,1077.200,1091.800,673200
2025-08-04,1097.980,1116.060,1095.250,1116.060,503100
2025-08-05,1122.740,1122.740,1099.520,1109.640,481300
2025-08-06,1114.020,1122.140,1105.970,1120.540,404900
2025-08-07,1130.000,1131.930,1108.160,1112.830,381400
2025-08-08,1119.720,1126.170,1114.550,1124.970,427800
2025-08-11,1125.000,1133.080,1121.780,1127.930,575600
2025-08-12,1134.330,1161.500,1131.570,1159.610,669000
2025-08-13,1166.500,1171.890,1148.000,1160.030,570800
2025-08-14,1154.130,1162.500,1144.830,1160.160,407600
2025-08-15,1163.520,1163.520,1134.430,1135.010,582200
2025-08-18,1134.000,1141.000,1126.820,1136.120,405800
2025-08-19,1126.280,1135.000,1121.800,1128.470,611700
2025-08-20,1125.860,1132.840,1114.010,1128.460,573100
2025-08-21,1124.820,1129.000,1118.830,1124.750,275100
2025-08-22,1128.890,1157.750,1126.000,1148.170,433700
2025-08-25,1143.410,1150.000,1136.570,1137.100,415000
2025-08-26,1135.030,1142.410,1125.530,1139.800,580200
2025-08-27,1138.390,1144.780,1131.560,1131.630,310000
2025-08-28,1133.800,1138.000,1127.120,1130.480,475200
2025-08-29,1131.900,1134.140,1118.450,1127.140,356100
2025-09-02,1117.840,1119.990,1100.590,1114.770,391300
2025-09-03,1112.600,1113.200,1092.660,1099.490,412900
2025-09-04,1109.000,1113.000,1101.580,1108.760,460000
2025-09-05,1107.710,1110.180,1088.570,1099.150,487600
2025-09-08,1098.280,1105.820,1094.000,1104.920,671000
2025-09-09,1101.560,1113.710,1100.050,1105.670,334200
2025-09-10,1107.280,1118.520,1098.810,1102.890,367400
2025-09-11,1105.000,1141.830,1102.970,1134.180,585100
2025-09-12,1132.720,1140.000,1118.650,1123.410,544800
2025-09-15,1120.580,1125.610,1110.500,1115.110,506800
2025-09-16,1120.000,1123.390,1106.610,1118.890,547500
2025-09-17,1121.000,1133.450,1117.000,1131.780,508000
2025-09-18,1136.940,1151.940,1134.500,1137.130,523900
2025-09-19,1138.770,1145.050,1126.000,1142.850,1505500
2025-09-22,1137.190,1142.910,1133.700,1136.210,366000
2025-09-23,1138.500,1146.260,1127.410,1131.750,427100
2025-09-24,1133.500,1140.430,1125.610,1127.980,345400
2025-09-25,1122.680,1149.120,1118.000,1147.290,680300
2025-09-26,1152.000,1159.480,1150.780,1156.450,435500
2025-09-29,1167.400,1182.140,1163.850,1175.560,567500
2025-09-30,1176.650,1183.500,1154.500,1165.870,691600
2025-10-01,1154.000,1156.920,1133.690,1141.070,604300
2025-10-02,1145.540,1167.480,1138.600,1160.540,615800
2025-10-03,1166.960,1168.010,1157.850,1160.690,377200
2025-10-06,1168.980,1184.130,1158.600,1179.270,772600
2025-10-07,1179.270,1183.950,1155.030,1166.230,531300
2025-10-08,1171.440,1178.190,1155.470,1165.000,393500
2025-10-09,1170.630,1177.500,1157.120,1167.430,478000
2025-10-10,1172.500,1180.930,1131.380,1132.360,643500
2025-10-13,1147.620,1163.440,1144.720,1155.120,742400
2025-10-14,1140.000,1209.820,1135.000,1194.260,1146400
2025-10-15,1200.000,1219.940,1178.000,1202.590,1003700
2025-10-16,1204.000,1209.890,1168.130,1171.360,1250200
2025-10-17,1169.060,1176.180,1154.150,1161.160,777500
2025-10-20,1178.000,1178.990,1158.620,1160.000,678800
2025-10-21,1158.160,1159.720,1129.470,1130.000,1052000
2025-10-22,1129.500,1134.940,1120.220,1129.680,618600
2025-10-23,1131.510,1132.520,1119.990,1125.000,371600
2025-10-24,1141.270,1144.500,1133.240,1136.630,560700
2025-10-27,1146.390,1146.390,1128.950,1131.310,726100
2025-10-28,1131.970,1138.650,1124.540,1124.950,390000
2025-10-29,1117.620,1121.810,1096.990,1098.000,861700
2025-10-30,1097.400,1106.890,1090.950,1098.050,631700
2025-10-31,1090.000,1092.520,1073.760,1082.810,895300
2025-11-03,1079.080,1081.830,1057.200,1068.830,790900
2025-11-04,1061.000,1067.380,1057.000,1059.910,934800
2025-11-05,1058.990,1082.570,1053.630,1073.570,550200
2025-11-06,1069.640,1079.050,1056.070,1069.440,415700
2025-11-07,1064.430,1083.390,1057.770,1082.200,470300
2025-11-10,1087.680,1091.950,1071.190,1082.630,413500
2025-11-11,1082.160,1086.650,1076.700,1085.760,309600
2025-11-12,1086.400,1098.640,1086.120,1093.930,432800
2025-11-13,1090.370,1093.360,1060.600,1069.650,541700
2025-11-14,1060.000,1065.840,1048.260,1057.940,459100
2025-11-17,1053.490,1055.060,1014.110,1023.800,935200
2025-11-18,1022.000,1026.770,1010.500,1019.140,749500
2025-11-19,1020.000,1025.440,1009.060,1014.680,838600
2025-11-20,1029.110,1032.490,990.580,992.520,677800
2025-11-21,999.000,1015.380,990.810,1014.720,1229200
2025-11-24,1006.850,1024.220,1004.940,1019.490,1010300
2025-11-25,1019.490,1033.000,1010.920,1029.770,688700
2025-11-26,1031.110,1048.320,1030.040,1040.060,561000
2025-11-28,1049.890,1053.940,1043.860,1047.300,300300
2025-12-01,1039.000,1052.570,1037.000,1039.940,624600
2025-12-02,1043.000,1045.120,1031.000,1038.620,376500
2025-12-03,1043.070,1087.090,1040.650,1079.870,863200
2025-12-04,1080.820,1086.850,1072.640,1075.580,597800
2025-12-05,1068.490,1074.000,1062.890,1072.160,544100
2025-12-08,1074.000,1078.860,1057.150,1062.020,612600
2025-12-09,1060.260,1074.090,1059.180,1071.310,445300
2025-12-10,1077.240,1089.770,1071.520,1083.360,840700
2025-12-11,1084.860,1104.330,1081.000,1101.840,774100
2025-12-12,1107.260,1107.260,1085.010,1089.090,608000
2025-12-15,1095.430,1098.850,1078.500,1082.160,564700
2025-12-16,1081.360,1083.190,1063.890,1068.140,651500
2025-12-17,1072.800,1083.750,1064.640,1065.000,648100
2025-12-18,1073.910,1078.510,1057.450,1064.990,588400
2025-12-19,1066.950,1068.560,1057.750,1060.170,1174100
2025-12-22,1066.330,1090.960,1065.770,1088.210,575500
2025-12-23,1085.550,1091.740,1083.400,1086.550,265400
2025-12-24,1089.820,1094.330,1084.000,1088.960,195100
2025-12-26,1090.720,1091.690,1084.630,1088.110,230300
2025-12-29,1091.040,1092.050,1082.760,1088.400,295100
2025-12-30,1088.540,1090.000,1082.010,1083.310,273100
2025-12-31,1082.950,1085.360,1070.080,1070.340,327600
2026-01-02,1071.440,1089.880,1069.000,1085.060,603300
2026-01-05,1085.880,1131.650,1083.250,1119.760,926200
2026-01-06,1119.320,1124.280,1106.760,1112.280,537600
2026-01-07,1108.160,1112.800,1074.970,1075.090,839400
2026-01-08,1060.130,1092.450,1060.130,1087.920,558100
2026-01-09,1090.230,1092.770,1080.000,1085.100,613800
2026-01-12,1078.480,1090.920,1073.910,1089.260,726700
2026-01-13,1089.540,1094.000,1073.730,1089.540,730700
2026-01-14,1070.530,1094.010,1070.410,1091.850,953900
2026-01-15,1128.620,1162.330,1125.060,1156.650,1401700
2026-01-16,1159.500,1181.360,1159.000,1163.170,1125600
2026-01-20,1144.000,1148.360,1105.990,1110.050,1026100
2026-01-21,1120.000,1135.350,1114.600,1127.850,687700
2026-01-22,1137.600,1148.020,1132.460,1139.720,683500
2026-01-23,1133.910,1136.490,1121.000,1129.910,730400
2026-01-26,1133.570,1141.480,1121.110,1121.540,739300
2026-01-27,1121.560,1125.500,1098.000,1106.690,537100
2026-01-28,1106.000,1123.810,1098.390,1121.670,616100
2026-01-29,1127.140,1135.000,1107.260,1127.780,701000
2026-01-30,1115.370,1129.070,1102.740,1118.940,632100
2026-02-02,1118.130,1124.330,1104.940,1119.660,498700
2026-02-03,1115.000,1118.590,1048.540,1070.080,947200
2026-02-04,1068.780,1081.970,1042.940,1076.160,827600
2026-02-05,1065.900,1078.880,1049.240,1054.800,756100
2026-02-06,1069.500,1075.380,1047.570,1056.380,1343700
2026-02-09,1045.090,1084.690,1044.010,1079.900,799400
2026-02-10,1079.250,1113.560,1078.740,1087.780,956500
2026-02-11,1089.010,1099.000,1068.320,1082.880,970000
2026-02-12,1084.300,1087.990,1017.000,1055.630,1153000
2026-02-13,1057.200,1072.200,1047.000,1071.510,669100
2026-02-17,1074.610,1087.900,1059.230,1072.670,921900
2026-02-18,1080.240,1103.790,1070.350,1092.260,700000
2026-02-19,1077.900,1084.770,1064.100,1081.280,662400
2026-02-20,1074.910,1102.580,1068.070,1093.640,567700
2026-02-23,1099.970,1108.220,1056.000,1071.010,727200
2026-02-24,1061.130,1093.860,1051.410,1081.050,737300
