Date,open,high,low,close,volume
2025-05-30,75.310,75.520,74.480,75.320,12512200
2025-06-02,75.160,75.900,74.300,75.800,9073400
2025-06-03,75.630,76.740,75.440,76.530,9802600
2025-06-04,76.500,77.580,76.350,76.400,10119600
2025-06-05,76.610,77.270,75.660,76.670,14760500
2025-06-06,77.710,78.410,77.480,78.260,11515200
2025-06-09,78.600,78.910,78.110,78.170,9288000
2025-06-10,77.830,78.320,77.520,78.030,10942400
2025-06-11,78.200,78.920,77.860,78.380,9030500
2025-06-12,77.800,78.260,77.340,78.230,6739700
2025-06-13,77.040,77.230,76.110,76.360,11987200
2025-06-16,77.130,78.300,76.950,78.070,10396600
2025-06-17,77.500,77.990,77.110,77.360,8078600
2025-06-18,77.400,78.970,77.260,78.350,14866100
2025-06-20,78.880,79.270,78.330,78.450,17336500
2025-06-23,78.370,79.450,77.510,79.360,12007200
2025-06-24,80.000,81.450,79.880,81.140,18393000
2025-06-25,81.140,82.710,81.080,82.630,13221900
2025-06-26,82.670,84.790,82.670,84.370,18600500
2025-06-27,84.490,84.570,83.810,84.380,21872400
2025-06-30,84.900,85.440,84.610,85.120,18035200
2025-07-01,85.000,86.480,84.770,86.270,17088900
2025-07-02,86.490,86.930,85.460,86.760,13420200
2025-07-03,87.130,88.800,86.850,88.720,13229900
2025-07-07,88.130,88.830,87.140,87.600,12407300
2025-07-08,87.610,87.790,85.480,85.570,18075600
2025-07-09,86.640,86.640,85.590,85.790,9929400
2025-07-10,85.830,87.080,85.760,87.080,9586100
2025-07-11,85.920,86.960,85.620,86.730,10256000
2025-07-14,86.480,87.530,86.220,87.500,13450800
2025-07-15,88.650,91.800,88.120,90.720,39270900
2025-07-16,91.480,91.620,88.230,90.020,23321000
2025-07-17,90.130,93.200,89.880,93.090,23949200
2025-07-18,93.150,93.800,92.740,93.450,16603700
2025-07-21,93.590,94.080,92.530,92.650,11894500
2025-07-22,93.570,94.480,92.720,94.000,15282600
2025-07-23,94.500,95.990,94.480,95.990,22339800
2025-07-24,96.290,96.910,95.300,95.390,15644400
2025-07-25,95.390,96.190,94.430,96.070,13543400
2025-07-28,96.070,96.200,95.070,95.550,19370700
2025-07-29,96.000,96.110,94.360,94.480,13169900
2025-07-30,94.900,95.990,94.580,95.810,13998000
2025-07-31,95.470,96.150,93.550,93.700,14638800
2025-08-01,91.850,92.030,87.940,91.830,17725600
2025-08-04,91.750,92.820,91.530,92.080,11611400
2025-08-05,92.330,92.720,89.680,91.520,19836100
2025-08-06,91.880,92.630,91.610,92.230,13153600
2025-08-07,93.240,93.250,91.100,91.230,12964000
2025-08-08,91.970,93.290,91.340,92.730,10772600
2025-08-11,93.030,93.170,90.800,92.310,12133300
2025-08-12,93.220,95.760,93.010,95.740,21046400
2025-08-13,96.000,96.200,94.580,94.650,16605000
2025-08-14,94.460,95.490,94.230,95.460,13288800
2025-08-15,95.460,95.500,93.590,93.690,12000400
2025-08-18,93.350,94.360,93.330,94.220,8780700
2025-08-19,93.970,94.350,93.430,93.740,11504400
2025-08-20,93.530,93.750,90.680,93.170,13447400
2025-08-21,92.850,92.860,91.460,92.590,17635200
2025-08-22,92.960,95.620,92.840,95.260,20124400
2025-08-25,95.230,95.450,94.880,95.000,8647000
2025-08-26,94.680,95.740,94.030,95.720,11031100
2025-08-27,95.150,97.450,95.090,96.870,11315600
2025-08-28,97.370,97.490,96.540,96.820,10878900
2025-08-29,96.650,96.990,96.050,96.570,8362600
2025-09-02,95.020,95.020,92.960,94.780,15128800
2025-09-03,94.890,95.240,93.400,95.030,14158800
2025-09-04,95.300,97.150,95.300,97.080,12900100
2025-09-05,97.370,97.980,94.150,95.400,17020800
2025-09-08,95.860,95.970,94.640,95.870,11398800
2025-09-09,95.500,98.140,95.450,97.340,18101600
2025-09-10,97.500,98.380,96.510,97.170,12238300
2025-09-11,97.350,99.040,96.890,98.820,13426500
2025-09-12,98.780,99.700,98.440,99.440,9502900
2025-09-15,99.800,100.170,99.400,99.790,10620100
2025-09-16,99.860,100.850,99.210,100.640,12350700
2025-09-17,100.490,102.210,100.410,101.760,14371600
2025-09-18,101.970,102.700,101.690,102.410,11677600
2025-09-19,102.540,103.130,101.870,102.680,24745700
2025-09-22,101.760,103.810,101.700,103.490,11474500
2025-09-23,103.530,105.590,102.410,103.000,15747900
2025-09-24,103.390,104.070,101.620,101.650,12272400
2025-09-25,101.030,102.260,100.150,102.110,11232900
2025-09-26,102.510,104.320,102.510,103.420,11296300
2025-09-29,104.150,104.390,102.880,103.160,10748700
2025-09-30,103.100,103.620,99.140,101.500,17789100
2025-10-01,100.940,101.140,98.620,98.710,13793300
2025-10-02,99.080,99.450,96.700,97.340,14511900
2025-10-03,97.340,98.580,97.300,97.740,13863600
2025-10-06,99.200,100.060,97.040,98.050,10398000
2025-10-07,98.450,98.860,96.680,97.800,8519400
2025-10-08,98.190,98.190,96.590,96.700,8496000
2025-10-09,97.020,97.300,95.460,95.920,11300600
2025-10-10,96.200,97.900,93.660,93.930,18619500
2025-10-13,95.570,96.960,95.410,96.100,18463600
2025-10-14,95.370,101.220,95.040,99.840,33164600
2025-10-15,101.190,102.150,98.840,99.780,15730100
2025-10-16,100.210,100.700,95.240,96.260,20534000
2025-10-17,96.210,98.010,95.280,97.070,14007800
2025-10-20,97.470,99.600,97.120,99.300,11302700
2025-10-21,98.930,99.400,97.970,98.250,9150100
2025-10-22,98.190,98.480,95.000,96.300,14369200
2025-10-23,96.820,97.530,96.300,96.690,8189100
2025-10-24,97.390,99.510,97.350,98.780,11870700
2025-10-27,99.300,101.230,99.100,100.990,13214200
2025-10-28,101.000,101.530,100.130,101.390,8766400
2025-10-29,101.290,101.940,99.030,99.120,11878800
2025-10-30,98.630,101.460,98.310,100.220,9584000
2025-10-31,99.900,101.510,99.720,101.230,11190300
2025-11-03,100.720,101.640,99.050,101.610,10829100
2025-11-04,100.150,102.550,98.690,101.010,13449100
2025-11-05,101.250,102.280,99.010,101.690,9992400
2025-11-06,101.470,102.340,99.970,100.850,9282500
2025-11-07,100.010,100.830,97.370,100.790,14887100
2025-11-10,101.260,102.900,100.310,101.490,11270600
2025-11-11,101.640,102.090,100.310,100.760,9639500
2025-11-12,101.210,103.860,101.180,102.870,15069200
2025-11-13,102.450,103.570,100.470,100.670,11427000
2025-11-14,99.830,101.550,98.150,100.300,10134500
2025-11-17,100.080,100.280,97.220,98.190,11389600
2025-11-18,97.500,99.570,96.380,98.320,10463700
2025-11-19,98.170,100.590,98.090,99.830,8426800
2025-11-20,101.070,102.860,97.460,97.630,12633700
2025-11-21,98.130,99.330,95.830,98.700,14404700
2025-11-24,98.720,100.620,98.600,99.690,17389200
2025-11-25,100.360,101.750,99.530,101.170,10881900
2025-11-26,101.720,103.300,101.460,102.500,11384100
2025-11-28,102.800,104.370,102.510,103.600,5865200
2025-12-01,103.100,104.350,102.410,102.680,9663700
2025-12-02,103.600,104.200,103.010,103.190,8056900
2025-12-03,103.100,106.990,103.100,106.720,14003600
2025-12-04,106.660,108.710,106.630,107.790,12811300
2025-12-05,107.670,109.370,107.510,108.880,14936300
2025-12-08,109.200,110.250,107.740,108.920,11394800
2025-12-09,108.800,109.850,107.010,109.430,15822700
2025-12-10,109.360,111.910,109.260,111.090,16584300
2025-12-11,111.270,112.340,111.110,111.740,10829700
2025-12-12,113.300,113.430,111.190,111.800,11227900
2025-12-15,112.450,113.520,112.220,112.800,10692100
2025-12-16,112.800,113.380,110.550,111.280,12418200
2025-12-17,111.890,113.010,110.960,111.460,9949700
2025-12-18,112.220,113.850,112.120,112.830,21155800
2025-12-19,113.200,115.610,113.050,114.860,37660800
2025-12-22,115.210,118.650,114.870,118.090,20178100
2025-12-23,118.160,120.270,118.070,119.400,16135000
2025-12-24,119.710,122.840,119.250,121.560,13529600
2025-12-26,121.650,122.040,119.670,120.420,10603700
2025-12-29,120.360,120.570,117.980,118.130,11000600
2025-12-30,118.290,118.410,116.530,117.210,8636100
2025-12-31,117.400,117.620,116.370,116.690,6203300
2026-01-02,117.210,118.720,116.590,118.700,9245400
2026-01-05,119.310,124.100,119.300,123.300,19993400
2026-01-06,123.680,124.170,122.210,122.500,11940100
2026-01-07,122.310,122.580,120.700,121.370,11595800
2026-01-08,120.880,122.420,120.160,120.600,14801500
2026-01-09,120.940,121.740,120.150,121.320,7565700
2026-01-12,116.900,118.740,116.670,117.700,19926900
2026-01-13,117.720,118.230,115.540,116.300,18332300
2026-01-14,117.910,118.750,110.470,112.410,27984600
2026-01-15,113.850,117.960,112.750,117.460,18719700
2026-01-16,117.800,119.350,117.000,118.040,17153800
2026-01-20,114.460,116.520,112.390,112.800,20451300
2026-01-21,113.140,115.590,113.140,113.860,14199900
2026-01-22,114.570,116.640,114.050,115.660,11271500
2026-01-23,114.970,115.630,113.200,113.590,12164400
2026-01-26,113.900,115.480,113.860,114.820,11728700
2026-01-27,114.900,115.970,113.700,114.790,11976800
2026-01-28,114.600,115.710,113.140,114.200,11378300
2026-01-29,114.840,116.360,113.400,115.200,14443200
2026-01-30,114.420,116.650,114.180,115.710,12396600
2026-02-02,114.960,116.980,114.600,116.230,11773700
2026-02-03,117.000,118.920,115.380,117.710,15332100
2026-02-04,117.780,119.940,116.930,117.430,12408300
2026-02-05,116.410,116.410,112.920,115.740,18704600
2026-02-06,117.360,122.970,117.360,122.690,15248800
2026-02-09,122.190,125.160,121.690,123.770,12887500
2026-02-10,123.720,125.000,119.500,122.150,12121300
2026-02-11,123.590,124.240,117.360,117.390,13771400
2026-02-12,118.040,119.180,110.940,111.150,19353300
2026-02-13,109.770,111.430,108.390,110.860,16665200
2026-02-17,112.300,114.510,111.990,113.780,12314600
2026-02-18,115.040,117.040,114.970,116.270,11678900
2026-02-19,114.990,115.910,114.180,115.550,8085300
2026-02-20,115.260,116.130,113.840,116.000,12986800
2026-02-23,115.340,116.910,108.860,110.750,17996400
2026-02-24,109.450,111.400,107.500,109.560,14981000
2026-02-25,111.320,114.510,110.830,114.340,13649100
2026-02-26,114.700,117.000,114.460,116.190,14759400
2026-02-27,113.180,113.180,108.660,110.190,29106900
2026-03-02,106.260,111.890,106.200,111.450,18976600
2026-03-03,107.430,112.380,106.750,110.760,15813300
2026-03-04,111.670,112.330,110.490,111.320,13042200
2026-03-05,110.570,111.600,107.890,108.950,15549100
2026-03-06,105.190,106.590,103.090,106.530,16586900
2026-03-09,104.450,107.050,102.010,106.590,18525600
2026-03-10,108.410,110.910,107.370,108.970,17843900
2026-03-11,108.340,109.540,107.480,109.190,12958400
2026-03-12,106.360,107.000,104.640,105.500,17487000
2026-03-13,106.120,107.900,105.390,105.690,11406900
