Date,open,high,low,close,volume
2025-05-30,600.0000,603.6000,593.8300,600.4500,2129500
2025-06-02,598.6000,599.1700,592.1700,598.7200,1221200
2025-06-03,600.0000,606.3200,593.7300,603.8300,1730300
2025-06-04,605.4800,606.3300,598.7200,599.2100,1294900
2025-06-05,600.0000,609.7200,592.9000,605.8800,2086700
2025-06-06,613.0000,621.3800,610.0000,614.0000,1675900
2025-06-09,614.7500,619.1000,611.0100,613.5200,1610700
2025-06-10,613.0000,616.5500,609.3100,614.8700,1376400
2025-06-11,617.1800,629.8400,614.5900,624.1700,2063600
2025-06-12,621.0000,626.0100,615.8000,625.1100,1634700
2025-06-13,616.0500,620.1200,609.5900,613.5400,1674800
2025-06-16,619.0000,632.2700,618.0000,627.8500,1870400
2025-06-17,624.7000,631.6700,623.0000,624.6400,1479300
2025-06-18,624.5100,639.8800,623.6500,635.2400,2423100
2025-06-20,638.8300,642.6400,636.6900,640.8000,4115400
2025-06-23,639.2600,647.4200,630.0100,646.8800,2020800
2025-06-24,654.4500,663.7700,653.2400,662.1100,2307800
2025-06-25,664.6000,670.1200,660.7900,669.8700,1566400
2025-06-26,670.6200,689.3300,670.5100,687.1600,2849500
2025-06-27,691.0000,694.2000,685.3900,690.8100,3650500
2025-06-30,714.2700,714.3000,702.9500,707.7500,3976400
2025-07-01,708.0000,713.0100,700.6100,706.4600,3301000
2025-07-02,708.8000,718.7300,705.0800,715.8900,2906500
2025-07-03,715.9100,726.0000,713.4000,723.6800,1502000
2025-07-07,721.7000,723.9700,706.3400,710.9300,2863700
2025-07-08,710.7200,711.1900,693.7700,697.2800,3100700
2025-07-09,704.3400,704.3400,694.7100,696.5600,1763400
2025-07-10,696.7400,710.3800,696.4500,709.1200,1733500
2025-07-11,703.5900,706.0000,700.2300,704.9500,1681800
2025-07-14,704.7400,713.4300,702.1300,713.3000,1909300
2025-07-15,713.3000,714.6900,700.0400,702.5100,1981200
2025-07-16,708.5000,709.7800,691.3000,708.8200,3323200
2025-07-17,706.2800,717.4500,704.2800,705.8400,2046100
2025-07-18,707.0600,710.2900,698.3900,708.2600,1925200
2025-07-21,709.1400,712.7600,704.3500,706.0000,2006500
2025-07-22,703.6600,706.4900,691.8800,700.4100,1978900
2025-07-23,702.0000,719.0100,701.5000,717.5200,2395700
2025-07-24,718.9300,725.7700,714.7300,719.1800,1974700
2025-07-25,720.7600,729.8900,718.3500,728.9800,1851400
2025-07-28,728.0000,732.5200,722.1700,723.6500,1464800
2025-07-29,726.8500,734.1300,722.4200,731.9800,2136000
2025-07-30,731.1400,737.8800,723.1800,730.7500,1816200
2025-07-31,726.5900,734.0400,720.4400,723.5900,2358100
2025-08-01,710.5100,714.5200,694.0500,709.5700,2999100
2025-08-04,715.2000,726.7900,715.2000,726.0300,1753700
2025-08-05,728.0000,729.4000,714.5500,720.9100,1977300
2025-08-06,724.5000,728.3000,722.0000,724.7400,1477100
2025-08-07,730.6200,732.9400,717.6100,719.7400,1400400
2025-08-08,725.8600,728.0000,718.6500,721.2700,1275400
2025-08-11,722.2000,723.8400,715.7400,719.2400,1273500
2025-08-12,725.2800,748.1400,724.3500,743.3800,2418100
2025-08-13,745.7800,748.9100,732.6200,744.6900,1862600
2025-08-14,742.7200,748.1600,737.0000,747.2000,1371200
2025-08-15,749.0000,749.0500,729.1800,730.7200,1645900
2025-08-18,729.5000,731.6100,723.8700,730.9600,1157800
2025-08-19,729.1600,730.0000,717.7300,721.3800,1856400
2025-08-20,721.2000,722.2500,705.5500,720.6800,1872700
2025-08-21,716.5400,719.2200,712.9700,715.9500,1162000
2025-08-22,720.1400,744.8400,718.5800,741.8900,1948600
2025-08-25,741.8900,746.5000,738.3300,738.7900,1381200
2025-08-26,737.7100,749.1600,733.8600,748.9500,1511600
2025-08-27,745.9700,753.0000,745.0200,749.6700,1534800
2025-08-28,750.9900,753.3300,746.9900,751.2200,1411200
2025-08-29,746.7100,748.9200,738.9000,745.2500,1467000
2025-09-02,736.3900,736.3900,721.1600,730.8500,2296400
2025-09-03,728.5600,732.0200,722.3000,730.5600,1485600
