Date,open,high,low,close,volume
2025-05-30,263.4500,265.3300,262.7300,264.0000,10977700
2025-06-02,263.0200,265.0300,261.9000,264.6600,6011200
2025-06-03,263.7300,266.5800,262.8800,266.2700,6998400
2025-06-04,265.9200,267.1200,264.1800,264.2200,5915700
2025-06-05,264.7400,264.7400,260.3100,261.9500,8173800
2025-06-06,264.3300,266.6500,264.2600,265.7300,7738100
2025-06-09,266.0000,267.9000,263.3500,266.7400,8285000
2025-06-10,265.8800,268.9000,265.8500,268.6000,7538100
2025-06-11,268.6800,269.6200,265.7900,268.1500,7434100
2025-06-12,266.8600,268.2900,265.1400,268.2400,6618000
2025-06-13,265.0800,267.0200,262.7100,264.9500,7098300
2025-06-16,267.0000,271.7300,266.8500,270.3600,8566000
2025-06-17,268.1700,270.5900,267.8000,269.5200,6739300
2025-06-18,270.0000,277.7200,269.7200,273.9600,9586400
2025-06-20,275.5700,277.3000,273.8100,275.0000,13969700
2025-06-23,275.0600,278.5500,272.1100,278.2700,8094600
2025-06-24,280.2100,282.7100,279.5100,281.2600,9267900
2025-06-25,281.5000,284.2800,280.9100,284.0600,6826900
2025-06-26,284.7000,289.4100,284.4700,288.7500,8942100
2025-06-27,285.8100,288.7000,285.0400,287.1100,17868600
2025-06-30,290.4000,292.6500,288.9200,289.9100,12689200
2025-07-01,290.8900,291.1300,286.5900,290.4100,9338300
2025-07-02,292.0400,292.8200,289.7000,292.0000,8158700
2025-07-03,292.1500,296.4000,291.2100,296.0000,6541600
2025-07-07,295.2500,296.0400,290.0800,291.9700,8825700
2025-07-08,289.2700,289.7000,280.3100,282.7800,15440900
2025-07-09,287.1800,287.2000,282.4800,283.1600,11273800
2025-07-10,283.0000,288.3100,283.0000,288.1900,8410900
2025-07-11,285.5200,287.3800,283.6500,286.8600,7384700
2025-07-14,287.0700,289.3000,285.2600,288.7000,9079900
2025-07-15,288.0000,291.9500,285.4800,286.5500,12526100
2025-07-16,288.4000,290.7300,283.0100,285.8200,9979800
2025-07-17,283.4400,290.3000,283.4400,289.9000,8509500
2025-07-18,289.5200,292.5000,288.2300,291.2700,12217000
2025-07-21,291.0000,294.1800,290.5800,290.9700,7898100
2025-07-22,291.5000,293.6300,289.1800,291.4300,6717500
2025-07-23,292.8400,296.9900,292.5500,296.7600,7083500
2025-07-24,297.4200,299.5900,296.2000,296.5500,7001200
2025-07-25,296.7000,298.9000,295.9600,298.6200,5918500
2025-07-28,297.6600,299.4300,296.8200,298.2800,5840400
2025-07-29,300.0000,301.2900,296.2000,297.0400,7635700
2025-07-30,297.4200,300.6100,297.3800,299.6300,8061700
2025-07-31,299.1400,300.9800,295.5000,296.2400,14749700
2025-08-01,290.4000,291.8000,284.2400,289.3700,12007100
2025-08-04,290.2600,294.3200,290.2600,294.2600,6649500
2025-08-05,294.6900,295.7900,287.2400,291.3700,7182300
2025-08-06,292.3000,293.2900,290.1600,291.3500,6330200
2025-08-07,292.9400,293.4600,286.4100,286.9400,8057100
2025-08-08,288.9800,291.2300,284.7100,288.7600,6634100
2025-08-11,289.4000,291.3200,288.7800,289.5600,5510100
2025-08-12,291.5000,294.7500,290.3400,292.8500,8570900
