Date,open,high,low,close,volume
2025-05-30,576.780,585.600,576.510,585.600,4581100
2025-06-02,580.500,581.820,574.780,581.220,2089100
2025-06-03,579.870,582.530,573.440,581.970,2116900
2025-06-04,584.170,586.850,582.220,584.130,1530200
2025-06-05,586.310,586.690,582.630,585.440,1480000
2025-06-06,587.910,591.160,586.040,590.120,1528600
2025-06-09,588.740,590.000,580.000,584.330,1936000
2025-06-10,584.650,589.870,583.160,589.540,2133700
2025-06-11,590.320,594.710,587.600,590.740,2238100
2025-06-12,589.430,590.670,584.560,589.280,1984000
2025-06-13,572.860,575.240,552.510,562.030,5905400
2025-06-16,563.900,575.000,562.640,568.670,3108200
2025-06-17,564.720,571.290,564.000,569.450,2246600
2025-06-18,570.880,571.080,534.160,538.730,6966800
2025-06-20,536.930,538.340,527.330,532.970,8202800
2025-06-23,531.420,543.130,527.570,542.350,3681100
2025-06-24,557.180,564.120,552.490,557.530,4503200
2025-06-25,556.000,558.480,548.620,549.700,2889200
2025-06-26,545.530,548.910,542.070,545.810,3764100
2025-06-27,546.770,556.700,545.550,550.320,3837500
2025-06-30,552.500,562.630,551.900,561.940,5054600
2025-07-01,559.320,566.310,557.040,564.610,3827000
2025-07-02,562.940,565.990,557.390,561.520,2502300
2025-07-03,560.780,569.660,560.740,569.240,1528700
2025-07-07,570.670,570.750,560.350,565.120,2478300
2025-07-08,564.580,566.620,560.420,562.440,3083800
2025-07-09,562.000,565.420,559.250,565.110,2454300
2025-07-10,565.650,566.060,561.010,563.520,2577200
2025-07-11,559.820,560.820,545.850,550.180,3221400
2025-07-14,550.500,559.070,547.790,553.020,2500900
2025-07-15,553.110,554.860,548.650,550.360,2449100
2025-07-16,552.420,555.520,549.500,555.520,2424200
2025-07-17,552.980,557.380,550.510,555.610,2722000
2025-07-18,555.260,556.350,550.880,552.660,2579600
2025-07-21,553.400,558.080,552.040,554.650,2194400
2025-07-22,555.810,560.210,555.240,558.760,2010400
2025-07-23,557.010,562.490,554.500,562.090,2180400
2025-07-24,562.000,567.840,561.900,563.500,1874700
2025-07-25,564.360,569.960,563.850,568.220,1513300
2025-07-28,567.370,571.650,566.220,568.280,2492400
2025-07-29,570.030,573.000,563.000,563.320,2393800
2025-07-30,560.330,565.610,555.210,559.110,2833200
