Date,open,high,low,close,volume
2025-05-30,127.6100,128.3300,126.3500,128.0300,6436100
2025-06-02,127.4800,128.4700,126.3600,128.4000,3607900
2025-06-03,128.1200,129.1800,127.1300,128.6800,4145600
2025-06-04,128.8400,129.4200,128.1600,128.1600,3123200
2025-06-05,128.3700,131.0500,127.3400,130.6200,6193300
2025-06-06,132.0800,133.5700,130.8200,131.8200,5004400
2025-06-09,132.2300,132.9000,131.1100,131.9500,4838600
2025-06-10,131.6000,132.4600,131.1500,131.8200,3816900
2025-06-11,132.0300,133.4500,131.4200,131.8100,5810200
2025-06-12,130.6600,132.0000,129.8000,131.9200,4258700
2025-06-13,130.1900,131.0700,128.8100,129.4900,4367500
2025-06-16,130.2900,132.8000,130.2900,130.9000,6240500
2025-06-17,129.8400,131.1700,129.6600,130.0900,4767700
2025-06-18,130.0200,132.9600,129.9300,132.5200,6170400
2025-06-20,133.3500,133.3700,131.9100,132.7100,8904400
2025-06-23,132.0600,134.1000,130.9000,134.0000,5232400
2025-06-24,135.6800,136.6800,135.0100,135.9000,5599900
2025-06-25,136.1200,137.8900,135.4100,137.7200,5736400
2025-06-26,138.0100,140.2000,137.8400,139.7500,6013200
2025-06-27,140.2500,141.9000,139.1000,140.6900,7249300
2025-06-30,141.5100,141.8500,139.5500,140.8600,8034400
2025-07-01,140.5500,141.6100,139.4700,141.0700,6166700
2025-07-02,141.6200,142.8800,140.9800,142.8600,5494500
2025-07-03,143.3600,144.5600,142.6700,144.1400,3974700
2025-07-07,144.1100,145.1600,142.5000,143.7400,5991600
2025-07-08,143.6100,144.0600,141.0200,141.1300,6620400
2025-07-09,142.9000,142.9400,140.9000,141.5500,4837000
2025-07-10,141.7600,143.1600,141.3200,143.0900,5622800
2025-07-11,141.8600,142.4500,141.1200,142.2800,3647500
2025-07-14,142.4500,144.0500,142.0000,143.9700,5376100
2025-07-15,143.2900,144.0000,141.5500,141.5900,7392200
2025-07-16,139.5000,140.0000,135.2600,139.7900,10610800
2025-07-17,139.2600,141.6900,139.1300,140.9000,7695800
2025-07-18,141.4500,141.7500,140.2000,140.8300,5572300
2025-07-21,141.2400,142.5200,140.1800,140.4700,5853400
2025-07-22,140.8000,140.8900,138.9300,140.0400,5257200
2025-07-23,140.7800,142.6300,139.9300,142.2100,6612900
2025-07-24,142.4700,143.7200,141.8500,142.5000,3817900
2025-07-25,142.9200,143.3800,142.0500,143.0100,3463000
