Date,open,high,low,close,volume
2025-05-30,361.350,367.040,361.350,365.190,8726900
2025-06-02,362.770,365.460,359.960,365.320,3845700
2025-06-03,364.580,366.880,361.500,365.860,5221300
2025-06-04,366.710,369.660,366.310,368.000,4202300
2025-06-05,370.000,371.000,365.930,366.770,6881900
2025-06-06,369.010,371.000,367.550,370.220,5008500
2025-06-09,369.790,369.790,362.050,366.660,4999900
2025-06-10,367.000,371.440,366.680,370.700,4109300
2025-06-11,370.000,375.510,369.380,373.310,5562700
2025-06-12,372.230,374.170,369.550,371.400,4874000
2025-06-13,361.510,363.010,345.000,352.850,14181700
2025-06-16,356.490,360.220,354.330,355.480,7234700
2025-06-17,353.490,359.600,353.320,357.840,5559600
2025-06-18,357.850,358.480,338.040,340.380,15008600
2025-06-20,338.950,340.000,334.920,338.570,19332100
2025-06-23,337.500,344.300,335.630,343.750,7553300
2025-06-24,351.520,354.560,347.920,351.630,10172000
2025-06-25,350.450,351.290,345.260,345.260,6836300
2025-06-26,343.780,346.910,342.030,346.030,8829500
2025-06-27,346.590,352.010,345.660,348.610,6601900
2025-06-30,349.350,355.610,349.060,355.050,7080100
2025-07-01,353.820,357.000,351.420,355.470,6653400
2025-07-02,354.600,356.360,350.000,354.220,5131400
2025-07-03,354.590,359.000,353.610,358.860,3702800
2025-07-07,358.920,359.660,354.490,356.640,5138000
2025-07-08,356.680,358.280,353.250,354.550,6966800
2025-07-09,355.070,357.760,353.750,357.760,7297100
2025-07-10,356.830,357.620,353.450,355.880,6121300
2025-07-11,352.510,353.810,344.390,347.930,7580200
2025-07-14,347.390,351.970,345.010,350.500,5598900
2025-07-15,348.120,350.210,346.760,347.020,4891700
2025-07-16,347.290,350.670,345.800,349.900,5544200
2025-07-17,350.000,351.370,348.480,349.810,4747100
2025-07-18,349.500,349.500,347.160,349.050,4927600
2025-07-21,349.060,353.650,348.400,350.940,5216300
2025-07-22,351.100,354.480,350.200,351.860,4614200
2025-07-23,353.000,355.780,351.210,355.290,4385600
2025-07-24,354.820,357.180,353.860,353.970,5887200
2025-07-25,354.000,357.650,353.010,357.040,3915400
2025-07-28,356.380,358.320,354.730,355.470,3921000
2025-07-29,356.290,358.320,350.810,351.290,7402300
2025-07-30,351.700,356.620,347.230,350.910,12129700
2025-07-31,348.930,352.820,345.090,345.470,8641700
2025-08-01,344.100,346.170,338.100,339.350,8658700
2025-08-04,341.700,344.380,340.000,342.150,7335300
2025-08-05,342.150,342.460,335.550,337.430,7295600
2025-08-06,338.300,341.430,335.430,339.740,5944100
2025-08-07,341.430,342.150,328.700,332.090,8797100
2025-08-08,333.680,337.380,332.730,336.780,6073900
2025-08-11,336.730,337.860,334.510,335.900,5715800
2025-08-12,335.200,338.650,334.810,336.740,5682800
2025-08-13,336.980,343.480,336.780,342.550,5693400
2025-08-14,342.940,346.080,341.670,345.490,6224000
2025-08-15,346.250,348.360,342.860,344.470,4946600
2025-08-18,343.840,345.730,340.950,342.740,3999600
2025-08-19,342.560,346.340,341.890,342.450,4457200
2025-08-20,343.400,347.440,342.850,343.930,5834400
2025-08-21,342.890,344.520,339.720,343.690,6073600
2025-08-22,345.220,351.200,345.220,350.040,4973200
2025-08-25,349.610,350.720,347.500,348.820,8019800
