Date,open,high,low,close,volume
2025-05-30,185.000,186.690,183.010,186.110,11609000
2025-06-02,185.730,186.990,183.160,186.990,4435600
2025-06-03,186.900,188.730,184.820,187.250,5335600
2025-06-04,188.410,190.180,187.270,187.340,4382200
2025-06-05,187.500,188.600,185.050,187.470,4417900
2025-06-06,188.490,190.490,188.300,189.830,3607800
2025-06-09,190.510,191.790,189.010,189.160,4661500
2025-06-10,189.040,191.880,188.800,189.500,4087500
2025-06-11,189.340,192.720,189.060,191.500,3908000
2025-06-12,192.200,193.590,187.410,192.420,5781400
2025-06-13,191.560,193.470,190.290,191.080,4965700
2025-06-16,190.900,191.660,188.930,190.860,4203900
2025-06-17,189.160,190.610,185.030,185.480,4733900
2025-06-18,185.250,187.120,183.700,185.490,3573200
2025-06-20,186.090,187.100,184.160,185.300,12158100
2025-06-23,184.490,185.800,182.300,183.760,5157900
2025-06-24,184.520,186.140,183.190,185.550,4074400
2025-06-25,185.300,187.090,184.640,185.390,4471100
2025-06-26,186.530,188.990,185.790,186.790,5734000
2025-06-27,187.900,188.000,181.730,182.310,29264700
2025-06-30,182.430,186.250,181.750,185.620,6482600
2025-07-01,185.010,191.760,184.390,189.990,5937600
2025-07-02,189.700,192.590,189.530,190.750,4658200
2025-07-03,191.150,191.470,188.870,189.280,3706200
2025-07-07,189.440,191.390,186.830,187.630,11049100
2025-07-08,186.790,193.000,186.670,189.770,7106900
2025-07-09,188.500,191.090,188.320,190.620,5594100
2025-07-10,190.500,197.500,189.560,195.000,6049400
2025-07-11,193.890,194.000,191.160,192.450,4991000
2025-07-14,191.720,192.670,190.040,191.520,4072800
2025-07-15,190.210,190.670,185.010,186.390,6729200
2025-07-16,186.920,191.390,186.500,190.580,6202600
2025-07-17,189.000,192.120,188.260,191.400,4853100
2025-07-18,191.510,192.340,188.570,189.260,5332000
2025-07-21,189.620,189.900,184.630,184.850,4954800
2025-07-22,184.940,188.200,184.900,187.110,4432100
2025-07-23,187.050,190.800,186.770,190.550,4344500
2025-07-24,190.760,192.240,189.990,190.830,3462700
2025-07-25,191.400,191.400,188.530,190.280,3786800
2025-07-28,191.210,191.210,187.640,188.520,3776900
2025-07-29,189.150,192.490,187.860,191.220,6715500
2025-07-30,191.770,192.700,188.010,189.310,5008400
2025-07-31,197.060,198.830,187.620,189.020,10347900
2025-08-01,189.920,197.060,189.790,195.220,8082000
2025-08-04,194.810,197.370,193.720,197.190,4217500
2025-08-05,197.550,199.890,196.480,198.550,4153400
2025-08-06,197.230,198.050,194.670,196.300,4057200
2025-08-07,197.050,199.830,196.500,198.860,4683300
2025-08-08,199.080,200.330,197.140,198.050,4101700
2025-08-11,198.180,199.430,196.890,198.640,6067800
2025-08-12,198.090,200.020,197.050,198.640,3049800
2025-08-13,199.760,201.720,199.210,201.470,3558500
2025-08-14,201.800,205.060,200.860,204.680,4635400
2025-08-15,205.910,206.840,204.320,206.690,4430900
2025-08-18,206.600,208.340,205.960,206.570,6083500
2025-08-19,206.530,207.800,205.100,206.190,3975500
2025-08-20,206.650,211.690,206.650,209.150,5782100
