Date,open,high,low,close,volume
2025-05-30,282.610,288.810,281.040,288.180,5439200
2025-06-02,285.640,289.450,284.770,288.470,2394000
2025-06-03,285.520,291.760,283.040,289.570,2320400
2025-06-04,290.190,293.210,286.890,287.010,2338300
2025-06-05,286.330,291.360,284.990,287.100,2522400
2025-06-06,289.800,293.570,289.010,290.330,1996100
2025-06-09,290.470,291.660,287.540,289.980,1967100
2025-06-10,290.000,295.640,289.790,293.430,2441500
2025-06-11,293.210,294.670,291.150,291.810,1828300
2025-06-12,294.210,297.440,292.680,297.290,2159700
2025-06-13,294.730,299.490,294.070,295.220,2191200
2025-06-16,296.310,298.770,292.460,295.560,2047600
2025-06-17,294.410,295.800,289.630,290.050,2515100
2025-06-18,290.790,291.870,286.600,289.630,2026800
2025-06-20,292.170,294.550,288.540,289.330,6801300
2025-06-23,290.080,290.660,267.830,272.440,5764900
2025-06-24,273.130,280.010,269.010,277.490,3686900
2025-06-25,275.800,280.540,273.130,280.350,2740300
2025-06-26,280.000,286.170,277.750,279.110,2998200
2025-06-27,278.570,281.320,275.700,277.130,2894500
2025-06-30,278.850,280.040,276.580,279.210,2963500
2025-07-01,280.010,293.980,278.980,290.520,3502700
2025-07-02,291.030,297.910,289.500,296.850,2287000
2025-07-03,297.000,298.990,295.510,298.240,1518500
2025-07-07,297.880,298.000,291.380,292.950,2144500
2025-07-08,291.960,298.680,291.250,297.000,1534100
2025-07-09,298.510,301.660,291.770,296.520,2098000
2025-07-10,296.190,302.380,295.170,300.370,1925800
2025-07-11,298.230,299.910,294.000,295.270,1619800
2025-07-14,293.860,297.140,292.840,297.030,1202300
2025-07-15,297.190,297.530,291.940,292.510,1592700
2025-07-16,292.510,299.340,292.330,299.020,1881000
2025-07-17,297.590,299.950,296.280,298.250,1725600
2025-07-18,300.930,301.000,293.750,294.760,1967700
2025-07-21,294.750,297.090,293.600,295.870,2025100
2025-07-22,296.460,306.800,295.860,305.690,2520800
2025-07-23,307.810,309.490,305.990,309.220,1782700
2025-07-24,309.230,311.280,307.350,308.550,1531200
2025-07-25,308.580,309.030,304.450,306.580,1451300
2025-07-28,305.820,306.000,300.100,301.290,1948000
2025-07-29,301.120,304.070,297.780,303.560,1406500
2025-07-30,304.330,305.570,299.660,301.370,1550400
2025-07-31,298.440,302.960,293.630,295.100,2252700
2025-08-01,297.060,298.520,292.590,296.880,2410900
2025-08-04,297.300,302.330,296.300,301.940,2316200
2025-08-05,300.730,302.100,297.020,300.080,2664100
2025-08-06,295.510,298.540,281.650,284.670,4576000
2025-08-07,287.350,289.250,281.690,284.700,2588800
2025-08-08,283.490,288.490,283.490,288.230,1803300
2025-08-11,289.740,291.740,284.720,285.090,1856800
2025-08-12,285.480,286.260,282.600,284.980,2200300
2025-08-13,285.320,289.580,284.690,289.330,1784900
2025-08-14,288.880,291.540,287.410,290.290,1932300
2025-08-15,292.030,296.990,290.580,296.470,2168300
2025-08-18,296.930,298.140,292.300,292.620,1743800
2025-08-19,292.410,296.990,292.110,295.550,1858500
2025-08-20,296.250,301.470,295.800,296.450,1723700
2025-08-21,295.900,299.900,294.490,295.760,1843700
2025-08-22,295.490,297.890,293.350,293.720,1644000
2025-08-25,292.610,294.600,287.560,288.470,1734300
2025-08-26,287.770,289.890,286.530,289.580,1750400
2025-08-27,288.840,290.250,286.650,287.970,1400800
2025-08-28,287.230,287.230,284.870,285.610,1886700
2025-08-29,285.800,288.300,285.160,287.710,1302700
2025-09-02,287.490,288.740,284.710,286.920,1948200
2025-09-03,284.080,286.930,280.380,283.850,2604100
2025-09-04,284.760,284.760,278.750,280.100,2622000
2025-09-05,279.800,285.290,279.000,283.640,2299400
2025-09-08,281.050,282.430,277.320,280.190,2452900
2025-09-09,279.500,282.080,278.780,279.970,1733000
2025-09-10,280.000,280.310,275.160,278.510,2150700
2025-09-11,278.520,282.900,278.000,282.730,2233100
2025-09-12,281.040,282.940,276.070,276.390,2143700
2025-09-15,276.070,277.240,271.610,274.400,2563100
2025-09-16,275.890,277.590,271.730,273.080,2157400
2025-09-17,274.140,277.800,273.000,274.710,1748800
2025-09-18,274.700,276.500,273.970,275.830,3322500
2025-09-19,278.640,286.150,277.370,285.410,8735100
2025-09-22,284.130,287.200,281.710,286.000,3050500
2025-09-23,283.960,287.260,283.960,286.810,2342000
2025-09-24,285.470,286.700,278.000,279.220,2374200
2025-09-25,279.000,281.050,270.640,271.180,2802700
2025-09-26,274.340,275.500,269.770,272.980,1812200
2025-09-29,273.100,274.520,270.670,273.970,1769100
2025-09-30,274.140,284.820,274.020,282.200,3508700
2025-10-01,284.450,301.660,283.000,298.500,4835400
2025-10-02,298.310,300.500,295.460,297.400,2123200
2025-10-03,297.720,301.540,295.630,297.890,2518500
2025-10-06,297.620,297.620,293.030,294.120,1957300
2025-10-07,293.270,295.850,290.210,295.540,1504300
2025-10-08,295.790,297.630,292.290,294.620,2940600
2025-10-09,294.130,296.630,293.700,295.430,1369000
2025-10-10,296.160,297.090,289.580,290.130,2660500
2025-10-13,291.750,296.130,289.440,292.400,1838400
2025-10-14,291.750,296.870,290.970,293.850,1975900
