Date,open,high,low,close,volume
2025-05-30,47.8700,48.3500,47.3000,48.2800,20759300
2025-06-02,48.5000,48.8700,47.8200,48.7900,13505600
2025-06-03,48.4900,48.9300,47.6500,48.0900,12432700
2025-06-04,48.1700,48.8500,47.9500,47.9500,11203100
2025-06-05,48.0500,48.6000,47.7300,47.8400,12786000
2025-06-06,48.1000,48.6800,48.0900,48.4100,9319900
2025-06-09,48.5600,49.3700,48.5500,49.0000,9863500
2025-06-10,49.2100,50.6300,49.1200,49.9700,11365600
2025-06-11,50.0500,50.7600,49.8600,50.1600,11024600
2025-06-12,50.1600,50.7400,49.9500,50.6900,9620400
2025-06-13,50.2400,50.4600,49.6500,49.7500,9499400
2025-06-16,49.3300,49.4400,48.2500,48.6600,14974400
2025-06-17,48.4000,48.5600,47.1600,47.2300,12453800
2025-06-18,47.3100,47.3700,46.3900,46.8400,15864200
2025-06-20,46.9200,47.4000,46.7200,46.8600,47287200
2025-06-23,46.8900,47.1800,46.3200,46.9200,9508300
2025-06-24,47.0800,47.4000,46.7100,47.0300,14585000
2025-06-25,47.0000,47.0000,46.4700,46.6800,9013100
2025-06-26,46.9000,47.0700,46.4700,46.6500,7325600
2025-06-27,46.8300,46.9500,46.1800,46.3500,21865000
2025-06-30,46.4100,46.7300,46.1700,46.2900,17511800
2025-07-01,46.2600,48.2600,46.1700,47.5100,21112400
2025-07-02,47.5900,48.2200,47.3600,47.6300,12299100
2025-07-03,47.2100,47.2700,46.7000,46.9200,7024100
2025-07-07,46.8600,46.9200,46.3300,46.4900,10687100
2025-07-08,46.6500,47.8200,46.4800,47.0400,9837200
2025-07-09,47.2000,47.7800,47.1000,47.6600,11949000
2025-07-10,47.4500,48.6100,46.9800,48.5200,14727300
2025-07-11,47.7500,47.8000,46.7200,46.8600,13716400
2025-07-14,46.8800,47.9700,46.8800,47.3400,10867500
2025-07-15,47.1500,47.4900,46.1800,46.4300,14878700
2025-07-16,46.7700,47.4200,46.6500,47.1700,13250500
2025-07-17,46.8100,48.3600,46.8100,48.0600,16472000
2025-07-18,48.1400,48.2400,47.2600,47.3600,10717000
2025-07-21,47.3900,47.3900,46.5700,46.6900,9999300
2025-07-22,46.9100,48.1400,46.8500,48.0200,9605500
2025-07-23,48.8600,49.1200,48.3600,48.9800,10834300
2025-07-24,49.0200,49.2800,48.7100,48.9400,6860600
2025-07-25,49.0800,49.2400,47.2900,48.4300,11922000
2025-07-28,48.4400,48.4600,47.3400,47.5100,7445600
2025-07-29,47.1700,47.1800,46.3700,46.8600,11423400
2025-07-30,47.0000,47.2600,45.8100,45.9800,14148800
2025-07-31,44.1700,45.5100,42.9600,43.3100,44531300
2025-08-01,43.6100,44.4600,43.5700,44.2300,18629500
2025-08-04,44.0700,45.5100,43.8800,45.4000,14662800
