Date,open,high,low,close,volume
2025-05-30,190.0000,190.9900,187.7800,189.9000,6514200
2025-06-02,188.2200,190.2500,187.0000,189.2300,3027700
2025-06-03,188.1700,192.9600,186.0000,192.0600,3525700
2025-06-04,193.0000,195.6600,192.0500,193.0800,2596800
2025-06-05,193.9000,194.6500,189.8800,192.1500,3096500
2025-06-06,194.3400,196.6500,192.9000,196.0200,2802200
2025-06-09,197.5100,200.2900,195.3400,199.2000,4119400
2025-06-10,200.7700,203.4700,198.0200,202.6200,4626200
2025-06-11,203.0700,207.0000,202.6700,204.7200,4491400
2025-06-12,203.5400,205.7700,202.7300,205.1000,3661200
2025-06-13,203.5500,204.2700,200.4300,200.6700,3391400
2025-06-16,201.9500,202.3900,197.4500,201.1100,3143400
2025-06-17,199.0000,200.2800,195.3700,195.7500,2968600
2025-06-18,195.4000,197.0000,193.1200,194.4400,3236300
2025-06-20,196.5300,196.6000,194.2200,196.3900,6590900
2025-06-23,195.2500,197.0000,192.8800,196.3400,3943100
2025-06-24,197.3500,198.7300,195.9500,197.4700,2739800
2025-06-25,196.9000,201.3700,195.7000,201.0000,4379600
2025-06-26,201.9800,205.6100,200.6000,201.4600,5685500
2025-06-27,202.0500,203.5000,197.7000,198.8000,5619700
2025-06-30,198.9200,200.4500,196.0200,197.5400,4537400
2025-07-01,196.9900,205.0400,196.3800,201.1000,3976000
2025-07-02,202.1800,203.4000,199.3000,202.5000,3503600
2025-07-03,203.3000,204.3000,202.3600,203.2000,1390700
2025-07-07,202.0500,202.5000,198.6600,199.6300,2388400
2025-07-08,199.1800,204.6100,198.9800,200.6800,4225600
2025-07-09,200.9900,202.2200,197.1200,200.9600,2050700
2025-07-10,201.4100,208.1500,200.5900,205.5100,3088200
2025-07-11,205.5100,205.8100,203.5100,204.8500,2369000
2025-07-14,200.0000,200.0600,194.8900,197.7500,4925400
2025-07-15,199.4100,200.0000,192.3800,192.8600,4521900
2025-07-16,193.3900,194.2800,191.1500,193.3000,2662400
2025-07-17,193.8800,195.0900,192.4200,194.7900,3064800
2025-07-18,195.6600,196.2000,189.0800,190.0500,4240300
2025-07-21,189.8900,190.3300,187.5500,188.0700,5898600
2025-07-22,186.7500,196.3300,185.5000,189.9100,7053300
2025-07-23,200.5200,201.7300,194.8100,197.8900,6374400
2025-07-24,198.0100,204.6800,198.0100,202.8100,7411400
2025-07-25,203.5300,206.3900,202.6600,205.4800,5355700
2025-07-28,204.2000,206.0400,202.2300,202.9400,5160200
2025-07-29,203.1000,207.5300,202.0000,206.8500,4973300
2025-07-30,206.9400,207.4700,203.0800,203.9900,5692900
2025-07-31,201.5000,204.0200,196.8000,197.1600,6060700
2025-08-01,195.3300,197.1600,192.2600,197.0900,5736500
2025-08-04,196.0000,197.6900,194.0000,197.4600,3176900
2025-08-05,197.3800,200.6500,196.5000,199.0400,4001100
2025-08-06,198.6000,199.0500,194.1500,195.1700,5123000
2025-08-07,197.1000,199.0800,195.5500,198.4900,2670100
2025-08-08,198.4900,200.7400,197.2500,200.5600,2963100
2025-08-11,200.8400,202.2000,199.1600,199.7600,2566300
2025-08-12,200.1700,205.8800,199.6600,205.7200,2830000
2025-08-13,206.0400,209.3200,206.0400,209.1400,3241300
2025-08-14,208.7400,210.4700,207.1600,210.2200,2634500
2025-08-15,212.0200,212.4000,209.8300,210.9300,3210200
2025-08-18,211.0000,212.1500,208.7000,209.0100,2859900
2025-08-19,209.7500,213.0600,208.8700,212.2000,4851300
2025-08-20,212.2000,214.0100,210.7900,211.4000,3302500
2025-08-21,210.3200,210.7100,203.8900,203.9000,3172700
2025-08-22,206.8800,212.5700,205.6300,211.8000,3364900
2025-08-25,211.3000,211.7300,207.2900,207.7300,1985800
2025-08-26,207.7800,209.3600,205.6700,206.2500,3670600
2025-08-27,205.6400,207.3900,203.8000,205.0000,2503200
2025-08-28,204.4700,205.6800,202.0200,205.2900,2519900
2025-08-29,205.3400,207.7000,204.7000,205.8200,1979800
2025-09-02,204.5600,206.0000,200.6800,203.7900,2389000
2025-09-03,202.7800,204.0400,198.6800,199.4400,3468200
2025-09-04,198.9000,199.7900,192.1800,199.0300,3673600
2025-09-05,199.4300,203.8800,198.6300,200.2100,2837600
2025-09-08,195.6700,198.9500,194.3400,198.6300,3502100
2025-09-09,198.6300,199.1500,193.3900,194.3300,3345100
2025-09-10,194.0500,196.9300,192.3700,192.5900,5509500
2025-09-11,194.7000,196.2200,193.4700,195.1600,3426200
2025-09-12,195.0000,195.0000,188.8600,190.0500,3899900
2025-09-15,191.0600,191.5700,187.0400,188.5400,4675400
2025-09-16,189.0000,192.0700,187.7600,190.4700,4817600
2025-09-17,191.2100,196.3300,190.7300,192.9400,4419300
2025-09-18,193.9000,196.1500,193.3000,195.2700,2871800
2025-09-19,196.1700,196.5000,192.6700,193.2900,5934200
2025-09-22,191.9000,193.0900,190.2300,190.4600,2949600
2025-09-23,190.0000,190.8600,188.4100,189.7200,3461200
2025-09-24,188.6400,189.1800,185.4500,185.9100,5522100
2025-09-25,184.4300,185.0800,180.0300,181.4600,7433800
2025-09-26,181.7500,185.1000,181.3500,184.8400,4847900
2025-09-29,185.8500,186.8000,183.4500,186.0600,3513100
2025-09-30,186.3800,198.3700,185.6600,198.2600,7731200
2025-10-01,198.7100,213.1300,198.6300,212.8800,11404100
2025-10-02,210.9400,216.1600,210.0000,210.3300,6798100
2025-10-03,211.3300,219.9200,210.2200,214.9900,5927300
2025-10-06,215.0100,215.2800,210.6400,211.7100,3849500
2025-10-07,212.5100,213.9600,208.4600,208.7700,4008700
2025-10-08,206.9000,209.8800,204.9000,204.9600,5089500
2025-10-09,204.8100,207.1900,203.5600,204.4800,2572600
2025-10-10,204.9100,206.4600,202.1400,202.4600,3585500
2025-10-13,203.5600,206.7500,202.8500,205.1400,2229700
2025-10-14,202.8800,207.3600,202.3300,206.1500,2254100
2025-10-15,206.9800,209.5200,204.4400,206.1000,3081000
