Date,open,high,low,close,volume
2025-05-30,153.9000,155.7100,153.2200,155.2100,15529700
2025-06-02,154.4800,155.5400,152.3000,155.4000,6669300
2025-06-03,154.8000,155.6600,154.0800,154.4200,8209800
2025-06-04,154.9300,154.9300,153.1300,153.2200,6983900
2025-06-05,153.6800,154.0900,152.6400,153.6600,5295400
2025-06-06,154.0000,156.0300,154.0000,155.0300,5391500
2025-06-09,154.8500,155.9900,154.4500,155.2300,5319000
2025-06-10,155.4300,157.4400,155.0200,156.4500,6791600
2025-06-11,156.3000,156.6000,154.7300,155.2600,6016000
2025-06-12,156.2400,156.6800,155.1700,156.6600,7075500
2025-06-13,155.9700,157.6700,155.9700,157.1000,6587500
2025-06-16,156.4200,156.5000,154.4500,155.2200,7024000
2025-06-17,154.9700,155.2800,152.1000,152.3800,6407100
2025-06-18,152.5700,152.6500,150.7100,150.7300,8325200
2025-06-20,151.2600,151.4000,149.0400,149.7900,22605500
2025-06-23,149.7400,151.4300,149.7400,151.3200,7397900
2025-06-24,151.5000,152.7200,150.9800,152.1900,9544200
2025-06-25,151.3800,153.0700,150.7300,152.2800,7153700
2025-06-26,152.7000,153.2200,151.5300,152.0100,7156900
2025-06-27,152.0100,153.3300,151.0100,152.4100,10010800
2025-06-30,152.1600,152.9700,151.5200,152.7500,9039300
2025-07-01,153.0000,157.7500,152.8100,155.9200,10896700
2025-07-02,156.0000,156.3000,155.0700,155.5600,5544000
2025-07-03,155.4300,156.2800,154.8800,156.0100,3482500
2025-07-07,156.0200,156.3500,154.8900,155.2700,6270900
2025-07-08,154.4800,156.7600,154.2100,155.7900,6438200
2025-07-09,155.7900,156.6900,155.0700,156.2800,6147400
2025-07-10,156.1000,159.2400,155.8200,157.6900,6732900
2025-07-11,157.0900,157.1800,155.1800,156.9000,7872000
2025-07-14,156.8700,157.4700,155.5200,156.8200,10185600
2025-07-15,156.3600,157.1900,154.8000,155.1700,6873200
2025-07-16,160.3000,166.1200,159.8000,164.7800,22134800
2025-07-17,163.1800,164.7000,162.3000,162.9800,11295700
2025-07-18,163.9300,165.1000,163.3600,163.7000,9792600
2025-07-21,163.7700,164.9200,162.7800,164.3600,8254000
2025-07-22,165.0000,168.0600,164.7100,167.9300,9288000
2025-07-23,168.6000,169.1200,166.5900,169.1000,10617600
2025-07-24,169.5000,169.9900,168.8800,169.5600,6636900
2025-07-25,169.7500,169.8800,167.4400,168.3000,6254900
2025-07-28,167.8600,167.9400,165.0500,166.2200,8014600
2025-07-29,166.6700,168.7800,166.3700,168.1100,7663400
2025-07-30,167.7000,168.6100,166.7800,167.2600,6189200
2025-07-31,165.9300,167.0700,164.2300,164.7400,11036200
2025-08-01,165.4800,167.6200,164.7900,167.3300,8927800
2025-08-04,167.0300,171.1900,166.6400,171.0400,12679100
2025-08-05,170.5400,171.5600,169.6500,170.7400,7934400
2025-08-06,169.9100,172.1800,169.6800,170.5900,8957200
2025-08-07,171.1700,171.6200,169.9200,171.5300,9315900
2025-08-08,171.0200,173.9600,170.3900,173.3300,7686800
2025-08-11,173.4000,174.6000,173.0500,173.8200,7256800
2025-08-12,174.0000,174.7600,171.8100,172.7800,7916700
2025-08-13,173.0000,174.5400,172.7000,174.4200,5878700
2025-08-14,174.3100,175.7200,172.7200,174.7200,8241700
2025-08-15,175.5700,177.2700,174.9600,176.6400,9477600
2025-08-18,176.5000,177.5700,176.1000,176.2500,9284000
2025-08-19,176.0400,178.1800,175.9800,177.8000,9274200
2025-08-20,178.5000,180.6100,178.0000,178.8400,9030000
2025-08-21,178.5500,180.0800,178.1600,178.9300,8859600
2025-08-22,180.0400,181.1600,177.4700,179.2900,9524000
2025-08-25,179.5200,180.2600,178.2900,178.4100,6229100
2025-08-26,176.7500,177.1600,175.7700,176.4900,9145000
2025-08-27,176.9700,177.6900,176.1600,176.7900,5951100
2025-08-28,176.3700,176.4900,174.6300,175.4500,6424700
2025-08-29,175.9700,177.4100,175.4500,177.1700,6942300
2025-09-02,177.4700,179.2000,176.8900,178.0600,9049000
2025-09-03,177.6700,178.2900,176.5300,178.0000,7111700
2025-09-04,178.0000,178.9000,177.5500,178.7600,7854800
2025-09-05,178.0000,179.5100,176.5600,178.4300,9733800
2025-09-08,177.3600,179.4500,176.7000,178.1300,8382500
2025-09-09,178.0000,178.0900,176.4500,176.9600,6005700
2025-09-10,176.3000,176.6100,174.3300,175.7900,6891600
2025-09-11,175.7500,178.8500,175.6300,178.5000,5792500
2025-09-12,177.7100,178.8000,176.7200,178.0600,7220200
2025-09-15,177.7600,178.9900,176.9300,177.4000,4768100
2025-09-16,177.5700,177.6200,175.6500,176.4600,7959300
2025-09-17,176.7100,178.5100,176.5900,177.2000,6714900
2025-09-18,176.6000,177.0200,173.8700,174.1600,8200900
2025-09-19,174.6900,177.1600,173.3300,176.1900,25621000
2025-09-22,176.0900,176.6400,174.1200,174.2100,7193900
2025-09-23,174.8900,176.9700,174.8300,176.5800,8350400
2025-09-24,176.1400,176.9500,175.7400,176.6900,6676800
2025-09-25,177.2000,178.4000,175.9100,177.7300,8475000
2025-09-26,178.6000,179.9100,177.3200,179.7100,8634400
2025-09-29,179.8300,181.8700,179.8000,181.6200,8597100
2025-09-30,181.7000,185.9900,181.0700,185.4200,11569000
2025-10-01,186.0000,186.5600,183.9100,186.0500,13063800
2025-10-02,184.1900,186.5900,184.0900,185.9800,7728100
2025-10-03,187.0600,189.7800,186.9100,188.6400,8675100
2025-10-06,188.0000,189.9200,187.3700,188.1600,5806100
2025-10-07,183.7700,189.2300,182.9400,188.8900,8776800
2025-10-08,188.8700,190.2200,188.2700,189.6900,5751200
2025-10-09,190.0000,192.1000,189.7300,191.0800,7484800
2025-10-10,192.0100,192.0700,189.8500,190.7200,9598000
2025-10-13,189.8300,191.3000,189.2800,190.9000,7979500
2025-10-14,192.9200,194.4000,185.8800,190.8500,13613300
2025-10-15,191.4800,193.5700,189.3000,191.1700,9473000
2025-10-16,191.3400,193.0500,190.4300,192.1200,10611800
2025-10-17,192.5000,193.6000,191.6800,193.2200,7764400
2025-10-20,193.5000,194.4800,192.3300,193.7200,8034700
2025-10-21,193.0100,193.5500,191.7700,191.8800,6716000
2025-10-22,192.0000,193.4500,191.7800,192.9400,6343100
2025-10-23,192.5600,194.0000,191.5400,192.4700,8882500
2025-10-24,192.2000,192.3100,189.4200,190.4000,6903400
2025-10-27,189.9900,190.8000,189.5300,190.3000,7126000
2025-10-28,189.2600,189.5100,186.6200,186.9300,8329500
2025-10-29,186.7000,187.1000,184.6600,186.6000,10551100
2025-10-30,187.0800,189.3800,186.9100,189.0500,7072500
2025-10-31,187.4600,189.5000,186.7600,188.8700,8791700
2025-11-03,189.0000,189.0300,185.5200,186.2600,7542600
2025-11-04,186.8300,187.8200,185.6200,186.8600,7209400
2025-11-05,186.6400,187.8300,185.4000,186.0000,5049400
2025-11-06,186.7600,187.5200,185.3700,186.9700,6767400
2025-11-07,187.7400,188.3500,185.7000,186.5700,6959200
2025-11-10,186.0000,188.4200,185.1200,188.4100,5323800
2025-11-11,189.3900,193.9200,189.0500,193.8300,7465600
2025-11-12,193.3600,195.5500,193.0700,194.3900,8803000
2025-11-13,194.2100,196.0000,193.4500,195.2500,8631600
2025-11-14,195.0000,197.1800,193.5500,195.9300,8824800
2025-11-17,196.9600,200.2800,195.9000,199.5800,13257000
