Date,open,high,low,close,volume
2025-05-30,725.000,745.900,717.110,737.670,6106200
2025-06-02,732.500,747.370,730.700,747.120,2946900
2025-06-03,746.250,757.000,741.460,750.780,3056500
2025-06-04,756.390,772.620,756.000,765.840,3135900
2025-06-05,769.500,770.000,753.050,765.680,3636400
2025-06-06,768.480,772.600,765.200,769.880,2069900
2025-06-09,771.950,779.290,767.590,773.710,2262200
2025-06-10,777.090,808.630,777.000,807.190,4744400
2025-06-11,809.650,820.720,805.030,808.610,3125400
2025-06-12,810.330,818.560,806.350,812.030,2271100
2025-06-13,810.340,825.000,808.100,819.360,2754600
2025-06-16,821.680,825.000,805.760,807.580,2821800
2025-06-17,805.160,805.160,788.940,791.240,2875600
2025-06-18,789.950,790.630,779.440,785.030,2442900
2025-06-20,786.000,786.000,755.560,762.730,6210600
2025-06-23,770.530,793.210,763.830,770.640,3951500
2025-06-24,772.890,784.440,763.020,778.080,2788500
2025-06-25,779.000,798.950,773.600,792.300,3023100
2025-06-26,793.950,798.800,788.250,795.120,3118200
2025-06-27,795.800,802.500,774.640,775.450,4115100
2025-06-30,778.540,785.000,774.000,779.530,3041500
2025-07-01,779.530,790.000,773.000,775.900,2734000
2025-07-02,776.500,779.840,768.000,779.280,1978300
2025-07-03,780.460,783.550,773.000,780.670,1450800
2025-07-07,780.680,781.150,762.030,772.870,2576900
2025-07-08,774.850,792.690,768.800,777.660,3301800
2025-07-09,783.800,794.000,781.990,786.920,2703100
2025-07-10,789.670,799.490,786.430,790.650,3130400
2025-07-11,786.350,795.730,777.200,793.010,2852500
2025-07-14,790.000,800.880,787.360,799.340,2401400
2025-07-15,801.670,805.420,764.380,771.750,4174100
2025-07-16,773.500,796.040,772.160,789.800,3255400
2025-07-17,786.790,790.000,760.020,761.500,4107300
2025-07-18,763.860,775.960,760.500,771.710,3357700
2025-07-21,768.170,772.000,760.500,762.180,3058000
2025-07-22,763.340,778.290,762.500,776.440,2496600
2025-07-23,780.000,800.090,777.080,798.890,2683600
2025-07-24,801.360,810.140,797.650,805.430,2786400
2025-07-25,809.000,815.190,802.370,812.690,2976900
2025-07-28,812.650,820.220,802.500,808.110,2587700
2025-07-29,774.500,779.490,755.180,762.950,7100700
2025-07-30,774.000,778.100,758.410,760.080,4338700
2025-07-31,747.300,766.450,735.440,740.070,5810300
2025-08-01,746.820,768.000,745.990,762.330,4859500
2025-08-04,759.970,774.480,752.570,769.000,3353400
2025-08-05,765.570,769.940,759.520,765.950,3615200
2025-08-06,756.560,763.000,740.190,746.370,4752100
2025-08-07,675.660,678.290,633.200,640.860,26101600
2025-08-08,655.000,656.180,623.780,625.650,14125100
2025-08-11,629.420,654.440,625.900,635.220,11294200
2025-08-12,639.500,646.180,629.400,639.430,6897400
2025-08-13,650.400,661.750,644.500,660.490,6310000
2025-08-14,662.000,685.480,655.100,684.430,8395900
2025-08-15,694.200,706.790,685.800,701.230,8224600
2025-08-18,695.020,707.750,693.500,698.050,4997300
2025-08-19,706.610,714.270,698.550,703.210,5941000
2025-08-20,701.520,705.800,685.150,705.440,4139400
2025-08-21,705.200,718.400,705.200,709.820,3617300
2025-08-22,715.040,719.460,709.430,711.680,3222700
2025-08-25,711.000,713.500,694.230,695.330,2898100
2025-08-26,716.240,736.180,713.100,736.030,7695600
2025-08-27,736.960,746.590,731.550,734.170,4326200
2025-08-28,735.800,738.590,726.340,731.960,3117000
2025-08-29,732.320,737.420,728.500,732.580,2551200
2025-09-02,727.990,737.140,723.640,735.190,3222500
2025-09-03,732.020,737.830,729.020,737.830,2222500
2025-09-04,736.320,747.000,735.330,742.910,2423400
2025-09-05,744.700,744.700,722.570,727.210,3958200
2025-09-08,729.710,742.700,719.220,738.640,4534600
2025-09-09,734.180,752.840,733.870,750.610,2986900
2025-09-10,748.090,755.800,742.490,754.620,2477400
2025-09-11,752.480,761.130,750.370,756.280,2197500
2025-09-12,760.170,761.600,748.000,755.390,2198300
2025-09-15,753.070,756.340,742.110,748.190,2790900
2025-09-16,745.410,770.380,744.540,764.710,3881300
2025-09-17,761.490,776.960,756.340,760.130,3471200
2025-09-18,761.380,772.540,759.010,762.930,3464000
2025-09-19,765.000,765.000,749.200,751.990,7349500
2025-09-22,748.560,762.040,746.270,754.950,2527400
2025-09-23,750.570,753.000,743.170,746.980,2910100
2025-09-24,745.990,746.940,736.160,741.850,2243000
2025-09-25,737.670,740.000,712.050,714.590,5136400
2025-09-26,724.120,729.000,717.080,724.540,3559700
2025-09-29,725.550,727.860,716.080,726.510,3309200
2025-09-30,726.960,766.350,725.310,763.000,6234300
2025-10-01,763.300,833.300,763.300,825.420,10124500
2025-10-02,814.360,834.460,812.810,819.850,4291800
2025-10-03,824.940,848.130,816.100,839.870,5088500
2025-10-06,839.950,856.570,838.660,845.050,3651400
2025-10-07,845.000,848.540,836.580,843.630,2610800
2025-10-08,850.000,856.000,844.990,845.720,2180900
2025-10-09,851.690,860.250,845.700,855.350,3071700
2025-10-10,858.000,864.350,830.110,833.490,3431000
2025-10-13,832.680,835.320,817.350,819.400,2167500
2025-10-14,822.090,822.090,806.000,812.350,1928400
2025-10-15,812.500,830.190,808.580,826.570,2355800
2025-10-16,825.070,834.700,815.370,819.380,2272900
2025-10-17,788.960,804.440,783.850,802.830,3983000
2025-10-20,805.600,809.410,799.770,808.960,2279700
2025-10-21,806.930,812.990,798.710,799.570,2099500
2025-10-22,798.400,815.940,793.820,812.430,2930600
2025-10-23,806.400,824.700,806.020,821.040,2632900
2025-10-24,815.210,834.150,812.500,825.450,2211200
2025-10-27,825.000,826.420,811.480,826.410,2114800
2025-10-28,826.000,829.460,814.050,820.100,2493500
2025-10-29,827.310,830.290,809.630,813.530,3591200
2025-10-30,837.500,853.000,812.250,844.500,6037200
2025-10-31,839.160,869.910,834.190,862.860,5015000
2025-11-03,866.530,901.340,862.620,896.530,5401500
2025-11-04,891.410,915.220,883.640,906.860,5911500
2025-11-05,911.000,955.460,907.860,925.810,7272900
2025-11-06,928.000,949.900,916.260,937.440,6417400
2025-11-07,931.170,932.000,900.900,924.370,4373400
2025-11-10,939.740,981.990,938.410,966.640,5696600
2025-11-11,966.550,999.950,965.290,988.620,4166400
2025-11-12,993.120,1022.420,990.100,1017.780,5185200
2025-11-13,1010.090,1032.950,1010.090,1022.870,4153600
2025-11-14,1009.000,1033.620,1007.790,1025.280,3862300
2025-11-17,1003.720,1032.140,998.300,1021.700,4720000
2025-11-18,1014.010,1040.720,1014.010,1030.050,3430500
2025-11-19,1029.640,1055.590,1026.250,1049.600,3571200
2025-11-20,1045.500,1057.000,1038.250,1043.290,3135700
2025-11-21,1041.000,1066.650,1038.000,1059.700,4266700
2025-11-24,1056.770,1075.720,1049.380,1070.160,5497200
2025-11-25,1075.830,1111.110,1073.250,1109.940,4181500
2025-11-26,1102.000,1111.990,1098.100,1104.340,3093700
2025-11-28,1096.720,1099.050,1067.690,1075.470,2732200
2025-12-01,1074.380,1084.150,1055.000,1057.890,3070200
2025-12-02,1052.570,1068.180,1040.360,1046.120,3280000
2025-12-03,1046.390,1051.480,1022.320,1033.560,3447000
2025-12-04,1032.630,1032.630,1007.180,1014.490,3854900
2025-12-05,1023.840,1027.390,1004.000,1010.310,2502100
2025-12-08,1010.740,1014.200,988.880,997.590,3088600
2025-12-09,1002.840,1012.000,979.180,982.220,2569700
2025-12-10,985.000,1003.000,977.120,993.640,2966300
2025-12-11,1008.150,1031.560,987.000,1009.380,4517000
2025-12-12,1008.760,1028.900,1003.500,1027.510,3275200
2025-12-15,1032.550,1065.000,1032.550,1062.190,4648400
2025-12-16,1063.500,1068.250,1036.230,1054.290,4024500
2025-12-17,1064.300,1064.300,1036.410,1041.790,3726600
2025-12-18,1041.800,1079.260,1039.540,1056.880,3848600
2025-12-19,1059.010,1075.380,1059.010,1071.440,5829100
2025-12-22,1076.720,1083.480,1063.000,1076.480,2625600
2025-12-23,1063.500,1088.480,1063.500,1071.640,2108600
2025-12-24,1074.640,1085.730,1072.710,1076.980,932800
2025-12-26,1076.980,1081.390,1068.300,1077.750,1014600
2025-12-29,1077.950,1085.500,1074.380,1078.730,1653000
2025-12-30,1078.960,1082.370,1072.070,1079.750,1251500
2025-12-31,1079.760,1083.500,1074.430,1074.680,1646700
2026-01-02,1076.400,1080.660,1052.080,1080.360,2469100
2026-01-05,1069.230,1085.380,1033.380,1041.510,4084800
2026-01-06,1044.110,1070.830,1039.930,1064.040,2690700
2026-01-07,1077.000,1117.660,1075.960,1108.090,4652800
2026-01-08,1113.690,1133.950,1070.150,1085.190,3156000
2026-01-09,1086.830,1104.520,1063.030,1063.560,2561900
2026-01-12,1058.000,1083.360,1058.000,1081.000,2380200
2026-01-13,1083.000,1090.220,1069.090,1077.190,2194200
2026-01-14,1081.750,1084.000,1061.120,1073.290,1912600
2026-01-15,1062.560,1067.650,1012.570,1032.970,4183400
2026-01-16,1024.430,1049.940,1018.000,1038.400,3829000
2026-01-20,1028.150,1045.850,1015.960,1041.290,2484900
2026-01-21,1043.860,1081.330,1042.020,1078.520,3685900
2026-01-22,1078.520,1095.480,1071.740,1087.380,2478200
2026-01-23,1083.730,1084.320,1063.020,1064.290,2592900
2026-01-26,1062.210,1067.080,1043.320,1062.750,2244900
2026-01-27,1064.110,1073.390,1034.810,1039.510,2587900
2026-01-28,1029.110,1029.690,1004.140,1023.800,3300200
2026-01-29,1025.360,1040.000,1018.000,1024.140,2293000
2026-01-30,1033.300,1048.570,1020.000,1037.150,3303100
2026-02-02,1037.570,1057.410,1037.570,1044.130,2757100
2026-02-03,1040.750,1048.800,993.580,1003.460,5483900
2026-02-04,1075.120,1114.000,1065.000,1107.120,7119400
2026-02-05,1065.500,1075.000,1005.830,1020.840,7742400
2026-02-06,1056.000,1060.020,1033.270,1058.180,4887100
2026-02-09,1077.090,1106.940,1042.920,1044.670,3423800
2026-02-10,1050.660,1055.650,1023.880,1025.000,3539400
2026-02-11,1026.500,1030.100,1012.620,1015.210,2599900
2026-02-12,1024.870,1059.840,1012.000,1038.270,3592200
2026-02-13,1039.980,1064.340,1033.690,1040.000,2698700
2026-02-17,1045.610,1067.000,1034.880,1036.050,2984600
2026-02-18,1032.360,1037.540,1011.310,1020.560,3236900
2026-02-19,1010.820,1025.230,1007.000,1023.220,2145800
2026-02-20,1023.860,1028.650,1002.460,1009.520,3249400
2026-02-23,1047.020,1064.450,1034.000,1058.560,4767600
2026-02-24,1042.950,1058.900,1024.080,1042.150,2803100
2026-02-25,1036.580,1053.630,1027.000,1028.830,2481900
2026-02-26,1024.080,1026.920,1007.380,1022.020,2666400
2026-02-27,1019.170,1053.000,1017.360,1051.990,4325900
2026-03-02,1044.620,1056.200,1013.000,1017.970,3094300
2026-03-03,1015.000,1020.010,995.070,1007.730,2846000
2026-03-04,1011.630,1015.660,993.660,1003.570,1965500
2026-03-05,990.000,993.560,965.600,983.260,3769900
2026-03-06,975.000,991.220,966.090,990.330,2627800
2026-03-09,986.890,1008.930,980.580,1008.390,2802200
2026-03-10,1006.000,1012.000,994.000,1001.350,1663700
2026-03-11,1000.030,1002.930,990.300,999.840,1446900
2026-03-12,993.450,994.500,973.160,977.250,2340100
2026-03-13,980.130,1003.220,978.000,985.080,1984400
2026-03-16,991.980,998.170,975.510,989.120,2289900
2026-03-17,978.920,981.170,925.250,930.350,5637500
2026-03-18,925.000,929.000,905.110,918.050,3443800
2026-03-19,914.000,924.530,910.860,917.500,2379000
2026-03-20,910.550,925.380,899.290,906.700,4818800
2026-03-23,913.490,926.780,907.230,910.550,2817500
2026-03-24,907.000,908.670,895.610,903.020,2572700
2026-03-25,912.490,922.150,909.090,916.310,2177700
2026-03-26,912.380,916.350,896.290,897.000,2163200
2026-03-27,896.000,900.830,877.110,878.240,2740800
2026-03-30,888.480,897.430,883.110,886.630,3070200
2026-03-31,893.490,924.140,892.140,919.770,3464200
2026-04-01,926.880,976.680,925.990,954.520,6267900
2026-04-02,945.000,957.690,930.020,935.580,2727100
2026-04-06,932.040,936.000,919.780,927.060,1821100
2026-04-07,924.500,932.660,898.450,931.090,2726900
2026-04-08,941.520,961.140,933.130,953.300,2568000
2026-04-09,948.470,963.760,939.290,955.190,1672100
2026-04-10,963.690,963.940,935.540,939.470,1958900
2026-04-13,939.970,945.900,927.170,929.550,2089600
2026-04-14,925.000,939.930,915.040,922.500,2360200
2026-04-15,923.500,930.000,888.030,905.030,4233400
2026-04-16,911.670,920.000,898.150,903.990,2836600
2026-04-17,917.800,929.990,917.800,927.030,3266100
