Date,open,high,low,close,volume
2025-05-30,76.9400,77.5600,75.5900,76.8400,20641500
2025-06-02,77.0200,77.0200,75.4000,76.2500,11271800
2025-06-03,76.0000,77.1900,75.4400,77.1400,18139200
2025-06-04,77.4700,79.1400,77.3300,78.2700,13009300
2025-06-05,78.4100,78.5500,77.2500,77.6200,13983700
2025-06-06,78.3000,79.4900,78.2100,78.9700,9863100
2025-06-09,79.6100,80.4100,78.6700,79.3300,18305800
2025-06-10,79.3400,81.8800,79.3300,81.3500,13254100
2025-06-11,81.3500,81.6800,79.9800,80.3200,11803300
2025-06-12,80.1900,82.1100,80.0700,81.8200,13169200
2025-06-13,81.6500,82.4400,81.4500,81.7100,14550500
2025-06-16,80.8800,81.3500,79.7100,80.9600,12569400
2025-06-17,80.2800,80.7000,78.1900,78.2800,14040600
2025-06-18,78.0500,80.3100,77.1000,79.2900,23803400
2025-06-20,79.2500,79.9200,78.6000,79.0600,34052300
2025-06-23,79.2400,80.2200,78.9900,80.1600,18553800
2025-06-24,80.3700,81.4600,79.0900,80.3200,15906400
2025-06-25,79.6400,80.1200,79.1600,79.6700,12753200
2025-06-26,79.8400,80.2500,78.3700,78.8300,13760100
2025-06-27,79.0600,79.5400,78.1400,79.1000,60202500
2025-06-30,79.2500,79.3900,78.3800,79.1600,13895200
2025-07-01,78.9600,83.0700,78.6000,81.8100,21800800
2025-07-02,82.0600,82.8100,81.8900,82.3900,16052700
2025-07-03,82.5500,82.6000,80.7000,80.9300,7734500
2025-07-07,80.9500,81.5400,80.1500,80.9000,15777400
2025-07-08,80.9400,82.3800,80.3400,81.3700,12752900
2025-07-09,82.3800,84.4800,81.8900,83.7100,18394600
2025-07-10,83.6400,85.0000,83.1700,84.0200,14725600
2025-07-11,84.0200,84.1300,82.2600,83.3600,9717400
2025-07-14,83.4300,84.3000,83.1100,83.6700,10368700
2025-07-15,83.7800,84.3600,81.3000,81.5200,10827000
2025-07-16,81.4600,82.6400,81.4600,82.4300,11517800
2025-07-17,81.9800,82.6600,81.3400,81.5200,8984800
2025-07-18,81.7000,81.9200,79.8600,79.9600,11823600
2025-07-21,80.1600,80.3100,78.9500,79.3100,11620800
2025-07-22,79.8700,81.7700,79.8700,81.6100,10571000
2025-07-23,82.6200,84.1400,82.4100,83.9800,11542100
2025-07-24,84.2000,84.5100,83.5200,84.1100,8016700
