Date,open,high,low,close,volume
2025-05-30,401.710,405.440,397.320,402.820,2521300
2025-06-02,400.140,400.510,392.690,396.470,2584000
2025-06-03,395.070,402.400,391.280,399.930,3204100
2025-06-04,402.520,408.480,402.190,403.660,2280700
2025-06-05,404.730,405.240,396.750,398.360,2504000
2025-06-06,400.560,406.600,400.560,401.900,2630000
2025-06-09,405.180,412.610,401.520,408.530,2164000
2025-06-10,411.410,419.970,406.730,414.540,2573800
2025-06-11,415.840,424.510,413.280,415.150,3062700
2025-06-12,413.980,416.810,409.910,415.330,2067600
2025-06-13,410.370,413.330,401.570,402.760,2385800
2025-06-16,406.880,406.880,397.200,405.080,1973200
2025-06-17,400.000,403.560,389.860,390.260,3040400
2025-06-18,390.260,395.780,385.460,392.560,2884300
2025-06-20,392.890,397.900,390.500,397.880,3812600
2025-06-23,395.130,400.600,393.000,400.210,2486100
2025-06-24,401.800,406.160,399.180,404.370,2083000
2025-06-25,402.220,415.000,398.080,410.650,3100800
2025-06-26,409.540,415.310,409.280,412.120,2927700
2025-06-27,412.400,414.400,406.950,408.280,3923100
2025-06-30,407.840,413.280,401.450,405.460,3919100
2025-07-01,406.290,429.100,404.850,421.470,2603000
2025-07-02,425.000,430.460,421.750,427.760,2669300
2025-07-03,428.620,432.900,426.080,429.330,1359300
2025-07-07,426.560,429.320,415.420,418.700,2497200
2025-07-08,418.580,433.140,418.580,426.170,2620900
2025-07-09,422.200,429.390,411.880,419.880,2735100
2025-07-10,420.830,438.490,418.320,430.730,2932800
2025-07-11,430.250,436.320,425.650,434.860,2511400
2025-07-14,429.000,430.500,422.040,425.340,2819300
2025-07-15,428.440,429.000,417.200,417.990,2090500
2025-07-16,418.310,420.550,413.780,416.310,2762300
2025-07-17,415.000,427.000,413.290,424.980,2494600
2025-07-18,425.920,427.910,411.410,414.750,2652500
2025-07-21,414.940,415.000,403.360,404.940,2733800
2025-07-22,406.310,428.990,405.150,427.620,3674200
2025-07-23,473.260,487.930,465.550,466.710,8928300
2025-07-24,466.670,484.600,465.040,475.030,6234000
2025-07-25,479.980,483.600,474.410,478.320,4205500
2025-07-28,475.440,487.110,474.870,484.960,3412200
