Date,open,high,low,close,volume
2025-05-30,297.9700,305.6400,295.8400,301.9100,16309300
2025-06-02,303.1200,313.5500,300.9700,304.7200,19074400
2025-06-03,303.1000,305.7200,300.0100,301.2200,12805700
2025-06-04,303.5400,307.6400,300.2000,300.3800,11255600
2025-06-05,300.3800,302.4200,294.1100,295.8400,13529000
2025-06-06,297.2300,304.3900,297.1500,303.2200,12589000
2025-06-09,305.0400,307.4000,301.1400,303.1900,12170300
2025-06-10,303.8000,305.1200,300.5900,303.7900,11384100
2025-06-11,302.6800,311.5800,302.2300,310.5600,14711400
2025-06-12,311.4000,318.8000,308.5100,318.5000,15957200
2025-06-13,315.9000,317.4200,311.9100,313.5300,13762400
2025-06-16,313.0000,313.2700,304.7900,307.6600,14240100
2025-06-17,307.4500,309.9500,305.5200,308.8700,11593900
2025-06-18,307.5500,311.7900,306.2300,307.2000,12205600
2025-06-20,309.5000,309.5900,301.5900,302.0100,16177900
2025-06-23,301.9000,302.4700,295.5200,300.6800,12274700
2025-06-24,301.4500,305.8200,299.3300,305.6200,8781400
2025-06-25,304.3800,304.3800,299.8000,302.0200,8722100
2025-06-26,302.5700,306.7100,301.2900,302.6200,6532700
2025-06-27,302.9500,310.4500,302.2000,309.1100,15304400
2025-06-30,309.0000,312.3800,306.3400,311.9700,10074100
2025-07-01,311.9700,326.5500,311.0800,326.1400,17865500
2025-07-02,320.7400,322.4200,306.4300,307.5600,18177200
2025-07-03,309.8400,312.2500,308.2300,308.5500,6161100
2025-07-07,308.0000,308.6100,301.2000,303.7100,9031200
2025-07-08,304.2300,308.3000,303.8000,307.7000,9613800
2025-07-09,303.1900,303.6000,298.7500,302.9100,12816700
2025-07-10,303.0600,304.9300,296.6000,299.5100,11355600
2025-07-11,300.0200,304.1200,298.0000,304.1000,9808200
2025-07-14,301.6400,304.0400,299.0000,300.5800,10681400
2025-07-15,299.7100,300.6800,291.0300,291.7100,16019000
2025-07-16,292.5500,295.9900,290.7500,292.4900,9714000
2025-07-17,292.3300,293.0000,283.8300,288.0700,14792700
2025-07-18,287.8900,288.0700,280.8100,282.6500,14979700
2025-07-21,284.6400,286.5000,281.2000,282.1400,10319200
2025-07-22,282.6300,287.1100,282.0000,285.1300,14600300
2025-07-23,287.5000,292.6400,284.9500,292.5100,13111100
2025-07-24,283.1000,289.2100,278.2200,278.5800,22585200
2025-07-25,281.0000,286.1400,279.9400,281.0600,16486600
2025-07-28,283.5000,285.0000,279.6900,282.1200,15779400
2025-07-29,265.7000,272.9100,260.5500,261.0700,41706000
2025-07-30,264.8000,266.6300,258.1200,266.0400,22371800
2025-07-31,261.4000,261.4000,247.7500,249.5600,29606900
2025-08-01,250.6100,251.4900,234.6000,237.7700,39989200
2025-08-04,238.2400,242.2500,236.9500,240.9800,17427900
2025-08-05,241.1600,252.0700,240.0500,251.0000,23795900
2025-08-06,250.6400,253.1600,245.3100,245.7800,12946400
2025-08-07,246.4200,248.7500,239.5000,244.6700,11369900
2025-08-08,244.7900,251.0800,244.3700,250.8900,10185700
2025-08-11,253.8700,258.4000,252.1400,252.3700,11779500
2025-08-12,254.0200,262.8800,253.6700,261.5700,12171800
2025-08-13,264.3900,272.1900,262.8900,271.8100,19480300
2025-08-14,272.1000,273.8500,267.0000,271.4900,25011100
2025-08-15,301.7100,310.3000,294.7100,304.0100,68198500
2025-08-18,313.1800,316.4000,307.4200,308.4900,39600500
2025-08-19,308.9000,310.5000,299.2100,304.2400,22348600
2025-08-20,306.4000,307.2000,295.7000,299.8400,16679000
2025-08-21,302.2900,306.5700,297.8000,303.3500,13359000
2025-08-22,306.1000,310.6800,304.5800,307.4200,14930000
2025-08-25,308.4900,308.8700,302.7300,304.8600,8917100
2025-08-26,304.3100,308.9600,294.2000,300.4300,16303200
2025-08-27,300.5400,305.9700,300.5000,303.8800,9982800
2025-08-28,304.2500,304.4700,299.4000,302.2900,11235000
2025-08-29,302.3000,310.0000,300.9100,309.8700,12065400
2025-09-02,308.3100,312.8900,307.3000,308.8000,10957100
2025-09-03,308.1100,309.5900,303.7000,307.8800,9654600
2025-09-04,306.1000,311.9100,304.1000,310.3800,7725700
2025-09-05,310.4400,317.9400,308.2000,315.3900,14126700
2025-09-08,319.7100,321.6500,313.8000,320.2500,18438600
2025-09-09,332.5000,351.7100,327.1600,347.9200,46408900
2025-09-10,345.5600,348.5700,341.4000,346.7800,17804300
2025-09-11,349.0000,360.9800,345.8400,353.6100,18943500
2025-09-12,355.9000,362.3100,352.4600,352.5100,14016200
2025-09-15,351.2600,351.7100,342.5300,347.8900,11035900
2025-09-16,347.5000,349.0400,338.3200,339.7800,12695800
2025-09-17,337.6900,343.0000,337.6900,341.6100,8467700
2025-09-18,343.5300,344.9300,334.1200,334.8200,11255600
2025-09-19,336.5000,340.9600,333.8400,336.6900,13656800
2025-09-22,334.4600,342.4800,332.6000,341.3000,8903700
2025-09-23,341.0000,352.7000,339.9600,347.6900,12504100
2025-09-24,350.2000,354.5000,347.8400,351.8100,9016300
2025-09-25,348.9000,350.1900,343.6000,345.5600,8104900
2025-09-26,347.9300,349.9700,341.3000,344.0800,6774700
2025-09-29,343.9800,345.5500,341.4500,345.1800,6878900
2025-09-30,343.7500,349.3200,342.3300,345.3000,7429700
2025-10-01,343.9000,348.7000,341.6300,348.3000,8825500
2025-10-02,347.2900,355.0800,344.6500,353.7200,8564200
2025-10-03,357.2500,368.0000,356.6100,360.2000,13494800
2025-10-06,361.0300,362.5200,357.1100,358.7700,7181700
2025-10-07,359.4100,364.7200,358.0600,363.6600,7236200
2025-10-08,366.9300,374.6300,365.8000,369.9200,9438300
2025-10-09,372.5200,376.2200,366.0800,367.6900,8759800
2025-10-10,369.4000,369.4000,352.5100,354.5000,13141900
2025-10-13,354.7400,359.1600,353.3200,358.6600,5659400
2025-10-14,354.9500,362.3300,353.4000,359.9300,5974800
2025-10-15,359.3900,364.2200,355.8500,361.1500,6579600
2025-10-16,361.8400,362.0000,354.4000,356.6700,5872100
2025-10-17,351.0000,358.3900,350.8300,356.6000,8608400
2025-10-20,358.5400,365.5700,357.5100,364.4800,5996500
2025-10-21,365.1400,371.0500,361.5000,365.3700,6885300
2025-10-22,363.9600,364.0000,358.0000,361.4900,7833000
2025-10-23,355.5800,362.2800,353.6400,360.4500,5756700
2025-10-24,361.3700,365.4200,360.0300,362.5000,5462100
2025-10-27,363.5000,366.2200,361.4000,365.9800,7766400
2025-10-28,380.6800,381.0000,358.6300,367.8400,18858700
2025-10-29,364.2800,366.1500,353.8800,355.2600,11874900
2025-10-30,347.5200,354.5400,343.6000,344.7500,11441900
2025-10-31,344.3900,346.2800,337.1200,341.5600,8390800
2025-11-03,339.1300,340.7000,326.6000,333.7900,11181400
2025-11-04,327.6300,336.5000,327.2000,330.8300,9646600
