Date,open,high,low,close,volume
2025-05-30,199.370,201.960,196.780,200.850,70819900
2025-06-02,200.280,202.130,200.120,201.700,35423300
2025-06-03,201.350,203.770,200.960,203.270,46381600
2025-06-04,202.910,206.240,202.100,202.820,43604000
2025-06-05,203.500,204.750,200.150,200.630,55126100
2025-06-06,203.000,205.700,202.050,203.920,46607700
2025-06-09,204.390,206.000,200.020,201.450,72862600
2025-06-10,200.600,204.350,200.570,202.670,54672600
2025-06-11,203.500,204.500,198.410,198.780,60989900
2025-06-12,199.080,199.680,197.360,199.200,43904600
2025-06-13,199.730,200.370,195.700,196.450,51447300
2025-06-16,197.300,198.690,196.560,198.420,43020700
2025-06-17,197.200,198.390,195.210,195.640,38856200
2025-06-18,195.940,197.570,195.070,196.580,45394700
2025-06-20,198.240,201.700,196.860,201.000,96813500
2025-06-23,201.630,202.300,198.960,201.500,55814300
2025-06-24,202.590,203.440,200.200,200.300,54064000
2025-06-25,201.450,203.670,200.620,201.560,39525700
2025-06-26,201.430,202.640,199.460,201.000,50799100
2025-06-27,201.890,203.220,200.000,201.080,73188600
2025-06-30,202.010,207.390,199.260,205.170,91912800
2025-07-01,206.670,210.190,206.140,207.820,78788900
2025-07-02,208.910,213.340,208.140,212.440,67941800
2025-07-03,212.150,214.650,211.810,213.550,34955800
2025-07-07,212.680,216.230,208.800,209.950,50229000
2025-07-08,210.100,211.430,208.450,210.010,42848900
2025-07-09,209.530,211.330,207.220,211.140,48749400
2025-07-10,210.510,213.480,210.030,212.410,44443600
2025-07-11,210.570,212.130,209.860,211.160,39765800
2025-07-14,209.930,210.910,207.540,208.620,38840100
2025-07-15,209.220,211.890,208.920,209.110,42296300
2025-07-16,210.300,212.400,208.640,210.160,47490500
2025-07-17,210.570,211.800,209.590,210.020,48068100
2025-07-18,210.870,211.790,209.700,211.180,48974600
2025-07-21,212.100,215.780,211.630,212.480,51377400
2025-07-22,213.140,214.950,212.230,214.400,46404100
2025-07-23,215.000,215.150,212.410,214.150,46989300
2025-07-24,213.900,215.690,213.530,213.760,46022600
2025-07-25,214.700,215.240,213.400,213.880,40268800
2025-07-28,214.030,214.850,213.060,214.050,37858000
2025-07-29,214.180,214.810,210.820,211.270,51411700
2025-07-30,211.900,212.390,207.720,209.050,45512500
2025-07-31,208.490,209.840,207.160,207.570,80698400
2025-08-01,210.870,213.580,201.500,202.380,104434500
2025-08-04,204.510,207.880,201.680,203.350,75109300
2025-08-05,203.400,205.340,202.160,202.920,44155100
2025-08-06,205.630,215.380,205.590,213.250,108483100
2025-08-07,218.880,220.850,216.580,220.030,90224800
2025-08-08,220.830,231.000,219.250,229.350,113854000
2025-08-11,227.920,229.560,224.760,227.180,61806100
2025-08-12,228.010,230.800,227.070,229.650,55626200
2025-08-13,231.070,235.000,230.430,233.330,69878500
2025-08-14,234.060,235.120,230.850,232.780,51916300
2025-08-15,234.000,234.280,229.340,231.590,56038700
2025-08-18,231.700,233.120,230.110,230.890,37476200
2025-08-19,231.280,232.870,229.350,230.560,39402600
2025-08-20,229.980,230.470,225.770,226.010,42263900
2025-08-21,226.270,226.520,223.780,224.900,30621200
2025-08-22,226.170,229.090,225.410,227.760,42477800
2025-08-25,226.480,229.300,226.230,227.160,30983100
2025-08-26,226.870,229.490,224.690,229.310,54575100
2025-08-27,228.610,230.900,228.260,230.490,31259500
2025-08-28,230.820,233.410,229.340,232.560,38074700
2025-08-29,232.510,233.380,231.370,232.140,39418400
