Date,open,high,low,close,volume
2025-05-30,414.140,417.860,411.530,415.090,4231300
2025-06-02,408.880,410.000,396.730,403.400,4153700
2025-06-03,403.460,412.640,402.480,412.490,2737500
2025-06-04,411.540,415.940,410.080,413.910,1843400
2025-06-05,415.000,421.480,413.980,415.200,2275500
2025-06-06,417.540,419.650,415.280,416.920,2146900
2025-06-09,417.300,419.000,415.150,416.260,3034200
2025-06-10,416.610,419.820,414.420,416.060,2627400
2025-06-11,415.200,416.040,410.420,412.840,3385400
2025-06-12,411.430,416.390,410.770,413.680,6313300
2025-06-13,392.500,399.850,383.750,391.680,10629700
2025-06-16,392.990,405.000,391.110,401.730,6798300
2025-06-17,397.280,399.670,381.800,382.680,6866300
2025-06-18,383.990,385.270,377.540,378.040,4808900
2025-06-20,380.480,382.290,373.760,376.920,8126900
2025-06-23,377.590,380.210,374.240,380.120,3841800
2025-06-24,384.960,385.000,378.510,382.340,4797100
2025-06-25,383.600,388.050,382.000,387.550,3718800
2025-06-26,387.200,389.990,382.870,384.950,3139700
2025-06-27,385.440,390.310,384.410,385.830,5083800
2025-06-30,387.300,390.980,384.630,386.880,4645500
2025-07-01,385.100,392.580,381.520,392.100,4516400
2025-07-02,384.640,386.880,372.730,378.470,6912200
2025-07-03,378.000,383.200,377.800,379.310,2863700
2025-07-07,378.900,382.220,375.520,376.930,3545100
2025-07-08,378.500,386.600,377.180,382.240,3708200
2025-07-09,383.500,384.750,370.910,373.380,4726600
2025-07-10,371.990,373.500,365.510,371.430,4022500
2025-07-11,368.000,371.150,362.700,363.350,3548700
2025-07-14,363.190,367.680,360.180,366.990,2898700
2025-07-15,367.000,368.320,363.880,364.180,2551000
2025-07-16,364.590,365.550,358.710,361.770,3592900
2025-07-17,360.600,366.960,359.280,366.450,3340500
2025-07-18,367.070,367.790,364.000,365.790,2459200
2025-07-21,366.490,368.280,363.130,367.680,2770400
2025-07-22,368.000,374.500,368.000,372.870,2449000
2025-07-23,373.490,373.990,369.260,372.460,1994600
2025-07-24,371.900,376.000,370.610,371.690,2692100
2025-07-25,372.310,372.410,369.510,370.740,2053200
2025-07-28,371.030,372.590,368.720,369.470,2984200
2025-07-29,370.450,376.160,369.710,370.700,4234200
2025-07-30,370.680,370.720,363.480,364.000,3295200
2025-07-31,362.260,362.500,354.270,357.690,4513100
2025-08-01,355.950,356.290,347.460,347.800,4307900
2025-08-04,351.160,351.210,338.040,338.850,6449300
2025-08-05,339.310,342.740,337.350,338.740,3909000
2025-08-06,341.650,345.660,339.190,345.620,3347200
2025-08-07,344.040,347.380,332.650,338.270,4661800
2025-08-08,338.680,341.570,336.370,341.050,3507800
2025-08-11,334.530,343.400,332.470,333.650,4366200
2025-08-12,333.520,338.760,330.040,338.430,3569400
2025-08-13,339.540,351.760,337.550,351.070,4375100
2025-08-14,349.500,351.560,346.100,348.580,3745600
2025-08-15,348.330,357.290,348.000,354.850,3718700
2025-08-18,355.680,358.390,353.000,357.240,2923000
2025-08-19,359.220,364.240,358.120,361.030,2808000
2025-08-20,361.680,363.000,353.200,353.430,3727900
2025-08-21,349.910,353.820,347.000,353.430,2363200
2025-08-22,355.800,362.650,354.000,362.090,3058600
2025-08-25,362.560,364.650,361.400,363.210,2259500
2025-08-26,363.030,363.230,353.700,354.910,4067400
2025-08-27,355.980,360.370,355.160,356.350,2353800
2025-08-28,357.630,358.260,349.110,353.960,3803100
2025-08-29,354.000,357.250,352.460,356.700,2639300
2025-09-02,350.240,352.710,341.280,345.630,4229400
2025-09-03,345.720,348.510,343.360,348.500,3035300
2025-09-04,342.240,344.410,331.500,344.310,4918300
2025-09-05,345.810,354.670,345.100,348.970,4662600
2025-09-08,348.860,358.820,343.590,358.660,5043300
2025-09-09,362.750,362.750,353.030,354.060,4324900
2025-09-10,356.290,359.190,348.120,350.160,4552500
2025-09-11,354.690,355.250,347.160,350.550,11804200
2025-09-12,361.100,366.500,341.610,349.360,14146600
2025-09-15,350.500,358.000,345.050,347.100,6768600
2025-09-16,350.160,356.940,348.320,352.730,6697000
2025-09-17,353.180,365.000,353.180,362.070,6449900
2025-09-18,366.860,370.860,365.850,367.460,4752400
2025-09-19,368.940,370.310,362.540,365.900,7693000
2025-09-22,364.160,365.380,359.360,364.080,4709600
2025-09-23,364.180,368.730,361.300,361.780,3831100
2025-09-24,355.600,355.600,347.800,353.270,6140000
2025-09-25,351.910,357.000,351.500,354.160,3336700
2025-09-26,353.710,360.720,352.780,360.370,3073000
2025-09-29,362.040,363.170,358.800,359.420,4075900
2025-09-30,360.540,362.000,349.900,352.750,5360700
2025-10-01,347.160,349.830,340.050,343.720,6505700
2025-10-02,343.760,351.730,342.420,351.480,3955400
2025-10-03,352.000,352.590,346.310,346.740,3122100
2025-10-06,346.930,357.340,342.040,350.140,5340200
2025-10-07,352.590,353.330,344.240,348.310,3275500
2025-10-08,350.000,354.050,347.520,348.770,3285000
2025-10-09,349.770,350.600,344.300,347.470,2895500
2025-10-10,347.910,348.720,336.940,337.510,4282400
2025-10-13,339.250,340.280,335.610,339.320,3020100
2025-10-14,335.220,338.820,332.720,335.940,3036900
2025-10-15,335.420,335.600,329.210,330.630,3929900
2025-10-16,333.860,336.650,327.500,329.230,4570900
2025-10-17,327.750,335.100,327.700,333.260,4035000
2025-10-20,334.640,344.200,334.250,343.400,3903200
2025-10-21,343.590,358.370,343.320,357.550,4389700
2025-10-22,355.480,360.190,352.870,354.090,3436000
2025-10-23,352.510,354.350,348.710,354.120,2408100
2025-10-24,357.210,358.100,353.290,353.520,2016900
2025-10-27,355.570,358.560,352.410,357.800,2828200
2025-10-28,360.000,363.700,357.800,359.910,3005600
2025-10-29,355.520,355.520,337.050,337.860,6746500
2025-10-30,338.200,344.700,333.100,339.240,4373200
2025-10-31,338.700,341.260,336.800,340.310,3763400
2025-11-03,340.310,342.460,332.880,337.470,3916600
2025-11-04,335.020,340.550,332.810,335.350,3694300
2025-11-05,332.610,336.840,331.240,335.530,2646700
2025-11-06,333.000,333.200,324.550,327.350,3888700
2025-11-07,325.830,331.010,323.030,326.950,4112600
2025-11-10,328.000,329.960,325.000,328.850,3087000
2025-11-11,329.500,334.000,329.130,333.220,2827200
2025-11-12,333.610,338.400,333.180,337.050,2990200
2025-11-13,335.010,340.000,332.800,333.600,3084600
2025-11-14,332.910,333.750,328.590,331.110,2761400
2025-11-17,331.110,332.380,324.430,325.070,3300000
2025-11-18,323.780,326.640,320.800,324.470,3286400
2025-11-19,323.180,323.360,315.180,318.110,3738400
2025-11-20,318.870,323.180,312.090,312.400,3884800
2025-11-21,313.570,327.750,311.590,324.190,4825400
2025-11-24,325.000,325.770,318.340,318.730,5414400
2025-11-25,317.770,321.520,315.570,319.550,3765000
2025-11-26,319.200,321.670,316.100,317.520,3025000
2025-11-28,317.800,322.310,317.520,320.130,1802200
2025-12-01,316.390,326.140,316.110,322.850,3651300
2025-12-02,321.620,325.960,318.080,322.810,3959500
2025-12-03,321.980,326.990,320.630,326.780,3082200
2025-12-04,328.570,330.890,324.120,328.730,3592300
2025-12-05,330.600,348.590,329.710,346.260,7650400
2025-12-08,347.450,348.480,338.060,339.120,4293600
2025-12-09,341.400,347.780,338.480,344.320,4267700
2025-12-10,342.130,347.920,340.570,343.130,6789900
2025-12-11,341.650,357.000,333.790,350.430,10158700
2025-12-12,351.540,362.710,349.090,356.430,5483900
2025-12-15,352.600,355.000,343.880,351.150,5480100
2025-12-16,350.000,355.860,345.430,347.890,4118200
2025-12-17,347.890,357.800,347.800,354.660,4371600
2025-12-18,355.870,358.340,351.360,355.810,3352700
2025-12-19,355.530,357.550,351.590,355.860,8706300
2025-12-22,355.590,359.570,354.700,357.530,2960800
2025-12-23,357.470,359.670,350.580,352.420,3052500
2025-12-24,352.210,354.750,351.110,352.980,1166500
2025-12-26,352.500,356.230,352.280,353.800,1455100
2025-12-29,353.370,356.680,351.160,353.160,2794000
2025-12-30,352.030,355.270,350.010,352.510,2252600
2025-12-31,351.010,352.880,349.690,349.990,2116200
2026-01-02,350.680,351.120,331.640,333.300,5643500
2026-01-05,330.110,334.470,327.440,331.560,5012100
2026-01-06,330.000,336.400,329.500,335.990,3187400
2026-01-07,336.240,342.780,334.620,338.100,3183100
2026-01-08,337.380,343.950,334.680,339.040,3107700
2026-01-09,335.880,335.880,328.000,333.950,3250100
2026-01-12,327.770,330.670,323.500,327.650,3541400
2026-01-13,322.490,323.000,307.910,309.930,7217300
2026-01-14,308.570,309.730,302.470,304.440,5712600
2026-01-15,304.970,305.820,301.400,304.090,4774300
2026-01-16,304.560,304.880,295.420,296.120,8534400
2026-01-20,294.320,295.000,288.330,290.370,6962000
2026-01-21,290.770,294.510,288.330,294.230,5645300
2026-01-22,296.000,301.820,295.200,299.730,4974500
2026-01-23,301.460,303.840,299.200,301.070,4368700
2026-01-26,301.400,306.300,301.400,304.720,4115300
2026-01-27,303.810,304.220,292.930,297.420,4166300
2026-01-28,299.660,303.850,297.690,299.580,3942800
2026-01-29,291.680,293.640,284.600,291.650,7410800
2026-01-30,291.600,295.340,290.510,293.250,5713000
2026-02-02,297.010,299.380,290.930,293.380,4357000
2026-02-03,282.740,284.340,271.020,271.930,8324900
