Date,open,high,low,close,volume
2025-05-30,241.2200,243.1700,234.9000,242.0700,27088600
2025-06-02,243.2500,250.0000,243.1900,248.7100,19197000
2025-06-03,250.0800,257.8800,249.4000,256.8500,30380200
2025-06-04,258.0600,265.4300,257.5900,261.0800,31536000
2025-06-05,262.9500,264.8900,259.0600,259.9300,41970900
2025-06-06,251.1400,255.3200,246.1300,246.9300,41146700
2025-06-09,245.0500,248.1700,241.1100,244.2800,25334100
2025-06-10,244.2200,246.2800,241.4000,244.6300,25491300
2025-06-11,246.3600,254.7700,243.8000,252.9100,24599000
2025-06-12,250.1900,257.8900,249.5000,256.0700,20410900
2025-06-13,250.6600,254.0000,248.3500,248.7000,19028400
2025-06-16,250.3500,255.1900,249.5700,252.1000,20363000
2025-06-17,250.9500,253.9600,247.9200,249.3700,22014300
2025-06-18,250.8900,255.6400,249.4100,251.2600,30435500
2025-06-20,253.2100,253.5200,244.1700,249.9900,42134900
2025-06-23,249.1100,254.2100,246.4600,253.7700,19747000
2025-06-24,258.7700,265.8700,258.7700,263.7700,32764900
2025-06-25,266.0000,269.8700,263.4300,264.6500,18894200
2025-06-26,265.0800,271.6700,264.1300,270.1700,23569600
2025-06-27,270.3000,271.8500,266.8800,269.3500,27477600
2025-06-30,274.7300,277.7100,272.1300,275.6500,24708400
2025-07-01,274.4000,274.5000,262.6600,264.7400,28847600
2025-07-02,263.9900,272.0000,262.7300,269.9000,17582100
2025-07-03,270.7300,275.8000,270.1200,275.1800,10592700
2025-07-07,275.1300,277.5600,272.6600,274.1800,16760600
2025-07-08,276.3500,276.3500,271.1500,271.8000,14869400
2025-07-09,272.9600,279.4500,272.7200,277.9000,20133000
2025-07-10,279.7900,281.1800,272.7000,275.4000,17891600
2025-07-11,274.1400,276.4700,271.8900,274.3800,14274700
2025-07-14,274.1300,278.3600,269.5800,275.6000,11934200
2025-07-15,279.8100,283.3600,277.8500,280.9400,17918400
2025-07-16,280.1100,281.5100,275.6700,280.8100,15031000
2025-07-17,281.1400,288.2800,279.9100,286.4500,17231100
2025-07-18,287.1100,287.5300,281.0000,283.3400,15012400
2025-07-21,283.9600,290.5400,283.6300,288.2100,17726800
2025-07-22,287.6500,288.0000,276.4300,278.5900,16564800
2025-07-23,276.7800,284.0000,273.0000,283.6900,20556200
2025-07-24,289.7900,291.2000,283.5000,288.7100,16413800
2025-07-25,288.0700,292.5900,287.2700,290.1800,12476200
2025-07-28,292.4600,295.4500,290.5900,294.3000,13683400
2025-07-29,297.5000,302.1900,294.8700,297.4200,19210800
2025-07-30,297.1500,303.2600,295.8000,302.6200,16738900
2025-07-31,302.8000,306.9500,290.2300,293.7000,25488500
2025-08-01,286.5400,292.6400,281.6100,288.6400,21428100
2025-08-04,292.2000,298.4800,291.4000,297.7200,17164600
2025-08-05,297.8100,301.2000,291.4500,292.9300,18477500
2025-08-06,292.9000,302.8100,291.9000,301.6700,17392100
2025-08-07,306.1700,310.3400,299.8800,303.7600,16319400
2025-08-08,304.0500,307.8700,302.5500,304.9700,12458700
2025-08-11,305.0500,308.3100,301.2900,303.9000,12396400
2025-08-12,306.6300,313.4400,304.6700,312.8300,17609600
2025-08-13,316.7500,317.3500,304.7500,309.0900,17371200
2025-08-14,307.0100,314.1700,307.0000,311.2300,15717600
2025-08-15,311.0300,311.5000,299.7600,306.3400,22806900
2025-08-18,302.7000,306.1700,299.0000,305.7600,14724700
2025-08-19,302.4200,302.9000,292.3900,294.9100,20149600
2025-08-20,295.4600,295.4900,281.8700,291.1700,23600500
2025-08-21,290.0600,292.3900,286.1700,289.6000,14946300
2025-08-22,291.7500,300.0900,289.0100,294.0000,16301300
2025-08-25,292.8100,298.4000,291.7100,294.2300,15124700
2025-08-26,294.3500,300.2500,293.9900,298.0100,25689100
2025-08-27,297.5300,301.1800,293.7800,300.2500,13830300
2025-08-28,302.9300,311.0000,302.3300,308.6500,18907100
2025-08-29,307.0100,307.0100,293.6600,297.3900,21610700
2025-09-02,289.3400,298.7100,287.1700,298.2400,19693000
2025-09-03,302.2900,304.4500,296.4000,302.3900,18529400
2025-09-04,305.0600,308.7800,302.2500,306.1000,31220800
2025-09-05,355.7800,356.3400,331.4200,334.8900,78401600
2025-09-08,342.7500,354.1700,341.2500,345.6500,43535600
2025-09-09,349.5500,350.9800,335.8300,336.6700,26972300
2025-09-10,351.5200,372.9700,350.5500,369.5700,51086800
2025-09-11,371.1800,374.2300,358.7600,359.6300,29430900
2025-09-12,362.9100,364.3900,357.1600,359.8700,31949800
2025-09-15,359.8700,365.5000,356.3400,364.0900,21792200
2025-09-16,365.4300,365.6900,356.9900,360.0000,21306500
2025-09-17,358.8500,359.9300,341.5000,346.1700,45197100
2025-09-18,350.0000,350.7000,343.7900,345.3500,24663900
2025-09-19,344.6500,346.2700,336.4300,344.9400,41240100
2025-09-22,342.4300,346.6700,337.9400,338.7900,28660000
2025-09-23,340.2400,345.2200,337.0200,338.9400,21944100
2025-09-24,339.7600,340.0800,333.8100,339.3100,19677300
2025-09-25,332.9900,338.0600,327.3000,336.1000,21678200
2025-09-26,337.4300,339.0800,330.5800,334.5300,15464700
2025-09-29,336.0000,341.0500,327.5500,327.9000,21336000
2025-09-30,330.1200,331.0500,324.6100,329.9100,20109500
2025-10-01,328.1500,337.9500,324.5000,333.3900,21122700
2025-10-02,347.6100,347.6100,335.2500,338.1800,19917600
2025-10-03,341.5000,344.4000,335.7400,338.3700,14749100
2025-10-06,335.9200,344.1300,334.5600,335.4900,18465700
2025-10-07,337.0300,338.1100,326.5800,336.4100,18086700
2025-10-08,333.8200,346.5400,332.6200,345.5000,21478300
2025-10-09,345.7500,347.3100,340.4000,345.0200,17643700
2025-10-10,345.3900,350.6000,324.0500,324.6300,28941000
2025-10-13,352.7700,359.3800,343.5200,356.7000,45984300
2025-10-14,350.1300,350.6700,339.6500,344.1300,22078000
2025-10-15,354.4700,359.4000,347.5000,351.3300,23918500
2025-10-16,356.8000,363.2400,349.4900,354.1500,20317200
2025-10-17,349.6100,350.9700,340.7800,349.3300,20937900
2025-10-20,353.8000,356.5900,347.8400,349.2400,15640200
2025-10-21,350.0000,351.1000,341.3100,342.6600,16092600
