Date,open,high,low,close,volume
2025-05-30,268.080,269.740,260.700,265.370,12388500
2025-06-02,263.110,263.790,259.140,261.620,9213500
2025-06-03,262.000,264.750,261.360,264.470,7838500
2025-06-04,264.190,265.500,261.620,263.170,7372500
2025-06-05,263.710,268.750,263.640,267.140,8642900
2025-06-06,269.970,274.900,268.210,274.510,7507000
2025-06-09,272.850,274.200,269.660,272.250,5728300
2025-06-10,272.070,273.750,266.840,268.220,6309700
2025-06-11,268.500,269.510,265.410,265.910,6568100
2025-06-12,264.700,269.020,263.400,266.910,8054000
2025-06-13,263.480,265.700,258.000,258.400,7659300
2025-06-16,260.390,263.980,259.960,263.880,7177000
2025-06-17,263.850,270.500,262.100,262.760,9110100
2025-06-18,264.800,265.080,257.470,259.500,7628000
2025-06-20,260.690,262.870,259.260,260.630,12859200
2025-06-23,260.640,264.740,258.750,263.410,9283800
2025-06-24,265.710,273.380,265.440,271.170,9713900
2025-06-25,272.000,274.000,266.980,267.760,6074300
2025-06-26,268.780,271.010,265.160,270.740,6708000
2025-06-27,271.860,274.170,269.430,273.420,21741400
2025-06-30,274.460,276.380,270.400,272.690,8541900
2025-07-01,272.080,274.000,270.640,271.910,6256800
2025-07-02,271.520,271.710,265.650,269.210,6115200
2025-07-03,269.700,274.730,269.320,272.150,5031800
2025-07-07,271.510,274.000,268.210,269.800,6283500
2025-07-08,270.790,276.800,269.730,273.650,6661200
2025-07-09,274.360,275.560,269.370,270.920,6373600
2025-07-10,270.900,271.490,263.210,263.970,7244600
2025-07-11,262.580,262.950,257.260,258.070,7011200
2025-07-14,258.600,262.230,257.500,259.680,6533900
2025-07-15,261.000,261.810,257.230,257.580,5201500
2025-07-16,258.930,258.980,254.520,257.950,5649500
2025-07-17,257.990,260.200,256.650,259.880,5837400
2025-07-18,260.300,262.980,259.120,262.380,6381200
2025-07-21,263.620,264.310,261.640,262.280,6714700
2025-07-22,263.000,265.890,262.000,263.590,5001400
2025-07-23,263.920,268.480,262.500,267.220,5620700
2025-07-24,267.980,269.300,265.640,267.700,5877100
2025-07-25,268.010,271.100,267.010,269.110,4015400
2025-07-28,269.500,270.340,266.590,270.250,4533700
2025-07-29,271.600,274.000,267.310,267.390,5137100
2025-07-30,266.870,267.770,263.330,264.810,3928200
2025-07-31,265.000,265.040,257.860,258.330,7340300
2025-08-01,254.990,255.990,250.130,250.740,7646900
2025-08-04,251.000,253.500,250.640,252.320,4403500
2025-08-05,253.010,253.290,247.010,247.490,6761000
2025-08-06,249.370,250.260,247.020,249.170,5834700
2025-08-07,250.690,253.010,236.970,240.880,10010200
2025-08-08,241.290,242.950,237.830,240.510,8812000
2025-08-11,238.920,241.870,231.570,232.680,10740100
2025-08-12,233.000,233.670,226.480,231.660,13178000
2025-08-13,233.010,237.350,229.610,237.030,10209200
2025-08-14,237.000,237.000,232.870,233.370,7544800
2025-08-15,236.150,244.500,234.630,242.440,12942800
2025-08-18,239.770,244.520,239.490,243.970,8809200
2025-08-19,245.000,248.500,243.450,246.000,8642200
2025-08-20,245.700,247.570,244.450,246.450,8195100
2025-08-21,245.040,246.290,240.020,245.830,5646800
2025-08-22,245.780,249.530,244.110,248.290,6694300
2025-08-25,249.370,249.370,246.790,247.870,4957700
2025-08-26,246.700,248.830,242.850,243.740,8862300
2025-08-27,245.750,250.370,245.610,250.160,6506900
2025-08-28,252.480,255.650,250.290,254.530,8461200
2025-08-29,255.400,257.640,252.870,256.250,7363200
2025-09-02,254.820,254.990,248.750,252.860,9312500
2025-09-03,255.060,258.000,250.550,256.450,17417900
2025-09-04,240.060,245.220,234.620,244.010,30967500
2025-09-05,244.830,251.130,244.360,250.760,13029400
2025-09-08,250.800,252.940,247.300,252.270,12602200
2025-09-09,251.320,255.340,251.210,252.060,10901900
2025-09-10,252.750,253.990,241.730,242.570,11363600
2025-09-11,243.700,247.170,243.500,246.280,6944900
2025-09-12,246.100,247.590,241.250,242.760,8386400
2025-09-15,243.250,244.710,240.840,242.520,7244600
2025-09-16,242.520,242.680,237.240,239.310,8779800
2025-09-17,239.970,243.000,239.380,242.210,10124000
2025-09-18,244.160,247.290,242.950,244.280,9344400
2025-09-19,246.020,247.200,243.350,247.090,11813900
2025-09-22,245.280,250.480,243.160,249.690,7523800
2025-09-23,249.740,251.360,244.130,244.560,7669800
2025-09-24,245.670,248.840,243.010,245.890,6707100
2025-09-25,244.500,244.660,239.490,240.950,8145500
2025-09-26,240.690,244.530,240.350,243.430,4974600
2025-09-29,244.720,245.820,242.870,245.100,6373500
2025-09-30,245.050,245.210,235.810,237.000,10801100
2025-10-01,236.490,242.470,233.510,235.690,10016600
2025-10-02,235.430,239.400,233.600,238.880,7679200
2025-10-03,238.750,242.810,238.500,240.360,8849800
2025-10-06,239.330,250.470,235.410,245.780,13922600
2025-10-07,246.480,247.360,237.550,239.740,8387400
2025-10-08,239.740,241.320,235.650,240.430,7120200
2025-10-09,239.270,245.960,237.150,245.330,7929100
2025-10-10,246.520,249.050,240.720,241.680,7988300
2025-10-13,242.890,249.350,242.370,248.750,8276500
2025-10-14,248.110,248.280,239.550,239.770,9123900
2025-10-15,240.870,241.320,235.900,236.580,8389200
2025-10-16,253.190,256.740,242.670,246.000,24869700
2025-10-17,246.570,250.780,242.160,243.080,10851200
2025-10-20,245.000,255.400,244.300,254.280,9963900
2025-10-21,254.500,267.130,254.000,263.410,13354700
2025-10-22,262.200,262.400,256.510,256.640,9370000
2025-10-23,257.600,258.560,254.120,255.050,6110100
2025-10-24,257.420,258.500,254.000,254.830,5490800
2025-10-27,257.080,258.100,254.920,255.470,4942400
2025-10-28,255.470,258.840,254.140,254.260,6435600
2025-10-29,252.000,253.570,249.040,251.460,7904200
2025-10-30,250.500,259.280,250.000,256.650,7767800
2025-10-31,254.800,261.820,252.630,260.410,6878300
2025-11-03,260.000,261.560,255.100,261.340,7054300
2025-11-04,258.150,259.260,253.460,254.440,6792200
2025-11-05,254.700,256.830,252.010,252.680,5241200
2025-11-06,250.540,250.540,234.480,239.270,11041800
2025-11-07,236.150,240.970,235.790,239.880,5741500
2025-11-10,240.000,241.910,235.080,241.710,6486600
2025-11-11,241.900,245.700,241.160,244.500,5762800
2025-11-12,245.740,248.430,243.680,246.020,4278200
2025-11-13,245.250,245.900,239.910,240.430,5542100
2025-11-14,238.310,245.180,237.420,243.660,5512900
2025-11-17,242.070,242.830,235.590,237.030,5280900
2025-11-18,236.240,237.790,230.270,233.500,8045100
2025-11-19,232.000,232.280,225.060,227.880,9710700
2025-11-20,229.250,231.070,223.300,225.370,7521100
2025-11-21,224.860,228.680,221.960,227.110,7479300
2025-11-24,227.340,228.840,225.040,226.820,8563300
2025-11-25,226.800,234.630,226.520,234.120,10233000
2025-11-26,230.510,232.820,226.000,228.150,8506600
2025-11-28,229.000,232.560,228.630,230.540,3691500
2025-12-01,228.670,234.250,228.600,232.830,5634700
2025-12-02,233.020,236.650,231.620,234.710,7626200
2025-12-03,235.360,239.260,233.160,238.720,13782000
2025-12-04,243.690,248.970,237.600,247.460,20912100
2025-12-05,250.830,261.880,249.500,260.570,15852400
2025-12-08,261.880,264.280,256.340,259.530,10805400
2025-12-09,260.000,262.250,259.000,261.020,8045900
2025-12-10,260.750,265.930,259.150,264.200,8894700
2025-12-11,263.500,267.900,260.770,262.350,7783800
2025-12-12,263.520,264.490,260.910,262.230,6006600
2025-12-15,261.210,262.280,253.090,254.580,10271800
2025-12-16,254.000,255.860,252.110,254.910,6145300
2025-12-17,256.330,261.970,256.250,258.140,6269000
2025-12-18,258.420,260.070,256.160,257.850,5654200
2025-12-19,260.680,262.040,255.500,259.910,20732100
2025-12-22,260.620,264.630,258.410,264.630,5664200
2025-12-23,262.720,264.240,260.520,263.430,4745100
2025-12-24,263.230,266.300,262.550,265.260,2076600
