Date,open,high,low,close,volume
2025-05-30,62.9200,63.1800,62.3000,63.0400,25829000
2025-06-02,62.7300,63.8800,62.7100,63.8500,15816000
2025-06-03,63.8000,64.4600,63.7200,64.3600,15156900
2025-06-04,64.6600,64.8900,64.3500,64.3900,14770900
2025-06-05,64.4800,64.9100,64.2800,64.6200,17025200
2025-06-06,65.3200,66.1600,65.2300,66.0600,20943800
2025-06-09,66.1100,66.3600,65.5900,65.9000,13689800
2025-06-10,66.0100,66.0800,64.8100,65.1500,17214900
2025-06-11,65.1100,65.1500,63.8700,64.1900,20442600
2025-06-12,64.3200,65.2100,64.1100,65.1000,15160800
2025-06-13,64.5900,64.7200,63.9300,64.0900,14635000
2025-06-16,65.1900,65.6100,64.8500,65.5100,16957700
2025-06-17,65.6400,66.1500,65.0200,65.3300,18845200
2025-06-18,65.6900,66.3400,65.3800,65.8400,22664200
2025-06-20,66.4900,66.6500,65.7200,66.3200,50421700
2025-06-23,66.3500,67.4900,66.2100,67.3800,34030000
2025-06-24,67.7800,68.0400,67.3600,67.8900,23162700
2025-06-25,67.8500,68.5300,67.7800,68.1900,19395700
2025-06-26,68.7200,69.1600,68.4200,68.9500,23154000
2025-06-27,68.8700,69.2200,68.3400,68.6500,26224600
2025-06-30,68.8300,69.7800,68.7500,69.3800,32561200
2025-07-01,69.3800,69.5500,68.6400,69.1000,21939500
2025-07-02,68.6800,68.9400,68.1800,68.5900,16655200
2025-07-03,68.1800,69.4700,68.1800,69.3700,17973500
2025-07-07,69.0800,69.3000,68.6100,68.9300,23985200
2025-07-08,68.8000,68.9200,68.3500,68.5900,21182600
2025-07-09,68.5400,69.3200,68.3100,69.2700,23765900
2025-07-10,69.2600,69.3900,68.5600,68.7600,15005300
2025-07-11,68.2900,68.5000,67.6900,67.9500,14699400
2025-07-14,67.8300,68.0300,67.2000,67.8200,16451400
2025-07-15,67.6800,67.8800,67.1500,67.1800,13944600
2025-07-16,67.1500,67.5600,66.9800,67.3700,15156100
2025-07-17,67.5500,68.4700,67.5100,68.3000,20400000
2025-07-18,68.7800,68.8400,67.9600,68.0500,16145100
2025-07-21,67.9000,68.6200,67.7900,68.3400,14674200
2025-07-22,68.3400,68.6000,68.0800,68.1600,14527200
2025-07-23,68.3500,68.8300,68.0600,68.6200,13042300
2025-07-24,68.3600,68.5900,67.9200,68.2900,13534000
2025-07-25,68.3800,68.8200,68.0700,68.6900,11590000
2025-07-28,67.7500,67.9600,67.3700,67.9200,20558400
2025-07-29,68.2300,68.7200,67.8300,67.9600,15261800
2025-07-30,67.8400,68.5800,67.3500,68.2800,15518200
2025-07-31,68.3100,69.1500,67.8800,68.0800,18529200
2025-08-01,67.5100,67.6100,66.5200,67.1100,21650000
2025-08-04,67.7700,68.5100,67.6100,68.4900,17052200
2025-08-05,68.6900,68.8700,67.4400,67.5200,15434500
2025-08-06,67.9600,69.3500,67.7700,69.2100,23107800
2025-08-07,69.8000,70.1400,69.2100,69.9000,22579600
2025-08-08,70.2400,72.0200,70.2200,71.7900,31662400
2025-08-11,72.3000,72.5500,70.3400,70.6700,28911400
2025-08-12,70.7900,71.5000,70.5600,71.3800,21912100
2025-08-13,71.8600,72.0300,70.2500,70.4000,38096400
2025-08-14,68.0000,70.6100,67.4800,69.3000,39317300
2025-08-15,68.4500,68.6500,65.8600,66.2000,40877300
2025-08-18,66.0800,67.1100,65.7500,66.9500,20903400
2025-08-19,66.7600,67.5200,66.4800,66.7600,18746600
2025-08-20,66.8200,67.1900,66.5400,67.1100,14946400
2025-08-21,67.1000,67.2200,66.4700,67.0200,12456600
2025-08-22,67.3300,68.0400,67.0100,67.3200,16830600
2025-08-25,67.2800,67.5000,67.1100,67.1400,11724500
2025-08-26,67.1700,68.7500,67.1100,68.3900,28307900
2025-08-27,68.3200,68.7500,68.1500,68.4400,13876700
2025-08-28,68.3600,69.5800,68.3500,69.4300,15256000
2025-08-29,69.1100,69.4600,68.8300,69.0900,14953000
2025-09-02,68.1100,68.3200,67.3800,67.8000,18928800
2025-09-03,68.0500,68.1300,67.3300,67.6700,14320100
2025-09-04,68.1000,68.4100,67.4100,67.9900,14388500
2025-09-05,67.7200,68.1000,66.4800,66.9000,21050800
2025-09-08,66.7200,67.0100,66.3500,66.8800,14038000
2025-09-09,66.7400,67.4400,66.6400,67.3400,11649400
2025-09-10,67.5900,68.3200,67.1200,68.1300,14689500
2025-09-11,68.3100,68.5700,67.5100,67.6900,17560800
2025-09-12,66.8800,67.3400,66.1300,66.5300,18529200
2025-09-15,66.5100,67.2000,66.3500,67.0200,16203100
2025-09-16,67.0200,67.3800,66.5500,66.9300,18019300
2025-09-17,67.0000,67.8800,66.3800,67.7200,18652100
2025-09-18,67.9000,68.7600,67.4800,68.6800,20279000
2025-09-19,68.9200,68.9200,67.1800,68.2100,47822500
2025-09-22,67.8600,68.0000,67.3000,67.7500,20396700
2025-09-23,67.5800,68.2200,67.0700,67.5400,22240000
2025-09-24,67.7000,67.8600,66.8900,67.3200,17433100
2025-09-25,67.3200,68.2400,67.1100,67.8500,22351700
2025-09-26,67.8700,67.9100,66.8500,67.2200,15077400
2025-09-29,67.7200,67.9500,67.4400,67.7200,14358300
2025-09-30,67.7100,68.7700,67.6900,68.4200,20498900
2025-10-01,67.9000,68.8200,67.6900,68.7500,15530700
2025-10-02,69.1800,69.4900,68.2600,68.3100,15708300
2025-10-03,67.9500,68.5800,67.6500,67.9200,11113200
2025-10-06,68.4400,68.9500,67.8100,68.9100,21952700
2025-10-07,68.9200,69.2200,68.4400,68.9900,16493200
2025-10-08,69.8100,70.7600,69.0000,70.3300,34246300
2025-10-09,70.3100,70.6200,69.0300,69.9600,21209500
2025-10-10,70.4100,70.8100,67.8900,67.9400,20961500
2025-10-13,68.5500,68.8900,67.1300,67.4600,14127900
2025-10-14,67.1100,69.1600,66.8100,68.6600,15402000
2025-10-15,69.3100,70.3000,68.8200,69.5200,16260500
2025-10-16,69.7800,70.0700,68.5700,69.0900,13950600
2025-10-17,69.0600,70.7700,68.9500,70.1300,16286900
2025-10-20,70.1200,70.9700,70.1200,70.6500,12183500
2025-10-21,70.5800,71.2400,70.3800,70.7200,15763300
2025-10-22,70.8600,70.9700,69.8500,70.6600,14967200
2025-10-23,70.6000,71.2400,70.2300,70.2700,14614100
2025-10-24,70.6400,70.9400,70.0600,70.6300,13075600
2025-10-27,70.5400,71.4600,70.4300,71.3900,15986800
2025-10-28,71.2000,72.6800,71.0300,72.6200,19896800
2025-10-29,72.6800,72.8200,70.9200,71.3300,18020600
2025-10-30,71.3700,73.1100,71.3400,72.9100,18101800
2025-10-31,72.7200,73.4800,72.4300,73.1100,24008000
