Date,open,high,low,close,volume
2025-05-30,171.3500,172.2100,167.4400,171.7400,52639900
2025-06-02,167.8400,169.8700,167.3900,169.0300,38612300
2025-06-03,167.4900,168.4800,165.2800,166.1800,45084900
2025-06-04,166.7400,168.2200,166.3600,168.0500,26900800
2025-06-05,170.3400,170.9300,167.5900,168.2100,36379100
2025-06-06,170.8300,174.5000,170.8300,173.6800,35731800
2025-06-09,174.5400,176.4700,174.3700,176.0900,28935900
2025-06-10,176.2000,181.1100,174.9100,178.6000,61766100
2025-06-11,179.7700,180.3700,176.7500,177.3500,31646800
2025-06-12,176.1800,176.7200,174.7500,175.7000,20941900
2025-06-13,172.4400,177.1300,172.3900,174.6700,27663100
2025-06-16,174.7300,176.9400,174.6500,176.7700,27389200
2025-06-17,175.7000,177.3600,174.5800,175.9500,24973000
2025-06-18,176.0100,176.5600,173.2000,173.3200,28707500
2025-06-20,173.9500,174.3400,165.4600,166.6400,75659900
2025-06-23,166.2700,167.3400,162.0000,165.1900,57671000
2025-06-24,166.9200,168.2200,166.1300,166.7700,40524300
2025-06-25,167.6300,172.3600,167.5500,170.6800,35479000
2025-06-26,172.4300,173.6900,169.9400,173.5400,31796700
2025-06-27,173.5400,178.6800,171.7300,178.5300,108140200
2025-06-30,180.7800,181.2300,174.5800,176.2300,63378900
2025-07-01,175.7400,176.0900,173.5300,175.8400,35904500
2025-07-02,175.5400,178.8600,175.0700,178.6400,29128900
2025-07-03,178.5000,179.6700,177.0500,179.5300,21689700
2025-07-07,179.0600,179.3000,175.6800,176.7900,34175600
2025-07-08,177.8500,177.9500,172.8100,174.3600,40442500
2025-07-09,175.2500,179.4400,172.7700,176.6200,43025600
2025-07-10,175.6300,178.4300,174.3800,177.6200,29252400
2025-07-11,176.7900,181.4300,176.4800,180.1900,34282900
2025-07-14,181.0100,183.6700,179.6800,181.5600,32536600
2025-07-15,182.8100,184.2200,181.6000,182.0000,33448300
2025-07-16,183.2400,184.3300,182.0300,182.9700,33104200
2025-07-17,182.1400,184.0600,180.4800,183.5800,31992600
2025-07-18,185.4000,186.4200,183.7100,185.0600,34014500
2025-07-21,186.2500,190.2900,186.1500,190.1000,45803100
2025-07-22,191.5000,191.6500,187.4600,191.3400,44660200
2025-07-23,191.5000,192.5300,189.1800,190.2300,58681900
2025-07-24,197.0300,197.9500,191.0000,192.1700,74881700
2025-07-25,191.9800,194.3300,191.2600,193.1800,39785900
2025-07-28,193.6500,194.0500,190.8400,192.5800,38139500
2025-07-29,192.4300,195.9200,192.0800,195.7500,41389200
2025-07-30,195.6000,197.6000,194.6900,196.5300,32445400
2025-07-31,195.7100,195.9900,191.0900,191.9000,51329200
2025-08-01,189.0300,190.8300,187.8200,189.1300,34832200
2025-08-04,190.2900,195.2700,190.1200,195.0400,31547400
2025-08-05,194.7100,197.8600,193.8900,194.6700,31602300
2025-08-06,194.5000,196.6300,193.6700,196.0900,21562900
2025-08-07,197.0600,197.5400,194.3300,196.5200,26321800
2025-08-08,197.2200,202.6100,197.1700,201.4200,39161800
2025-08-11,200.9400,201.4800,199.0700,201.0000,25832400
2025-08-12,201.3700,204.5000,200.5900,203.3400,30397900
2025-08-13,204.1300,204.5300,197.5100,201.9600,28342900
2025-08-14,201.5000,204.4400,201.2300,202.9400,25230400
2025-08-15,203.8500,206.4400,201.2800,203.9000,34931400
2025-08-18,204.2000,205.2700,202.4900,203.5000,18526600
2025-08-19,203.0300,203.4400,199.9600,201.5700,24240200
2025-08-20,200.7300,201.2800,196.6000,199.3200,28955500
2025-08-21,199.7500,202.4800,199.4300,199.7500,19774600
2025-08-22,202.7300,208.5400,201.3000,206.0900,42827000
2025-08-25,206.4300,210.5200,205.2800,208.4900,29928900
2025-08-26,207.5100,207.8500,205.7000,207.1400,28464100
2025-08-27,205.7000,208.9100,205.6500,207.4800,23022900
2025-08-28,207.2500,212.2200,206.9000,211.6400,32339300
2025-08-29,210.5100,214.6500,210.2000,212.9100,39728400
2025-09-02,208.4400,211.6800,206.2000,211.3500,47523000
2025-09-03,226.2100,231.3100,224.7900,230.6600,103336100
2025-09-04,229.6500,232.3700,226.1100,232.3000,51684200
2025-09-05,232.2000,235.7600,231.9000,235.0000,46588900
2025-09-08,235.4700,238.1300,233.6700,234.0400,32474700
2025-09-09,234.1700,240.4700,233.2300,239.6300,38061000
2025-09-10,238.9000,241.6600,237.8500,239.1700,35141100
2025-09-11,239.8800,242.2500,236.2500,240.3700,30599300
2025-09-12,240.3700,242.0800,238.0000,240.8000,26771600
2025-09-15,244.6600,252.4100,244.6600,251.6100,58383800
2025-09-16,252.0800,253.0400,249.4700,251.1600,34109700
2025-09-17,251.2200,251.6000,246.2800,249.5300,34108000
2025-09-18,251.6800,253.9900,249.8000,252.0300,31239500
2025-09-19,253.2500,256.0000,251.8100,254.7200,55571400
2025-09-22,254.4300,255.7800,250.3000,252.5300,32290500
2025-09-23,253.0400,254.3600,250.4800,251.6600,26628000
2025-09-24,251.6600,252.3500,246.4400,247.1400,28201000
2025-09-25,244.4000,246.4900,240.7400,245.7900,31020400
2025-09-26,247.0700,249.4200,245.9700,246.5400,18503200
2025-09-29,247.8500,251.1500,242.7700,244.0500,32505800
2025-09-30,242.8100,243.2900,239.2500,243.1000,34724300
2025-10-01,240.7500,246.3000,238.6100,244.9000,31658200
2025-10-02,245.1500,246.8100,242.3000,245.6900,25483300
2025-10-03,244.4900,246.3000,241.6600,245.3500,30249600
2025-10-06,244.7800,251.3200,244.5800,250.4300,28894700
2025-10-07,248.2700,250.4400,245.5200,245.7600,23181300
2025-10-08,244.9600,246.0100,243.8200,244.6200,21307100
2025-10-09,244.4700,244.7600,239.1500,241.5300,27892100
2025-10-10,241.4300,244.0900,235.8400,236.5700,33180300
2025-10-13,240.2100,244.5000,239.7100,244.1500,24995000
