Date,open,high,low,close,volume
2025-05-30,459.7200,461.6800,455.5400,460.3600,34770500
2025-06-02,457.1400,462.1100,456.8900,461.9700,16626500
2025-06-03,461.4700,464.1400,460.8600,462.9700,15743800
2025-06-04,464.0000,465.6900,463.0200,463.8700,14162700
2025-06-05,464.9600,469.6500,464.0300,467.6800,20131700
2025-06-06,470.0900,473.3400,468.7800,470.3800,15285600
2025-06-09,469.7000,473.4300,468.6200,472.7500,16469900
2025-06-10,471.1900,472.8000,466.9600,470.9200,15375900
2025-06-11,470.0200,475.4700,469.6600,472.6200,16399200
2025-06-12,475.0200,480.4200,473.5200,478.8700,18950600
2025-06-13,476.4100,479.1800,472.7600,474.9600,16814500
2025-06-16,475.2100,480.6900,475.0000,479.1400,15626100
2025-06-17,475.4000,478.7400,474.0800,478.0400,15414100
2025-06-18,478.0000,481.0000,474.4600,480.2400,17526500
2025-06-20,482.2300,483.4600,476.8700,477.4000,37576200
2025-06-23,478.2100,487.7500,472.5100,486.0000,24864000
2025-06-24,488.9500,491.8500,486.8000,490.1100,22305600
2025-06-25,492.0400,494.5600,489.3900,492.2700,17495100
2025-06-26,492.9800,498.0400,492.8100,497.4500,21578900
2025-06-27,497.5500,499.3000,493.0300,495.9400,34539200
2025-06-30,497.0400,500.7600,495.3300,497.4100,28369000
2025-07-01,496.4700,498.0500,490.9800,492.0500,19945400
2025-07-02,489.9900,493.5000,488.7000,491.0900,16319600
2025-07-03,493.8100,500.1300,493.4400,498.8400,13984800
2025-07-07,497.3800,498.7500,495.2300,497.7200,13981600
2025-07-08,497.2400,498.2000,494.1100,496.6200,11846600
2025-07-09,500.3000,506.7800,499.7400,503.5100,18659500
2025-07-10,503.0500,504.4400,497.7500,501.4800,16492100
2025-07-11,498.4700,505.0300,497.8000,503.3200,16459500
2025-07-14,501.5200,503.9700,501.0300,503.0200,12058800
2025-07-15,503.0200,508.3000,502.7900,505.8200,14927200
2025-07-16,505.1800,506.7200,501.8900,505.6200,15154400
2025-07-17,505.6800,513.3700,505.6200,511.7000,17503100
2025-07-18,514.4800,514.6400,507.4300,510.0500,21209700
2025-07-21,506.7100,512.0900,505.5500,510.0600,14066800
2025-07-22,510.9700,511.2000,505.2700,505.2700,13868600
2025-07-23,506.7500,506.7900,500.7000,505.8700,16396600
2025-07-24,508.7700,513.6700,507.3000,510.8800,16107000
2025-07-25,512.4700,518.2900,510.3600,513.7100,19125700
2025-07-28,514.0800,515.0000,510.1200,512.5000,14308000
2025-07-29,515.5300,517.6200,511.5600,512.5700,16469200
