Date,open,high,low,close,volume
2025-05-30,163.4300,165.7500,161.5500,165.5300,17547900
2025-06-02,164.1700,167.0000,162.6000,166.5700,7166000
2025-06-03,166.8000,169.3300,166.5900,169.1400,7155300
2025-06-04,169.7100,170.4800,167.5700,168.1000,6375800
2025-06-05,169.0000,172.2600,168.7600,171.1400,7707800
2025-06-06,174.0000,174.7900,172.6600,174.0200,6833700
2025-06-09,174.8600,178.7200,173.7900,177.1500,9668900
2025-06-10,177.7100,177.8500,174.2800,177.4800,11056700
2025-06-11,177.5500,179.5500,176.2000,176.3800,18002900
2025-06-12,189.9600,202.4900,188.8800,199.8600,54610000
2025-06-13,201.5800,216.6000,201.2000,215.2200,53707400
2025-06-16,213.2000,215.1700,209.9800,211.1000,22665300
2025-06-17,210.6600,215.8800,207.4800,208.1800,17819200
2025-06-18,211.0900,214.7200,209.5700,210.8700,15055400
2025-06-20,213.3500,213.8000,204.6400,205.1700,20879100
2025-06-23,205.5100,207.2700,202.5400,207.0400,13418400
2025-06-24,209.9900,216.3700,208.5500,215.2700,19030600
2025-06-25,214.9400,216.9300,210.2300,210.7200,11804600
2025-06-26,212.0000,214.4200,210.3600,212.8200,10531100
2025-06-27,213.6900,214.6500,209.9600,210.2400,14127500
2025-06-30,226.5000,228.2200,218.3800,218.6300,31844200
2025-07-01,219.3000,223.1700,216.3100,218.9600,16962200
2025-07-02,217.6800,231.9000,216.7200,229.9800,22326900
2025-07-03,233.2200,237.9900,231.2000,237.3200,18441400
2025-07-07,235.1100,235.2500,229.5000,232.2600,16584300
2025-07-08,237.1300,241.4400,233.1900,234.5000,20401800
2025-07-09,235.5100,236.5100,232.0000,235.8100,10871600
2025-07-10,239.9400,240.0600,233.5000,235.0000,11486300
2025-07-11,231.3700,234.0000,229.8700,230.5600,10208200
2025-07-14,229.4500,230.6400,225.1200,229.2800,11337000
2025-07-15,232.4100,235.6000,229.2000,234.9600,10728800
2025-07-16,235.5000,241.3300,233.1900,241.3000,12597500
2025-07-17,243.3400,251.6000,242.0100,248.7500,17631300
2025-07-18,248.5000,249.6800,245.0000,245.4500,9678100
2025-07-21,245.3100,246.8000,243.2400,243.5400,7348400
2025-07-22,241.9800,242.2900,235.4100,238.1100,11380900
2025-07-23,239.9500,243.4200,238.6600,241.9000,7255800
2025-07-24,242.4100,244.0800,240.5600,242.8300,8237900
2025-07-25,242.3400,245.4700,241.4300,245.1200,7149600
2025-07-28,246.0000,247.7800,243.4200,247.7100,6756800
2025-07-29,248.7000,253.0700,246.5900,249.9800,8415300
2025-07-30,248.6400,251.0500,245.6000,250.6000,8441400
2025-07-31,255.7700,260.8700,253.3200,253.7700,15548700
2025-08-01,247.8300,248.4100,242.0000,244.4200,12718200
2025-08-04,245.9000,252.9100,245.9000,252.5300,8614800
