Stock,Lookback,Horizon_Step,MAE,RMSE,MAPE (%)
ABBV,30,+14d,14.0072,18.1715,6.4995
ABBV,30,+1d,3.0727,3.7812,1.387
ABBV,30,+21d,19.7898,29.2796,9.4191
ABBV,30,+30d,30.5135,42.4147,14.5669
ABBV,30,+7d,6.5134,7.8181,2.971
AMGN,30,+14d,18.971,22.9764,5.2222
AMGN,30,+1d,15.021,19.1231,4.1548
AMGN,30,+21d,19.8192,27.1102,5.5781
AMGN,30,+30d,39.008,44.5046,10.899
AMGN,30,+7d,16.037,18.4298,4.3967
BMY,30,+14d,2.9337,3.2331,5.0221
BMY,30,+1d,1.4246,2.0567,2.457
BMY,30,+21d,3.4367,3.9859,5.8542
BMY,30,+30d,3.9832,4.6875,6.7325
BMY,30,+7d,1.9737,2.5259,3.3587
DHR,30,+14d,31.7715,33.7121,15.362
DHR,30,+1d,7.5218,9.0417,3.5213
DHR,30,+21d,43.6784,48.851,21.7082
DHR,30,+30d,60.3321,68.1134,30.7732
DHR,30,+7d,16.3616,19.0052,7.8324
JNJ,30,+14d,12.3501,14.5757,5.255
JNJ,30,+1d,7.9155,9.2805,3.4272
JNJ,30,+21d,17.099,20.197,7.1651
JNJ,30,+30d,29.1548,32.0605,12.2006
JNJ,30,+7d,7.75,9.1272,3.3071
LLY,30,+14d,82.9229,103.7158,8.4391
LLY,30,+1d,23.3044,29.7378,2.2932
LLY,30,+21d,126.95,167.605,13.3049
LLY,30,+30d,175.9416,230.2469,18.9633
LLY,30,+7d,45.7405,58.0196,4.5097
MRK,30,+14d,8.5591,10.2118,7.2941
MRK,30,+1d,4.6497,5.4067,4.0522
MRK,30,+21d,10.8151,17.6987,9.2667
MRK,30,+30d,13.9825,24.5149,11.7723
MRK,30,+7d,3.9159,4.4936,3.4648
PFE,30,+14d,0.801,0.9887,2.9933
PFE,30,+1d,0.3705,0.4293,1.3983
PFE,30,+21d,1.3579,1.8467,5.048
PFE,30,+30d,1.765,2.5567,6.4549
PFE,30,+7d,0.3732,0.4396,1.4075
TMO,30,+14d,74.007,85.2152,14.3209
TMO,30,+1d,28.856,37.8698,5.1457
TMO,30,+21d,106.6859,116.9484,20.9712
TMO,30,+30d,143.2807,163.3639,28.9104
TMO,30,+7d,43.7338,55.1681,8.2248
UNH,30,+14d,65.9959,74.1739,23.5115
UNH,30,+1d,31.2608,41.3444,10.8502
UNH,30,+21d,82.0357,90.0229,29.3179
UNH,30,+30d,84.1272,98.1094,29.0691
UNH,30,+7d,42.1087,53.2709,14.7917
